date,daily_return,equity_twr
2025-11-15,-0.0097625966,0.9902374034
2025-11-16,0.1163632688,1.1054646645
2025-11-17,0.0586515491,1.1703018796
2025-11-18,-0.1277878081,1.0207515676
2025-11-19,0.2558221778,1.2818824566
2025-11-20,0.1188716147,1.4342618941
2025-11-21,0.2219049269,1.7525316748
2025-11-28,-0.154516936,1.4817358502
2025-11-29,0.099957591,1.6298465963
2025-11-30,0.0425631624,1.6992180216
2025-12-01,0.1691228551,1.9865946249
2025-12-02,-0.0241785393,1.9385616687
2025-12-03,-0.0229296538,1.8941111208
2025-12-04,-0.0472252207,1.8046613051
2025-12-05,-0.0259818563,1.7577728544
2025-12-06,0.0324697543,1.814847307
2025-12-07,0.0988549737,1.9942539899
2025-12-08,-0.0731753689,1.8483237185
2025-12-09,-0.2023337486,1.4743454519
2025-12-10,0.0392312005,1.5321857939
2025-12-11,0.1263279382,1.7257436662
2025-12-12,0.1842542958,2.0437193501
2025-12-13,7.501e-05,2.0438726495
2025-12-14,0.1096825457,2.2680498048
2025-12-15,0.1810739216,2.6787344774
2025-12-16,-0.0231877621,2.6166206196
2025-12-17,0.2274193239,3.2116907118
2025-12-18,-0.0029750104,3.2021358985
2025-12-19,-0.0668514354,2.9880685173
2025-12-20,-0.0212520207,2.9245660234
2025-12-21,-0.0164094323,2.8765755552
2025-12-22,0.0257475959,2.9506404602
2025-12-23,-0.0106689623,2.9191601883
2025-12-24,-0.0339797403,2.8199678832
2025-12-25,-0.0027172648,2.8123052838
2025-12-26,-0.0272268489,2.7357350728
2025-12-27,-0.0902631411,2.4887990319
2025-12-28,-0.0176446474,2.4448850505
2025-12-29,0.0041180329,2.4549531676
2025-12-30,-0.0006058956,2.4534657223
2025-12-31,0.0064087635,2.4691894038
2026-01-01,-0.0347559019,2.3833704991
2026-01-02,-0.1756876331,1.9646417773
2026-01-03,-0.0075789902,1.9497517766
2026-01-04,-0.010298851,1.9296715735
