date,daily_return,equity_twr
2025-07-11,-0.0048514593,0.9951485407
2025-07-12,-0.0122794571,0.9829286569
2025-07-13,0.0117544799,0.994482472
2025-07-14,0.0254429044,1.0197849945
2025-07-15,0.0342337402,1.0546960491
2025-07-16,0.1493788892,1.2122453733
2025-07-17,0.039279258,1.2598614721
2025-07-18,0.0319136219,1.3000682147
2025-07-19,0.0100598181,1.3131466645
2025-07-20,0.0538138334,1.3838121203
2025-07-21,0.0112007691,1.3993118804
2025-07-22,-0.0192136186,1.3724260356
2025-07-23,-0.0413889122,1.3156228149
2025-07-24,0.0407525235,1.3692377646
2025-07-25,0.0036040273,1.3741725349
2025-07-26,0.0146149613,1.3942560133
2025-07-27,0.0323096159,1.4393038896
2025-07-28,-0.0229859036,1.4062201891
2025-07-29,-0.0072438562,1.3960337323
2025-07-30,-0.0075063092,1.3855546714
2025-07-31,0.0089703597,1.3979835952
2025-08-01,-0.0661018748,1.3055742586
2025-08-09,0.2756679117,1.6654791881
2025-08-10,-0.0264754262,1.6213849167
2025-08-11,-0.0063127537,1.6111495131
2025-08-12,0.0954942564,1.7650050378
2025-08-13,0.0327774964,1.8228574841
2025-08-14,-0.0446224905,1.7415170433
2025-08-15,-0.0202159697,1.7063105875
2025-08-16,-0.0013895132,1.7039396464
2025-08-17,0.0205933914,1.7390295425
2025-08-18,-0.0298159508,1.6871787232
2025-08-19,-0.0535485403,1.5968327654
2025-08-20,0.0494966463,1.675870632
2025-08-21,-0.0205509786,1.6414298505
2025-08-22,0.1279625228,1.8514713551
2025-08-23,-0.0101319026,1.8327124277
2025-08-24,0.0015527111,1.8355581006
2025-08-25,-0.0491994319,1.7452496849
2025-08-26,0.0279089143,1.7939577087
2025-08-27,-0.0109185942,1.7743702125
2025-08-28,-0.0004646876,1.7735456847
2025-08-29,-0.0203894247,1.7373841085
2025-08-30,-0.0012869304,1.7351482161
2025-08-31,0.0170635362,1.7647559804
2025-09-01,-0.0281479309,1.7150817511
2025-09-02,0.0067369612,1.7266361903
2025-09-03,0.0206679579,1.7623222344
2025-09-04,-0.0190629257,1.7287272165
2025-09-05,-0.0040946372,1.7216487058
2025-09-06,-0.0035116524,1.715602874
2025-09-07,0.0034713818,1.7215583866
2025-09-08,0.0022880083,1.7254973264
2025-09-09,-0.0009442147,1.7238680865
2025-10-07,0.0235963924,1.7645451543
2025-10-08,0.002861325,1.7695940915
2025-10-09,-0.022672844,1.7294723607
2025-10-10,-0.0791545186,1.5925768086
2025-10-11,-0.0204115512,1.5600698455
2025-10-12,0.0716813662,1.6718977834
2025-10-13,0.023322521,1.7108906545
2025-10-14,-0.0250122983,1.6680973471
2025-10-15,-0.0250507815,1.626310205
2025-10-16,-0.0185593222,1.5961269899
2025-10-17,-0.0005803764,1.5952006354
2025-10-18,0.0031546981,1.6002330119
2025-10-19,0.0226890666,1.6365408052
2025-10-20,-0.0047981035,1.6286885131
2025-10-21,-0.0088599952,1.6142583407
2025-10-22,-0.0344286635,1.5586815834
2025-10-23,0.0171516307,1.5854155143
2025-10-24,0.0129806999,1.6059953174
2025-11-04,-0.1434058505,1.375686193
2025-11-05,0.0544032429,1.4505279831
2025-11-06,-0.0371551299,1.3966334274
2025-11-07,0.0474794271,1.4629447824
2025-11-08,-0.0153632297,1.4404692257
2025-11-09,0.0587691767,1.5251244162
2025-11-10,0.001014398,1.5266714993
2025-11-11,-0.0476239214,1.4539654158
2025-11-12,-0.0083725898,1.4417919598
2025-11-13,-0.0679803595,1.3437784241
2025-11-14,-0.0154281317,1.3230464336
2025-11-15,-0.0056029065,1.3156335281
2025-11-16,-0.0308035844,1.2751072997
2025-11-17,-0.0223209689,1.2466456693
2025-11-18,0.0422154595,1.2992733891
2025-11-19,-0.0591020741,1.222483637
2025-11-20,-0.0371008503,1.1771284545
2025-11-21,-0.067487358,1.0976871651
2025-11-28,0.1564395322,1.2694088317
2025-11-29,-0.0266205296,1.2356164964
2025-11-30,0.015938654,1.2553105602
2025-12-01,-0.0951548079,1.135861725
2025-12-02,0.0822586773,1.2292962081
2025-12-03,0.0630558323,1.3068105036
2025-12-04,0.0045243035,1.3127229109
2025-12-05,-0.04690177,1.2511538829
2025-12-06,0.0043567496,1.2566048471
2025-12-07,0.0066343398,1.2649415906
2025-12-08,0.0317718866,1.3051311714
2025-12-09,0.0829464336,1.4133871474
2025-12-10,0.0001925446,1.4136592875
2025-12-11,-0.0307977766,1.3701217246
2025-12-12,-0.063329752,1.2833522555
2025-12-13,0.0106199018,1.2969813305
2025-12-14,-0.0214422514,1.2691711307
2025-12-15,-0.0535419824,1.2012171924
2025-12-16,0.0085572725,1.2114963352
2025-12-17,-0.058666583,1.1404219849
2025-12-18,-0.0021526797,1.1379670217
2025-12-19,0.0744408527,1.2226782571
2025-12-20,-0.0014002439,1.2209662093
2025-12-21,0.0091679026,1.2321599086
2025-12-22,-0.0084465208,1.2217524443
2025-12-23,-0.0043379521,1.2164525407
2025-12-24,-0.0130622459,1.2005629385
2025-12-25,0.0002464414,1.2008588069
2025-12-26,-0.0106830937,1.1880299198
2025-12-27,0.0026242578,1.1911476166
2025-12-28,0.0025019736,1.1941278365
2025-12-29,-0.0019836585,1.1917590946
2025-12-30,0.0160690753,1.2109095613
2025-12-31,0.0041036479,1.2158787077
2026-01-01,0.005120663,1.2221048128
2026-01-02,0.0624212029,1.2983900653
2026-01-03,-0.0051118626,1.2917528737
2026-01-04,0.0052046991,1.2984760587
