date,daily_return,equity_twr
2025-07-11,-0.1765816898,0.8234183102
2025-07-12,0.0099876751,0.8316423448
2025-07-13,-0.0378751191,0.8001437919
2025-07-14,0.0507255837,0.8407315528
2025-07-15,-0.022505357,0.821810589
2025-07-16,-0.0235243045,0.8024780665
2025-07-17,0.0480282064,0.8410196487
2025-07-18,0.0757415356,0.9047197684
2025-07-19,-6.1677e-06,0.9047141883
2025-07-20,-0.096110569,0.8177615929
2025-07-21,0.0124587884,0.8279499116
2025-07-22,-0.0376928695,0.7967421036
2025-07-23,0.0245926252,0.8163360835
2025-07-24,0.0809200523,0.8823940421
2025-07-25,-0.022211027,0.8627951642
2025-07-26,-0.0255787606,0.8407259333
2025-07-27,-0.049885159,0.7987861864
2025-07-28,0.0192399234,0.8141547714
2025-07-29,0.0306618745,0.8391182829
2025-07-30,0.0567844635,0.8867671644
2025-07-31,0.0465231708,0.9280223846
2025-08-01,0.0853187445,1.0072000893
2025-08-02,0.0333687033,1.0408090503
2025-08-03,-0.0610959886,0.9772197924
2025-08-04,-0.0363207966,0.9417263911
2025-08-05,0.0915294506,1.0279220903
2025-08-06,-0.0161422669,1.0113290976
2025-08-07,-0.0635570925,0.9470519606
2025-08-08,-0.0207732054,0.9273786557
2025-08-09,-0.089990319,0.8439235546
2025-08-10,0.0102121281,0.8525418101
2025-08-11,0.0220166368,0.8713119134
2025-08-12,-0.0382002577,0.8380275738
2025-08-13,-0.0304998417,0.8124678655
2025-08-14,0.0837604447,0.8805205352
2025-08-15,-0.0248133255,0.8586718925
2025-08-16,-0.0161324417,0.8448194183
2025-08-17,-0.0230449576,0.8253505906
2025-08-18,0.0470229749,0.8641610307
2025-08-19,0.0832987708,0.9361445824
2025-08-20,-0.0499210453,0.8894112663
2025-08-21,0.0627061437,0.9451828169
2025-08-22,-0.1159022036,0.8356340456
2025-08-23,0.0028210109,0.8379913784
2025-08-24,0.0161126182,0.8514936135
2025-08-25,0.112800239,0.9475422966
2025-08-26,-0.1449693687,0.8101776881
2025-08-27,0.0564365154,0.8559012936
2025-08-28,-0.0041931118,0.8523124038
2025-08-29,0.0702258183,0.9121667398
2025-08-30,0.0096155411,0.9209377166
2025-08-31,-0.0225165963,0.9002013338
2025-09-01,0.1287932597,1.016141198
2025-09-02,-0.062320984,0.9528142787
2025-09-03,-0.0722733986,0.8839511525
2025-09-04,0.066647583,0.9428643603
2025-09-05,-0.0646424485,0.8819152995
2025-09-06,0.0030112775,0.8845709912
2025-09-07,-0.0119732361,0.8739798138
2025-09-08,-0.0992319195,0.7872531193
2025-09-09,-0.0245256693,0.7679452096
2025-09-10,-0.0707006138,0.713651012
2025-09-11,0.0042960909,0.7167169216
2025-09-12,-0.0210139159,0.7016558925
2025-09-13,-0.0008715222,0.7010443838
2025-09-14,0.0359118759,0.7262202027
2025-09-15,0.0378217224,0.7536871016
2025-09-16,-0.0144354012,0.7428073259
2025-09-17,-0.0483438924,0.7068971285
2025-09-18,-0.0278128309,0.6872363182
2025-09-19,0.0437996303,0.7173370148
2025-09-20,0.0390477881,0.7453474386
2025-09-21,0.0850233222,0.808719354
2025-09-22,0.1439004672,0.9250944469
2025-09-23,0.0559665278,0.976868771
2025-09-24,-0.0036989114,0.9732554199
2025-09-25,0.0559784303,1.0277367306
2025-09-26,0.212846917,1.2464873252
2025-09-27,-0.0202260545,1.2212758046
2025-09-28,-0.0284594997,1.1865189062
2025-09-29,0.0055909515,1.1931526759
2025-09-30,-0.0469438966,1.1371414401
2025-10-01,-0.0904640263,1.0342710469
2025-10-02,-0.0688698387,0.9630409667
2025-10-03,0.173770051,1.1303886446
2025-10-04,0.0192168873,1.1521111958
2025-10-05,0.0116097417,1.1654869092
2025-10-06,0.002497916,1.1683981976
2025-10-07,0.0783075686,1.2598926196
2025-10-08,-0.0937931316,1.1417233454
