date,daily_return,equity_twr
2025-07-11,0.046434418,1.046434418
2025-07-12,0.0019957048,1.0485227922
2025-07-13,0.0369213539,1.0872356733
2025-07-14,0.0495060311,1.1410603963
2025-07-15,-0.0933901945,1.034496544
2025-07-16,0.0587840088,1.0953083979
2025-07-17,0.0282026408,1.1261989872
2025-07-18,-0.0906506015,1.0241083716
2025-07-19,0.0284956418,1.053290997
2025-07-21,-0.0355232039,1.0158747261
2025-07-22,0.0791872016,1.0963190028
2025-07-23,-0.0575656811,1.0332086527
2025-07-24,0.0,1.0332086527
2025-07-25,0.0,1.0332086527
2025-07-26,0.0,1.0332086527
2025-07-27,0.0,1.0332086527
2025-07-28,0.0,1.0332086527
2025-07-29,0.0,1.0332086527
2025-07-30,0.0,1.0332086527
2025-07-31,0.0,1.0332086527
2025-08-01,0.0,1.0332086527
2025-08-02,0.0,1.0332086527
2025-08-03,0.0,1.0332086527
2025-08-04,0.0,1.0332086527
2025-08-05,0.0,1.0332086527
2025-08-06,0.0,1.0332086527
2025-08-07,0.0,1.0332086527
2025-08-08,0.0,1.0332086527
2025-08-09,0.0,1.0332086527
2025-08-10,0.0,1.0332086527
2025-08-11,0.0,1.0332086527
2025-08-24,6.0628e-05,1.0332712941
2025-08-25,0.0001545846,1.0334310219
2025-08-26,-8.25892e-05,1.0333456717
2025-08-27,2.92192e-05,1.0333758652
2025-08-28,-5.27277e-05,1.0333213777
2025-08-29,0.0002050429,1.0335332529
2025-08-30,-8.7814e-06,1.033524177
2025-08-31,-2.60413e-05,1.0334972627
2025-09-01,5.96352e-05,1.0335588955
2025-09-02,-0.0001553759,1.0333983054
2025-09-03,-5.39077e-05,1.0333425973
2025-09-04,-0.0001036543,1.0332354869
2025-09-05,0.0010934809,1.0343653101
2025-09-06,0.0003838587,1.0347623603
2025-09-07,-0.0007155802,1.0340219048
2025-09-08,-0.0010065457,1.0329811145
2025-09-09,0.0007887011,1.0337958279
2025-09-10,-0.0019069986,1.0318243807
2025-09-11,-0.0002936985,1.0315213354
2025-09-12,-0.0074433518,1.0238433592
2025-09-13,5.90011e-05,1.0239037671
2025-09-14,0.0018434887,1.0257913221
2025-09-15,0.0038377926,1.0297280964
2025-09-16,-0.0012016741,1.0284906989
2025-09-17,-0.0001232736,1.0283639131
2025-09-18,-0.0020971481,1.0262072817
2025-09-19,0.0045686975,1.0308957123
2025-09-20,-0.0004590729,1.030422456
2025-09-21,0.0013047139,1.0317668625
2025-09-22,0.0098572338,1.0419372297
2025-09-23,0.0005074463,1.0424659569
2025-09-24,-0.0004078602,1.0420407766
2025-09-25,0.0097697312,1.0522212348
2025-09-26,-0.0027562974,1.0493210002
2025-09-27,0.0001821063,1.0495120882
2025-09-28,-0.003426462,1.0459159749
2025-09-29,-0.0041677563,1.041556852
2025-10-09,-0.0107973079,1.0303108419
2025-10-10,0.0203052926,1.0512316051
2025-10-11,0.0057297496,1.0572548989
2025-10-12,-0.013846003,1.0426161444
2025-10-13,-0.0041688595,1.0382696242
2025-10-14,0.0054182947,1.043895275
2025-10-15,0.0070926545,1.0512992635
2025-10-16,0.0042368664,1.0557534781
2025-10-17,0.0007888837,1.0565863448
2025-10-18,-0.0002373558,1.0563355579
2025-10-19,-0.0042859514,1.051808155
2025-10-20,-0.0008879369,1.0508742157
2025-10-21,0.0014856145,1.0524354097
2025-10-22,0.0072399555,1.0600549952
2025-10-23,-0.0054413483,1.0542868668
2025-11-17,0.0388509306,1.0952468927
2025-11-18,-0.0030699581,1.0918845306
2025-11-19,0.0057942904,1.0982112267
2025-11-20,0.0053426474,1.104078582
2025-11-21,0.0057215589,1.1103956327
2025-11-22,-0.0015804061,1.1086407566
2025-11-23,-0.0036538437,1.1045899566
2025-11-24,-0.0037603846,1.1004362735
2025-11-25,0.0012893088,1.1018550757
2025-11-26,-0.0041838917,1.0972450334
2025-11-27,-0.0002862241,1.0969309754
2025-11-28,-0.0006384266,1.0962306655
2025-11-29,0.0014320587,1.0978005322
2025-11-30,-0.0007435611,1.0969842504
2025-12-01,0.0091544164,1.107026501
2025-12-02,-0.0095787416,1.0964225802
2025-12-03,-0.0056814142,1.0901933494
2025-12-04,0.0017772958,1.0921309455
2025-12-05,0.0054951441,1.0981323624
2025-12-06,-0.0004953525,1.0975883998
2025-12-07,-0.000573327,1.0969591227
2025-12-08,-0.0029122468,1.093764507
2025-12-09,-0.005898168,1.0873133002
2025-12-10,-0.0005748887,1.0866882161
2025-12-11,0.0029398408,1.0898829064
2025-12-12,0.0054224126,1.0957927012
2025-12-13,-0.0002282279,1.0955426108
2025-12-14,0.0027930706,1.0986025386
2025-12-15,0.0046663497,1.1037290022
2025-12-16,-0.0016049951,1.1019575226
2025-12-17,0.0044691966,1.1068823874
2025-12-18,0.0006247455,1.1075739072
2025-12-19,-0.0062463732,1.1006555872
2025-12-20,0.0002927449,1.1009777985
2025-12-21,-0.0003718165,1.1005684368
2025-12-22,-0.0002889324,1.1002504469
2025-12-23,0.000926514,1.1012698444
2025-12-24,0.0005490924,1.1018745433
2025-12-25,0.0003913119,1.1023057199
2025-12-26,0.000971961,1.1033771181
2025-12-27,-0.0002602066,1.1030900121
2025-12-28,-0.0007138466,1.102302575
2025-12-29,0.0007741076,1.1031558758
2025-12-30,-0.0010922349,1.1019509705
2025-12-31,-0.0002332665,1.1016939222
2026-01-01,-0.000524234,1.1011163768
2026-01-02,-0.0047274607,1.0959108924
2026-01-03,-0.0001248141,1.0957741073
2026-01-04,-0.0011197834,1.0945470776
