date,daily_return,equity_twr
2025-11-21,-0.319601973,0.680398027
2025-11-22,0.0148974696,0.6905342359
2025-11-23,-0.0215771426,0.6756344802
2025-11-24,-0.0970109374,0.610090546
2025-11-25,-0.0888581059,0.5558790556
2025-11-26,0.020472459,0.5672592668
2025-11-27,-0.0293715222,0.5505979987
2025-11-28,0.0290828701,0.5666109687
2025-11-29,-0.0132808042,0.5590859194
2025-11-30,0.0567652979,0.5908225982
2025-12-01,0.1164877503,0.6596461935
2025-12-02,-0.072177291,0.6120347182
2025-12-03,-0.1134182832,0.5426187912
2025-12-04,0.0279208546,0.5577691716
2025-12-05,0.1037381941,0.6156311381
2025-12-06,-0.0075821394,0.610963337
2025-12-07,-0.1295365338,0.5318212641
2025-12-08,-0.0283840606,0.5167260171
2025-12-09,-0.0315074341,0.5004453062
2025-12-10,0.0798195896,0.5403906451
2025-12-11,-0.0086120397,0.5357367794
2025-12-12,0.0597514225,0.5677478141
2025-12-13,0.0100572954,0.5734578216
2025-12-14,0.0454292763,0.5995095954
2025-12-15,0.0526891836,0.6310972665
2025-12-16,0.0025084783,0.6326803603
2025-12-17,0.0480299894,0.6630679913
2025-12-18,0.0184724027,0.6753164503
2025-12-19,-0.0377553102,0.6498196682
2025-12-20,-0.0098584095,0.6434134798
2025-12-21,0.0099626784,0.6498236014
2025-12-22,0.0087055155,0.6554806508
2025-12-23,0.0221264327,0.6699840993
2025-12-24,-0.0039320811,0.6673496675
2025-12-25,-0.0178710954,0.655423398
2025-12-26,-0.0357853228,0.6319688601
2025-12-27,-0.0177143766,0.6207739257
2025-12-28,0.0255678518,0.6366457814
2025-12-29,-0.0065345303,0.6324856003
2025-12-30,0.0224311274,0.6466729654
2025-12-31,0.0088240922,0.6523792672
2026-01-01,-0.0421654357,0.6248714112
2026-01-02,-0.0748880939,0.5780759823
2026-01-03,0.0002177465,0.5782018563
2026-01-04,-0.0306247792,0.5604945521
