date,daily_return,equity_twr
2025-07-11,0.0159036235,1.0159036235
2025-07-12,0.0010147353,1.0169344968
2025-07-13,-0.0641631067,0.9516848201
2025-07-14,-0.0120656643,0.9402021106
2025-07-15,-0.0063505487,0.9342313113
2025-07-16,0.0271308214,0.9595777741
2025-07-17,-0.0456450584,0.9157777906
2025-07-18,-0.0252825073,0.8926246319
2025-07-19,0.0114752172,0.9028676935
2025-07-20,-0.0239230497,0.8812683448
2025-07-21,-0.0936601663,0.798728605
2025-07-22,-0.0461610344,0.7618584664
2025-07-23,0.0251142035,0.780991935
2025-07-24,0.0264751939,0.8016688479
2025-07-25,-0.0089466306,0.7944966129
2025-07-26,-0.0614580255,0.7456684198
2025-07-27,-0.0497470175,0.7085736398
2025-07-28,0.0460437141,0.7411990019
2025-07-29,0.1498597005,0.8522748624
2025-07-30,0.0801515447,0.9205860091
2025-07-31,0.0527188907,0.9691182823
2025-08-01,0.1428023024,1.1075106043
2025-08-02,0.0177815601,1.1272038707
2025-08-03,0.0024097214,1.129920118
2025-08-04,0.003145066,1.1334737913
2025-08-05,0.0742362084,1.2176185879
2025-08-06,0.0109289634,1.2309258969
2025-08-07,-0.0324675075,1.1909608011
2025-08-08,-0.0424811725,1.1403673898
2025-08-09,-0.0250143775,1.1118418095
2025-08-10,0.0191192586,1.1330994005
2025-08-11,0.078626321,1.2221908377
2025-08-12,-0.0020468741,1.219689167
2025-08-13,0.0387748806,1.2669824688
2025-08-14,0.0339942086,1.3100525351
2025-08-15,0.0208949277,1.3374259881
2025-08-16,-0.0283630108,1.2994925604
2025-08-17,-0.0161933238,1.2784494566
2025-08-18,0.0363596232,1.3249333971
2025-08-19,0.0089541213,1.3367970114
2025-08-20,-0.0023844609,1.3336094712
2025-08-21,0.0586180105,1.4117830052
2025-08-22,-0.0853610657,1.2912717034
2025-08-23,0.0036079254,1.2959305153
2025-08-24,0.0257245765,1.329267779
2025-08-25,0.1054431144,1.4694299135
2025-08-26,0.0285639359,1.5114026154
2025-08-27,0.0094738769,1.5257214577
2025-08-28,-0.0154750773,1.5021108002
2025-08-29,0.0503440624,1.5777331601
2025-08-30,-0.0230502665,1.5413659903
2025-08-31,0.003225593,1.5463378096
2025-09-01,0.0134475549,1.5671322722
2025-09-02,-0.0289857583,1.5217077549
2025-09-03,0.0020898177,1.5248878467
2025-09-04,0.0174354644,1.5514749745
2025-09-05,-0.0011439734,1.5497001284
2025-09-06,-0.0054476086,1.5412579686
2025-09-07,0.0094160843,1.5557705836
2025-09-08,0.0219505126,1.5899205454
2025-09-09,0.0106587268,1.6068670741
2025-09-10,0.022916939,1.6436915488
2025-09-11,-0.0215684442,1.6082396794
2025-09-12,-0.0517110787,1.5250758708
2025-09-13,0.0051364264,1.5329093107
2025-09-14,0.0201331863,1.5637716595
2025-09-15,0.0268951297,1.6058295011
2025-09-16,0.0110302221,1.6235421571
2025-09-17,-0.0098146764,1.6076076162
2025-09-18,0.0046978453,1.6151599081
2025-09-19,0.0170567941,1.6427093581
2025-09-20,-0.0086006083,1.6285810584
2025-09-21,-0.0031772364,1.6234066713
