date,daily_return,equity_twr
2025-07-19,-1.0,0.0
2025-07-20,-1.0,0.0
2025-07-21,-0.4441130613,0.0
2025-07-22,1.0,0.0
2025-07-23,1.0,0.0
2025-07-24,-0.3071001986,0.0
2025-07-25,-1.0,0.0
2025-07-26,-1.0,0.0
2025-07-27,-1.0,0.0
2025-07-28,1.0,0.0
2025-07-29,1.0,0.0
2025-07-30,1.0,0.0
2025-07-31,0.40714175,0.0
2025-08-01,0.0,0.0
2025-08-02,0.0,0.0
2025-08-03,0.0,0.0
2025-08-04,0.0,0.0
2025-08-05,0.0,0.0
2025-08-06,0.0,0.0
2025-08-07,0.0,0.0
2025-08-08,0.0,0.0
2025-08-09,0.0,0.0
2025-08-10,0.0,0.0
2025-08-11,0.0,0.0
2025-08-12,0.0,0.0
2025-08-13,0.0,0.0
2025-08-14,0.0,0.0
2025-11-22,0.0,0.0
