date,daily_return,equity_twr
2025-07-11,0.0629101726,1.0629101726
2025-07-12,-0.0230286462,1.0384327903
2025-07-13,-0.0087245776,1.0293729028
2025-07-14,-0.0326457795,0.995768222
2025-07-15,0.0689947365,1.0644709881
2025-07-16,-0.1388472936,0.9166720723
2025-07-17,0.3797564886,1.2647842397
2025-07-18,0.1404281881,1.4423955988
2025-07-19,-0.0337520943,1.3937117265
2025-07-20,-0.0598912986,1.3102405213
2025-07-21,-0.0143978805,1.2913758349
2025-07-22,0.0850759759,1.4012408943
2025-07-23,0.2397886788,1.737242597
2025-07-24,0.0863997385,1.8873399031
2025-07-25,-0.0099362519,1.8685868184
2025-07-26,-0.0463965941,1.7818907543
2025-07-27,-0.0508832082,1.691222436
2025-07-28,0.1623877815,1.9658562954
2025-07-29,0.049085463,2.0623512619
2025-07-30,0.0624376623,2.1911196535
2025-07-31,0.0619798755,2.3269249769
2025-08-01,0.1075961062,2.5772930438
2025-08-02,0.0324622735,2.6609578355
2025-08-03,-0.0185953551,2.6114763796
2025-08-04,-0.0605503481,2.4533505758
2025-08-05,0.0609809352,2.6029581882
2025-08-06,-0.0394985572,2.5001450954
2025-08-07,-0.0842351592,2.2895449752
2025-08-08,-0.0379650967,2.2026221788
2025-08-09,-0.0565927341,2.0779697676
2025-08-10,-0.0013243466,2.0752178154
2025-08-11,0.0942034235,2.2707104381
2025-08-12,-0.1500936745,1.9298911647
2025-08-13,-0.1066218938,1.7241225139
2025-08-14,0.2143019699,2.093605365
2025-08-15,0.0229439046,2.1416408467
2025-08-16,-0.2456231939,1.6156041818
2025-08-17,-0.0574060962,1.5228586527
2025-08-18,0.1109521392,1.6918230779
2025-08-19,0.1190859906,1.8932955051
2025-08-20,-0.0915971669,1.7198750007
2025-08-21,0.116739088,1.9206516397
2025-08-22,0.2072264017,2.318661368
2025-08-23,0.0004875927,2.3197919303
2025-08-24,0.190633231,2.7620213612
2025-08-25,0.1987893765,3.3110818655
2025-08-26,-0.2811766499,2.380082959
2025-08-27,0.5125164945,3.5999147338
2025-08-28,0.5300140549,5.5079201392
2025-08-29,0.1314592092,6.231986965
2025-08-30,0.015236682,6.3269417686
2025-08-31,-0.0642166671,5.9206466553
2025-09-01,0.1682447307,6.9167642574
2025-09-02,-0.0604693767,6.498511834
2025-09-03,-0.8457290156,1.0025318178
2025-09-04,0.0461826808,1.0488314247
2025-09-05,-0.0354180769,1.0116838326
2025-09-06,0.0286553657,1.0406740028
2025-09-07,-0.063877181,0.9741986812
2025-09-08,-0.106950584,0.8700075633
2025-09-09,-0.0441251141,0.8316183803
2025-09-10,0.0999678798,0.9147535066
2025-09-11,-0.0736911235,0.847344293
2025-09-12,0.2161455303,1.0304939745
2025-09-13,0.0287656686,1.0601368227
2025-09-14,0.2126186297,1.2855416612
2025-09-15,0.0664662763,1.3709868285
2025-09-16,-0.0644102086,1.2826812809
2025-09-17,-0.0424675628,1.228208933
2025-09-18,-0.0618346531,1.1522630597
2025-09-19,0.1289340474,1.3008289997
2025-09-20,-0.0525525458,1.2324671241
2025-09-21,0.0714119494,1.320480004
2025-09-22,0.1815316879,1.5601889679
2025-09-23,0.038502691,1.6202604417
2025-09-24,0.0367531414,1.6798101028
2025-09-25,0.0680174109,1.7940664368
2025-09-26,-0.0303382176,1.7396376588
2025-09-27,-0.0733612733,1.6120156251
2025-09-28,-0.009428926,1.5968160491
2025-09-29,-0.0095548336,1.5815587374
2025-09-30,0.0794418246,1.7072006492
2025-10-01,-0.0742059243,1.5805162471
2025-10-02,-0.1423975242,1.3554546466
2025-10-03,-0.0278239793,1.3177405045
2025-10-04,0.0538032852,1.3886392727
2025-10-05,-0.0140464755,1.3691337852
2025-10-06,-0.1270019589,1.1952511125
2025-10-07,0.0986383761,1.3131487412
2025-10-08,-0.0853325859,1.2010943635
2025-10-09,0.1846613921,1.4228901207
2025-10-10,0.8757700097,2.6690146155
2025-10-11,-0.4940162861,1.3504779276
2025-10-12,-0.0183914709,1.3256406521
2025-10-13,0.0120111584,1.3415631319
2025-10-14,0.0467657955,1.404302399
