date,daily_return,equity_twr
2025-11-05,0.604089318,1.604089318
2025-11-06,-0.1230488305,1.4067080034
2025-11-07,-0.143329735,1.2050849181
2025-11-08,0.1807291974,1.4228789481
2025-11-09,0.0257527255,1.4595219591
2025-11-10,0.0102758995,1.47451986
2025-11-11,0.0003322595,1.4750097833
2025-11-12,0.0,1.4750097833
2025-11-13,0.0,1.4750097833
2025-11-14,0.1190695103,1.6506384758
2025-11-15,0.003841191,1.6569788935
2025-11-16,-0.0307825738,1.6059728184
2025-11-17,0.0634761798,1.7079138378
2025-11-18,0.0497382334,1.7928624549
2025-11-19,-0.0325935844,1.7344266412
2025-11-20,-0.0285343802,1.6849358519
2025-11-21,0.0567522016,1.7805596711
2025-11-22,-0.0056155114,1.770560918
2025-11-23,0.0435839596,1.8477289735
2025-11-24,0.0200893501,1.8848486477
2025-11-25,0.0134632772,1.9102248875
2025-11-26,-0.0078174182,1.8952918607
2025-11-27,-0.0011204858,1.8931682131
2025-11-28,0.0268691901,1.9440361097
2025-11-29,0.0075963029,1.9588035969
2025-11-30,-0.0071927378,1.9447144362
2025-12-01,0.0579880213,2.0574845784
2025-12-02,0.0396582934,2.1390809054
2025-12-03,0.015745666,2.1727621589
2025-12-04,0.0458017082,2.2722783773
2025-12-05,-0.0012343514,2.2694735873
2025-12-06,0.0,2.2694735873
2025-12-07,0.0,2.2694735873
2025-12-08,9.70265e-05,2.2696937864
2025-12-09,0.027723609,2.3326178895
2025-12-10,0.0006439871,2.3341200653
2025-12-11,0.0307917111,2.405991616
2025-12-12,0.0055446527,2.4193320039
2025-12-13,0.0,2.4193320039
2025-12-14,0.0,2.4193320039
2025-12-15,0.0218970971,2.4723083517
2025-12-16,0.0,2.4723083517
2025-12-17,-0.0049840457,2.4599862539
2025-12-18,0.0283015535,2.5296076865
2025-12-19,0.0,2.5296076865
2025-12-20,-1.36889e-05,2.529573059
2025-12-21,0.0,2.529573059
2025-12-22,0.0,2.529573059
2025-12-23,0.0,2.529573059
2025-12-24,0.0,2.529573059
2025-12-25,0.0,2.529573059
2025-12-26,0.0,2.529573059
2025-12-27,0.0,2.529573059
2025-12-28,0.0,2.529573059
2025-12-29,0.0,2.529573059
2025-12-30,-0.0444228668,2.4172021719
2025-12-31,0.01940157,2.464099689
2026-01-01,0.0841027426,2.6713372309
2026-01-02,0.0116377012,2.7024254554
2026-01-03,-0.0946515012,2.4466368292
2026-01-04,0.1580785501,2.8333976318
