date,daily_return,equity_twr
2025-08-31,0.4741295639,1.4741295639
2025-09-01,0.0820116394,1.5950253461
2025-09-02,-0.0693086291,1.484476326
2025-09-03,-0.0355585666,1.4316904757
2025-09-04,0.0366696385,1.4841900479
2025-09-05,-0.041760423,1.4222096437
2025-09-06,0.0449207617,1.4860963842
2025-09-07,-0.0312518813,1.4396530764
2025-09-08,-0.1173081909,1.2707699785
2025-09-09,-0.0641079497,1.1893035206
2025-09-10,-0.0179948313,1.1679022044
2025-09-11,-0.0515393131,1.107709327
2025-09-12,0.0243783634,1.1347134675
2025-09-13,0.0190700847,1.1563525494
2025-09-14,0.0602784216,1.2260556559
2025-10-24,0.9084101251,2.3398170277
2025-10-25,-0.0917275241,2.1251914049
2025-10-26,-0.0748768356,1.9660637975
2025-10-27,0.0100686327,1.9858593717
2025-10-28,0.0045269267,1.9948492115
2025-10-29,-0.0328407589,1.9293368495
2025-10-30,0.1114169406,2.1442976587
2025-10-31,0.0174141554,2.1816387914
2025-11-01,0.0236231347,2.2331759384
2025-11-02,0.0311553555,2.3027513286
2025-11-03,0.0373618147,2.3887862971
2025-11-04,0.0284760856,2.4568095802
2025-11-05,-0.047654478,2.3397316021
2025-11-06,0.052800106,2.4632696787
2025-11-07,-0.0762961289,2.2753317378
2025-11-08,0.0477858515,2.3840604023
2025-11-09,-0.0322011473,2.3072909221
2025-11-10,0.0140974677,2.3398178814
2025-11-11,0.0464159109,2.4484226597
2025-11-12,0.0136495294,2.4818424767
2025-11-13,0.0042710885,2.4924426456
2025-11-14,0.0077931993,2.5118667479
2025-11-15,-0.0046792957,2.5001129806
2025-11-16,0.0093348252,2.5234510983
2025-11-17,0.0008976618,2.5257163039
2025-11-18,-0.0089726419,2.503053956
2025-11-19,0.0154461572,2.5417165209
2025-11-20,0.0033674711,2.5502756778
2025-11-22,0.0863877302,2.770588205
2025-12-03,-0.0239792391,2.704151608
2025-12-04,0.0221727048,2.7641099633
2025-12-05,0.04244029,2.8814195917
2025-12-06,-0.0009473997,2.8786897357
2025-12-07,0.0249952244,2.9506432316
2025-12-08,-0.0028664491,2.942185363
2025-12-09,0.0249246418,3.0155182792
2025-12-10,-0.0134165743,2.9750603542
2025-12-11,-0.0014700631,2.9706868278
2025-12-12,0.0062236173,2.9891752457
2025-12-13,-0.0051193062,2.9738727423
2025-12-14,0.0059021131,2.9914248756
2025-12-15,0.0182791542,3.0461055922
2025-12-16,0.0129863808,3.0856634793
2025-12-17,0.0254527244,3.1642020215
2025-12-18,0.1487088189,3.6347467669
2025-12-19,-0.2649777331,2.6716198082
2025-12-20,0.05150928,2.8092330209
2025-12-21,0.0907488771,3.0641677631
2025-12-22,0.0341759311,3.1688885494
2025-12-23,-0.0732960713,2.9366214684
2025-12-24,0.0347789769,3.0387541586
2025-12-25,-0.0470571344,2.8957590957
2025-12-26,0.0228236283,2.961850825
2025-12-27,-0.0953495977,2.6794395404
2025-12-28,0.0172814198,2.7257440599
2025-12-29,-0.0164165834,2.6809966552
2025-12-30,0.0129716158,2.7157735138
2025-12-31,0.053303681,2.8605342388
2026-01-01,-0.1482932662,2.4363362735
2026-01-02,-0.1899042999,1.9736655392
2026-01-03,-0.0499880935,1.8750057616
2026-01-04,-0.2042429209,1.4920491082
