date,daily_return,equity_twr
2025-07-11,0.0436163157,1.0436163157
2025-07-12,-0.0166603144,1.0262293398
2025-07-13,0.0377144747,1.0649330402
2025-07-14,0.0174554183,1.0835218919
2025-07-15,0.031881532,1.1180662298
2025-07-16,0.0903837656,1.2191212658
2025-07-17,-0.0015185987,1.2172699099
2025-07-18,0.0456118166,1.2727918017
2025-07-19,0.0453917754,1.3305660813
2025-07-20,0.0152695735,1.3508832579
2025-07-21,0.0118970659,1.3669548051
2025-07-22,-0.0275195627,1.3293368066
2025-07-23,-0.0344907383,1.2834869987
2025-07-24,0.0170809886,1.3054102255
2025-07-25,-0.013802209,1.2873926807
2025-07-26,-0.0228707006,1.2579491082
2025-07-27,0.0078611223,1.2678379999
2025-07-28,0.0045899574,1.2736573223
2025-07-29,0.0177042294,1.2962064438
2025-07-30,-0.0168727008,1.2743359403
2025-07-31,0.0107069832,1.2879802338
2025-08-01,0.0153931507,1.3078063076
2025-08-02,0.0247183127,1.3401330729
2025-08-03,-0.0452368423,1.2795096844
2025-08-04,0.0387722564,1.3291191619
2025-08-05,0.0190995467,1.3545047354
2025-08-06,0.0063188064,1.3630635886
2025-08-07,-0.0182952394,1.338126014
2025-08-08,0.0018658846,1.3406228027
2025-08-09,0.0649824369,1.4277397394
2025-08-10,-0.0044061905,1.4214488461
2025-08-11,-0.0065854394,1.4120879808
2025-08-12,-0.0106540396,1.3970435396
2025-08-13,-0.0092529371,1.3841167836
2025-08-14,0.0579325673,1.4643022223
2025-08-15,-0.0013109863,1.4623825421
2025-08-16,0.0202078735,1.4919341836
2025-08-17,0.0565676282,1.5763293618
2025-08-18,0.0223923683,1.6116271094
2025-08-19,0.034327795,1.6669507144
2025-08-20,-0.0050406625,1.6585481785
2025-08-21,0.0200783119,1.6918490261
2025-08-22,-0.113151879,1.5004131298
2025-08-23,0.0092435419,1.5142822614
2025-08-24,0.0028960963,1.5186677687
2025-08-25,0.0896608364,1.654832791
2025-08-26,-0.0379224401,1.5920774937
2025-08-27,0.0404353391,1.656453687
2025-08-28,-0.0002254299,1.6560802728
2025-08-29,0.040277445,1.7227829549
2025-08-30,-0.0045564651,1.7149331545
2025-08-31,-0.0186134409,1.6830123476
2025-09-01,0.0453216524,1.7592892482
