date,daily_return,equity_twr
2025-07-11,-0.0112365687,0.9887634313
2025-07-12,1.0,1.9775268626
2025-07-13,-0.037688407,1.9029970253
2025-07-14,0.0098792067,1.9217971263
2025-07-15,-0.0096314996,1.9032873381
2025-07-16,0.0257148738,1.9522301318
2025-07-17,0.0103888533,1.9725115642
2025-07-18,0.0209089082,2.0137546274
2025-07-19,0.0032663328,2.0203322202
2025-07-20,0.0352278241,2.0915041283
2025-07-21,-0.0459378852,1.9954248518
2025-07-22,-0.0443500928,1.9069275744
2025-07-23,0.0310527577,1.9661429343
2025-07-24,0.0503684321,2.0651744712
2025-07-25,-0.0386549697,1.9853452146
2025-07-26,1.0,3.9706904292
2025-07-27,-0.0230108619,3.8793214201
2025-07-28,0.0457767002,4.0569039537
2025-07-29,0.0477169877,4.2504871898
2025-07-30,0.0448114083,4.4409575067
2025-07-31,0.0166611169,4.5149488189
2025-08-01,0.0059522136,4.5418227586
2025-08-02,0.0150750237,4.6102908444
2025-08-03,-0.0295006846,4.4742841083
2025-08-04,-0.03234366,4.3295693843
2025-08-05,0.0578095889,4.5798600105
2025-08-06,-0.0171103675,4.5014969227
2025-08-07,-0.0541232624,4.2578612235
2025-08-08,-0.0422653369,4.0779012844
2025-08-09,-0.0701726592,3.7917441073
2025-08-10,0.0093764935,3.8272973713
2025-08-11,0.0832331725,4.1458554736
2025-08-12,-0.0301500449,4.020857745
2025-08-13,-1.0,0.0
2025-08-14,0.1244285934,0.0
2025-08-15,0.0638401749,0.0
2025-08-16,-0.0240706755,0.0
2025-08-17,-0.0284414021,0.0
2025-08-18,-0.0036026034,0.0
2025-08-19,0.0118185028,0.0
2025-08-20,-0.0395927534,0.0
2025-08-21,-0.0143596027,0.0
2025-08-22,-0.0262999661,0.0
2025-08-23,0.272541219,0.0
2025-08-24,0.0133369363,0.0
2025-08-25,0.0575951115,0.0
2025-08-26,0.1260826693,0.0
2025-08-27,0.0251458074,0.0
2025-08-28,-0.0063278319,0.0
2025-08-29,0.0416217279,0.0
2025-08-30,-0.0595783198,0.0
2025-08-31,-0.0539201231,0.0
2025-09-01,-0.8691064928,0.0
2025-09-02,-0.0200308583,0.0
2025-09-03,-0.0437900248,0.0
2025-09-04,0.0484196185,0.0
2025-09-05,-0.0023743825,0.0
2025-09-06,0.0001751592,0.0
2025-09-07,-0.0299291382,0.0
2025-09-08,0.0013183708,0.0
2025-09-09,0.4388282574,0.0
2025-09-10,0.0213736742,0.0
