date,daily_return,equity_twr
2025-11-29,0.0155099442,1.0155099442
2025-11-30,0.0225110035,1.0383700921
2025-12-01,0.0250203045,1.064350428
2025-12-02,0.1251153117,1.1975169636
2025-12-03,0.0102920762,1.2098418994
2025-12-04,0.0007576996,1.2107585961
2025-12-05,-0.0124981813,1.1956263157
2025-12-06,0.0198433939,1.2193515996
2025-12-07,-0.0032067276,1.2154414712
2025-12-08,0.0543520264,1.2815031781
2025-12-09,0.0400426254,1.3328179298
2025-12-10,0.1202275026,1.4930593009
2025-12-11,0.0312337242,1.5396931034
2025-12-12,0.0063344945,1.5494462809
2025-12-13,-0.0021029725,1.5461878379
2025-12-14,0.0580305335,1.6359139431
2025-12-15,-0.0386535614,1.572680043
2025-12-16,-0.0023907619,1.5689201395
2025-12-17,-0.0005245102,1.5680972249
2025-12-18,0.0464352944,1.6409122812
2025-12-19,-0.0492394024,1.560114741
2025-12-20,0.0098252636,1.5754432796
2025-12-21,0.0011177096,1.5772041677
2025-12-22,0.0497343697,1.6556454229
2025-12-23,0.0134696672,1.6779464157
2025-12-24,0.0015866198,1.6806086787
2025-12-25,0.0048070066,1.6886873757
2025-12-26,-0.0042648047,1.6814854539
2025-12-27,-0.001571131,1.67884362
2025-12-28,0.0077810925,1.6919068575
2025-12-29,0.0279169519,1.7391397398
2025-12-30,-0.0148623694,1.7132920026
2025-12-31,0.0129396819,1.7354614561
2026-01-01,0.0019466668,1.7388398213
2026-01-02,-0.0097171416,1.7219432685
2026-01-03,-0.0012110254,1.7198579515
2026-01-04,0.0100162119,1.7370844132
