date,daily_return,equity_twr
2025-07-11,0.051100571,1.051100571
2025-07-12,0.0358763162,1.0888101874
2025-07-13,0.0399713934,1.1323314478
2025-07-14,-0.019673985,1.1100539759
2025-07-15,-0.0077242467,1.1014796451
2025-07-16,0.0084812739,1.1108215957
2025-07-17,-0.0331119081,1.0740401731
2025-07-18,1.0,2.1480803462
2025-08-01,-0.1963436741,1.7263183587
2025-10-29,1.0,3.4526367175
2025-10-30,-0.0014303893,3.4476981028
2025-10-31,-0.0004748374,3.4460610068
2025-11-01,-0.0002103817,3.4453360187
2025-11-02,-0.0005349768,3.4434928438
2025-11-03,-0.0005694125,3.441532076
2025-11-04,-0.0696902209,3.2016909454
2025-11-05,-0.0355422433,3.0878956668
2025-11-06,0.0397405467,3.2106103288
2025-11-07,-0.0430587973,3.0723653094
2025-11-08,-0.0136059617,3.0305628247
2025-11-09,-0.0155997429,2.9832868238
2025-11-10,-0.0155706232,2.9368351887
2025-11-11,-0.0690682603,2.7339930915
2025-11-12,-0.0513327325,2.5936497554
2025-11-13,0.0079761019,2.6143369702
2025-11-14,-0.0425076707,2.5032075952
2025-11-15,0.0062917857,2.5189572409
2025-11-16,0.0187760978,2.5662534284
2025-11-17,0.0410805914,2.6716766369
2025-11-18,-0.0178622739,2.6239544171
2025-11-19,0.0591523724,2.7791675459
2025-11-20,0.0477805109,2.9119575911
2025-11-22,0.2014869737,3.4986791137
2025-11-28,-0.0739700357,3.2398816948
2025-11-29,0.0415659065,3.3745503144
2025-11-30,-0.0194028364,3.3090744667
2025-12-01,-0.0111216918,3.2722719603
2025-12-02,-0.0396974892,3.1423709795
2025-12-03,0.0064785657,3.1627290364
2025-12-04,0.0017096664,3.1681362479
2025-12-05,0.0327987918,3.2720472891
2025-12-06,0.0034202857,3.2832386257
2025-12-07,-0.0033517644,3.2722339833
2025-12-08,-0.0084759882,3.2444985667
2025-12-09,-0.0090448348,3.2151526132
2025-12-10,0.0558975247,3.3948716858
2025-12-11,-0.0236015505,3.3147474502
2025-12-12,0.005410585,3.3326821731
2025-12-13,-0.0177884462,3.2733989355
2025-12-14,0.0117068812,3.311720228
2025-12-15,0.0024931773,3.3199769337
2025-12-16,-0.0359017686,3.2007838901
2025-12-17,0.0104653513,3.2342812179
2025-12-18,-0.0221786762,3.162549142
2025-12-19,-0.0239298125,3.086869934
2025-12-20,-0.003194915,3.077007647
2025-12-21,0.0223934948,3.1459126017
2025-12-22,0.0136059336,3.1887156797
2025-12-23,0.0079489319,3.2140625635
2025-12-24,-0.0049205161,3.1982477169
2025-12-25,-0.0242880163,3.1205686242
2025-12-26,-0.120240622,2.7453495118
2025-12-27,-0.0521231833,2.602253156
2025-12-28,0.0452647492,2.7200434925
2025-12-29,0.0917551963,2.9696216171
2025-12-30,0.0009296543,2.9723823386
2025-12-31,-0.0172216961,2.9211928733
2026-01-01,-0.0120116642,2.8861044854
2026-01-02,0.0212544431,2.947447029
2026-01-03,-0.0609462295,2.7678112459
2026-01-04,0.0241640521,2.834692781
