date,daily_return,equity_twr
2025-07-23,0.0572554189,1.0572554189
2025-07-24,0.0042339687,1.0617318053
2025-07-25,-0.0041136451,1.0573642174
2025-07-26,0.0083716725,1.0662161244
2025-07-27,-0.1198050277,0.938478072
2025-07-28,0.0948558754,1.0274982311
2025-07-29,0.0183876633,1.0463915226
2025-07-30,0.0112158016,1.0581276423
2025-07-31,0.0172513096,1.0763817299
2025-08-01,0.0380215194,1.1173073987
2025-08-02,0.0077520144,1.1259687818
2025-08-03,-0.0089460294,1.1158958319
2025-08-04,-0.0083366975,1.1065929459
2025-08-05,0.0051120516,1.1122499062
2025-11-20,0.2317598942,1.3700248268
2025-11-21,0.0048063297,1.3766096178
2025-11-22,-0.0007505426,1.3755764136
2025-11-23,0.0002646368,1.3759404418
2025-11-24,-0.0082854212,1.3645401957
2025-11-25,-0.001450212,1.3625613231
2025-11-26,-0.0026642775,1.3589310816
2025-11-27,0.0032342858,1.3633262531
2025-11-28,0.0011925685,1.3649521131
2025-11-29,0.0040180583,1.3704365702
2025-11-30,-0.0026778153,1.3667667942
2025-12-01,0.0118787996,1.3830023431
2025-12-02,-0.0093389214,1.3700865929
2025-12-03,-0.0164553559,1.3475413304
2025-12-04,0.0044642711,1.3535571202
2025-12-05,0.0007785082,1.3546108755
2025-12-06,1.71711e-05,1.3546341357
2025-12-07,0.0032390738,1.3590218956
2025-12-08,-0.005551559,1.3514772054
2025-12-09,-0.0001551926,1.3512674661
2025-12-10,0.0009855988,1.3525992737
2025-12-11,0.0028135828,1.3564049238
2025-12-12,0.0035632231,1.3612380971
2025-12-13,-0.0006421885,1.3603639257
2025-12-14,-0.0007281508,1.3593733756
2025-12-15,0.0044547994,1.3654291113
2025-12-16,-0.0030240988,1.3612999187
2025-12-17,-0.009197087,1.348779925
2025-12-18,-0.0020993005,1.3459484306
2025-12-19,-0.0396725499,1.2925512243
2025-12-20,0.0005965794,1.2933223337
2025-12-21,-0.001163831,1.2918171251
2025-12-22,0.0207382019,1.3186070895
2025-12-23,0.001949511,1.3211777285
2025-12-24,-0.0166291644,1.2992076469
2025-12-25,-0.0119457811,1.2836875967
2025-12-26,0.0074923071,1.2933053784
2025-12-27,0.0006447114,1.2941391871
2025-12-28,-0.0166864243,1.2725446315
2025-12-29,-0.0122940695,1.2568998794
2025-12-30,-0.0085704443,1.246127689
2025-12-31,0.0015763388,1.2480920084
2026-01-01,0.0042840038,1.2534388393
2026-01-02,-0.0322733937,1.2129861142
2026-01-03,0.0053584509,1.2194858407
2026-01-04,-0.0132438039,1.2033352094
