date,daily_return,equity_twr
2025-07-11,0.0061223632,1.0061223632
2025-07-12,0.0347120484,1.0410469314
2025-07-13,0.0056878237,1.0469682228
2025-07-14,0.0018211122,1.0488748694
2025-07-15,0.0111434401,1.0605629437
2025-07-16,0.0191809059,1.0809055017
2025-07-17,0.0068756634,1.0883374441
2025-07-18,-0.0809806018,1.0002032229
2025-07-19,0.0108868067,1.011092242
2025-07-20,0.1131629641,1.1255104371
2025-07-21,-0.0653142203,1.0519986005
2025-07-22,0.0268031209,1.0801954462
2025-07-23,-0.0720017791,1.0024194523
2025-07-24,0.0025573293,1.0049829689
2025-07-25,0.0207523004,1.0258386774
2025-07-26,0.0067177766,1.0327300324
2025-07-27,-0.00766991,1.024809086
2025-07-28,4.71177e-05,1.0248573727
2025-07-29,0.0069611488,1.0319915573
2025-07-30,-0.0028470411,1.029053435
2025-07-31,-0.0082015003,1.0206136529
2025-08-01,-0.1237357208,0.8943272869
2025-08-02,0.0063519045,0.9000079684
2025-08-03,0.0597591296,0.9537916613
2025-08-04,0.0133759598,0.9665495402
2025-08-05,-0.0017132199,0.9648936283
2025-08-06,0.0177038541,0.9819759643
2025-08-07,0.0251306191,1.0066536282
2025-08-08,0.0065621394,1.0132594296
2025-08-09,0.0137468068,1.0271885113
2025-08-10,0.0097016533,1.0371539381
2025-08-11,-0.0306561848,1.0053587553
2025-08-12,0.0704323085,1.0761684933
2025-08-13,0.0507637908,1.1307988855
2025-08-14,0.0903978612,1.2330206862
2025-08-15,0.0366701373,1.2782357241
2025-08-16,-0.0025627638,1.2749599079
2025-08-17,0.0029798658,1.2787591173
2025-08-18,-0.0179785331,1.2557689042
2025-08-19,-0.0274269393,1.2213270067
2025-08-20,0.0220365033,1.2482407833
2025-08-21,-0.0323618923,1.2078453495
2025-08-22,0.0928504448,1.3199943274
2025-08-23,0.0047293445,1.3262370353
2025-08-24,0.0148564685,1.3459402341
2025-08-25,-0.0279818376,1.308278353
2025-08-26,0.1082220382,1.4498629029
2025-08-27,0.000520728,1.4506178871
2025-08-28,-0.0201671782,1.4213630177
2025-08-29,-0.0518174087,1.3477116693
2025-08-30,-0.0074003557,1.3377381236
2025-08-31,0.0640364223,1.423402087
2025-09-01,-0.1010790111,1.2795260116
2025-09-02,0.128019264,1.4433299899
2025-09-03,0.0705279313,1.5451250683
2025-09-04,-0.0354860268,1.4902947187
2025-09-05,0.096409055,1.6339726242
2025-09-06,-0.0509807395,1.5506714915
2025-09-07,0.0480076642,1.6251156077
2025-09-08,0.1592357501,1.8838921105
2025-09-09,0.0788171592,2.0323751349
2025-09-10,0.0685829587,2.1717614349
2025-09-11,0.0169785717,2.2086348421
2025-09-12,0.0076319049,2.2254909332
2025-09-13,-0.0108516087,2.2013407764
2025-09-14,0.0007593786,2.2030124275
2025-09-15,0.0030704974,2.2097767714
2025-09-16,0.0263184962,2.267934773
2025-09-17,0.0330635096,2.3429206561
2025-09-18,0.0046394217,2.3537904531
2025-09-19,-0.001921069,2.3492686592
2025-09-20,-0.0286663806,2.2819236297
2025-09-21,-0.094510699,2.0662574324
2025-09-22,-0.1212069567,1.8158126572
2025-09-23,-0.0324875001,1.7568214434
2025-09-24,0.011524471,1.7770678811
2025-09-25,-0.0300039881,1.7237487576
2025-09-26,0.0314194405,1.7779079791
2025-09-27,0.0193498613,1.8123102519
2025-09-28,0.0160488799,1.8413958015
2025-09-29,0.0096393251,1.8591456142
2025-09-30,0.0120878243,1.8816186398
2025-10-01,0.0315354854,1.9409563969
2025-10-02,0.0148398956,1.9697599872
2025-10-03,0.0097458669,1.9889570059
2025-10-04,0.0030774441,1.9950779099
2025-10-05,-0.0157701597,1.9636152126
2025-10-06,0.0282332094,2.0190543721
2025-10-07,-0.0951269177,1.826987953
2025-10-08,0.0535567722,1.9248355306
2025-10-09,-0.0740430567,1.7823148243
2025-10-10,-0.0185757232,1.7492070375
2025-10-11,-0.0011779664,1.7471465303
2025-10-12,0.1830542621,2.0669691492
2025-10-13,0.1118242211,2.2981063644
2025-10-14,-0.0449990436,2.1946937759
2025-10-15,-0.0979012627,1.979830484
2025-10-16,-0.0313318037,1.9177988239
2025-10-17,-0.0364492343,1.8478965252
2025-10-18,0.0286669737,1.9008701263
2025-10-19,0.1239247177,2.1364349201
2025-10-20,0.0081834237,2.1539182723
2025-10-21,-0.0832411865,1.9746235597
2025-10-22,-0.0532940555,1.8693878621
2025-10-23,0.263164499,2.3613443822
2025-10-24,-0.0048595775,2.3498692462
2025-10-25,0.0812394452,2.5407713201
2025-10-26,0.003390621,2.5493861127
2025-10-27,0.0217755167,2.6049003125
2025-10-28,0.017126611,2.6495134269
2025-10-29,0.0477875307,2.7761271311
2025-10-30,-0.0717682785,2.576889266
2025-10-31,0.0029681233,2.5845377911
2025-11-01,-0.076502834,2.3868133255
2025-11-02,-0.1192553601,2.1021730429
2025-11-03,-0.1720229056,1.740551128
2025-11-04,-0.1830841574,1.4218837913
