date,daily_return,equity_twr
2025-07-11,0.0,1.0
2025-07-12,0.0,1.0
2025-07-13,0.0,1.0
2025-07-29,0.0033992463,1.0033992463
2025-07-30,0.0,1.0033992463
2025-07-31,0.0,1.0033992463
2025-08-01,0.0,1.0033992463
2025-08-02,0.0166081347,1.0200638361
2025-08-03,-0.0004321798,1.0196229852
2025-08-04,0.0065188977,1.0262698031
2025-08-05,-0.007036849,1.0190480975
2025-08-06,0.0049395305,1.0240817166
2025-08-07,0.008849642,1.0331444732
2025-08-08,0.0058187928,1.0391561268
2025-08-09,0.0070066011,1.0464370793
2025-08-10,0.0,1.0464370793
2025-08-11,0.0,1.0464370793
2025-08-12,0.0,1.0464370793
2025-08-13,0.3145767936,1.3756219004
2025-08-14,0.0,1.3756219004
2025-08-15,0.0005286171,1.3763490776
2025-08-16,0.0015489741,1.3784810067
2025-08-17,-0.0001444889,1.3782818315
2025-08-18,-0.0012758841,1.3765233036
2025-08-19,-0.0265875787,1.3399248819
2025-08-20,0.0403294477,1.3939633124
2025-08-21,-0.0250325472,1.35906886
2025-08-22,0.0731942569,1.4585448953
2025-08-23,-0.0151584724,1.4364355827
2025-08-24,-0.0203239965,1.407241471
2025-08-25,-0.0512544465,1.3351140883
2025-08-26,0.029927927,1.3750712853
2025-08-27,-0.0141107649,1.3556679776
2025-08-28,0.0235357394,1.3875746259
2025-08-29,-0.0662759126,1.2956118512
2025-08-30,0.0017459813,1.2978739653
2025-08-31,0.0100349431,1.3108980567
2025-09-01,-0.0343372954,1.2658853629
2025-09-02,0.0641933144,1.34714674
2025-09-03,0.0174024556,1.3705904013
2025-09-04,-0.0300215112,1.3294432062
2025-09-05,0.0029147774,1.3333182372
2025-09-06,-0.0081634634,1.3224337426
2025-09-07,0.0222974234,1.3519206077
2025-09-08,0.0173854174,1.3754243117
2025-09-09,-0.014244042,1.3558327101
2025-09-10,0.0464526389,1.4188147174
2025-09-11,-0.0011115532,1.4172376293
2025-09-12,0.008183317,1.4288353341
2025-09-13,0.0061534703,1.4376276299
2025-09-14,-0.0166818445,1.4136453493
2025-09-15,-0.0105335245,1.3987546814
2025-09-16,0.0147676282,1.4194109705
2025-09-17,9.7382e-05,1.4195491956
2025-09-18,0.0105368914,1.4345068313
2025-09-19,-0.0219808765,1.4029751138
2025-09-20,-0.0009988609,1.4015737368
2025-09-21,-0.0033653099,1.3968570068
2025-09-22,-0.0450202069,1.3339702154
2025-09-23,-0.0007824766,1.3329264149
2025-09-24,0.0111304084,1.3477624302
2025-09-25,-0.0462780514,1.2853906112
2025-09-26,0.0054724927,1.292424902
2025-09-27,0.0013763589,1.2942037425
2025-09-28,0.0239470891,1.3251961548
2025-09-29,0.0215801563,1.353794095
2025-09-30,5.23e-05,1.3538648984
2025-10-01,0.0509515938,1.4228464728
2025-10-02,0.0533554123,1.498763033
2025-10-03,0.0213618851,1.5307794367
2025-10-04,-0.0058808018,1.5217772262
2025-10-05,-0.0037021153,1.5161434314
2025-10-06,0.0044302852,1.5228603792
2025-10-07,-0.0088145379,1.5094370687
2025-10-08,0.0051262092,1.5171747589
2025-10-09,0.0029933093,1.5217161322
2025-10-10,0.2700944172,1.9327231641
2025-10-11,0.002825376,1.9381838337
2025-10-12,0.0160980105,1.9693847374
2025-10-13,0.0041849354,1.9776264853
2025-10-14,-0.0079001113,1.962003016
2025-10-15,-0.0145191383,1.9335164229
2025-10-16,-0.0131981863,1.9079975129
2025-10-17,-0.0068240925,1.8949771614
2025-10-18,0.0002584549,1.8954669275
2025-10-19,0.0100415401,1.9145003347
2025-10-20,0.0106774105,1.9349422407
2025-10-21,-0.0040213384,1.9271611831
2025-10-22,-0.0149290989,1.8983904032
2025-10-23,0.0113277057,1.919894811
2025-10-24,0.0066926874,1.9327440668
2025-10-25,0.0019236045,1.936461902
2025-10-26,0.0184974745,1.9722815567
2025-10-27,-0.002015039,1.9683073324
2025-10-28,-0.0099234633,1.9487749068
2025-10-29,-0.0009672087,1.9468900348
2025-10-30,-0.0256336069,1.896984221
2025-10-31,0.0106708634,1.9172266804
2025-11-01,0.0009283142,1.9190064692
2025-11-02,7.41345e-05,1.9191487338
2025-11-03,-0.0244869728,1.8721545909
2025-11-04,-0.0251880343,1.8249986969
2025-11-05,0.0443120386,1.9058681096
2025-11-06,-0.0176230543,1.8722808924
2025-11-07,0.0427795641,1.9523762529
2025-11-08,-0.0141605164,1.9247295969
2025-11-09,0.0186733573,1.9606707604
2025-11-10,0.0108527847,1.981949498
2025-11-11,-0.027772438,1.9269059285
2025-11-12,-0.0077447275,1.9119825671
2025-11-13,-0.0190257863,1.8756055954
2025-11-14,-0.0293553853,1.8205464705
2025-11-15,0.004007231,1.8278418207
2025-11-16,-0.018583196,1.7938746779
2025-11-17,-0.0094500803,1.7769224182
2025-11-18,0.0100663274,1.794809501
2025-11-19,-0.0421751114,1.7191132103
2025-11-20,-0.0251434989,1.6758886892
2025-11-21,0.008076608,1.6894241852
2025-11-22,0.0511887546,1.7759037052
2025-11-23,0.0719131083,1.9036144607
2025-11-24,0.0466018045,1.9923263297
2025-11-25,-0.0130342333,1.9663578835
2025-11-26,0.0367744003,2.0386695154
2025-11-27,-0.0129620988,2.0122440797
2025-11-28,-0.004177149,2.0038386364
2025-11-29,-0.0022809406,1.9992679995
2025-11-30,0.0001122904,1.9994924981
2025-12-01,-0.0318754629,1.9357577492
2025-12-02,0.0417572752,2.0165897182
2025-12-03,0.0170971134,2.0510675813
2025-12-04,-0.0029493928,2.0450181774
2025-12-05,-0.0058213062,2.0331135004
2025-12-06,0.0025264804,2.0382501218
2025-12-07,-0.002120891,2.0339272154
2025-12-08,0.001065997,2.0360953757
2025-12-09,0.0060414062,2.048396255
2025-12-10,-0.0017606148,2.0447898182
2025-12-11,-0.0015862822,2.0415462045
2025-12-12,-0.0037194704,2.0339527338
2025-12-13,1.9207e-06,2.0339566404
2025-12-14,-0.003593209,2.0266482091
2025-12-15,-0.0048999372,2.0167177602
2025-12-16,0.0015050234,2.0197529676
2025-12-17,-0.0057276893,2.0081844501
2025-12-18,-0.002185108,2.0037963502
2025-12-19,0.0051424553,2.0141007834
2025-12-20,-0.0001916294,2.0137148225
2025-12-21,-0.0016008765,2.0104911137
2025-12-22,-0.0182507255,1.9737981923
2025-12-23,-0.0012979214,1.9712363574
2025-12-24,-0.0008850201,1.9694917736
2025-12-25,0.0001657318,1.969818181
2025-12-26,-0.0252040748,1.9201707362
2025-12-27,0.0046835479,1.9291639478
2025-12-28,0.0021669229,1.9333442974
2025-12-29,-0.0039488459,1.9257098187
2025-12-30,0.0037569881,1.9329446876
2025-12-31,0.0026792232,1.9381234778
2026-01-01,0.0013271521,1.9406956625
2026-01-02,0.0225680833,1.9844934438
2026-01-03,-3.2206e-06,1.9844870526
2026-01-04,0.0078506802,2.0000666258
