date,daily_return,equity_twr
2025-07-11,-0.0358768547,0.9641231453
2025-07-12,-0.0112664797,0.9532608715
2025-07-13,-0.0128177763,0.9410421868
2025-07-14,-0.0065878356,0.9348427556
2025-07-15,0.0620121973,0.992814409
2025-07-16,0.0173965007,1.0100859056
2025-07-17,-0.0484747678,0.9611222259
2025-07-18,0.0663056672,1.0248500763
2025-07-19,-0.0019215093,1.0228808174
2025-07-20,-0.0087340694,1.0139469053
2025-07-21,-0.1092586727,0.9031644123
2025-07-22,-0.1435217981,0.7735406318
2025-07-23,0.0889451957,0.8423433547
2025-07-24,-0.0040446882,0.8389363385
2025-07-25,0.0155171613,0.851954249
2025-07-26,-0.022490348,0.8327935014
2025-07-27,-0.0277768079,0.8096611563
2025-07-28,0.0468875733,0.8476242031
2025-07-29,0.0198467028,0.8644467488
2025-07-30,0.0122761628,0.8750588378
2025-07-31,0.0271994047,0.8988599173
2025-08-01,0.0623419659,0.9548966116
2025-08-02,0.024218265,0.9780225508
2025-08-03,-0.0302049163,0.9484814615
2025-08-04,-0.029608613,0.9203982409
2025-08-05,0.0480581212,0.9646308512
2025-08-06,-0.0325861602,0.9331972357
2025-08-07,-0.065271349,0.8722861932
2025-08-08,-0.0050700314,0.8678636749
2025-08-09,-0.0106718541,0.8586019603
2025-08-10,-0.0172852304,0.8437608276
2025-08-11,0.0304073781,0.8694173821
2025-08-12,-0.4640386807,0.4659740872
2025-08-13,-0.0997511146,0.4194926526
2025-08-14,0.2322238819,0.5169088648
2025-08-15,-0.004900528,0.5143757384
2025-08-16,0.011095383,0.5200829343
2025-08-17,-0.0267710724,0.5061597564
2025-08-18,0.0584322523,0.535735811
2025-08-19,-0.0117642675,0.5294332716
2025-08-20,-0.0627368746,0.4962182828
2025-08-21,0.0666314183,0.5292820108
2025-08-22,-0.2221974637,0.4116768904
2025-08-23,0.0670023889,0.4392602255
2025-08-24,0.0403598494,0.4569887021
2025-08-25,0.2261318386,0.5603283975
2025-08-26,-0.1258178153,0.4898291027
2025-08-27,0.0564146255,0.517462628
