date,daily_return,equity_twr
2025-07-12,0.002145832,1.002145832
2025-07-13,0.2743304251,1.2770649241
2025-07-14,0.024865763,1.3088201178
2025-07-15,0.1209174684,1.4670793331
2025-07-16,0.0685703732,1.5676775105
2025-07-17,0.0208756052,1.6004037273
2025-07-18,-0.0459599351,1.5268492758
2025-07-19,-0.0022904854,1.5233520498
2025-07-20,-0.0056029077,1.5148168489
2025-07-21,0.0022232057,1.5181845984
2025-07-22,0.0452039983,1.5868126124
2025-07-23,-0.0288431895,1.5410438755
2025-07-24,-0.004479317,1.5341410515
2025-07-25,-0.0227079513,1.4993038512
2025-07-26,0.0131267554,1.5189848461
2025-07-27,0.031378072,1.566647662
2025-07-28,-0.0367362178,1.5090949522
2025-07-29,-0.0035234453,1.5037777387
2025-08-01,-0.067455368,1.402339858
2025-08-18,0.0327910166,1.4483240075
2025-08-19,-0.0738866637,1.3413121787
2025-08-20,0.0274883084,1.3781825815
2025-08-21,0.1627907056,1.6025378964
2025-08-22,0.0943016953,1.7536599368
2025-08-23,-0.0277064047,1.7050723249
2025-08-24,-0.0402335517,1.6364712093
2025-08-25,-0.0637301298,1.5321786867
2025-08-26,0.0235185318,1.5682132799
2025-08-27,-0.0032710671,1.5630835491
2025-08-28,0.0190656383,1.5928847346
2025-08-29,-0.0956834782,1.4404719828
2025-08-30,0.0086490783,1.4529307378
2025-08-31,0.0060857759,1.4617729487
2025-09-01,-0.0079772428,1.450112031
2025-09-03,0.0808582572,1.5673655625
2025-09-04,-0.027017131,1.5250198418
2025-09-05,0.0023383832,1.5285859226
2025-09-06,-0.0206303623,1.4970506412
2025-09-07,0.0260890955,1.5361073383
2025-09-08,0.0282173338,1.5794521918
2025-09-09,-0.0209575669,1.5463507169
2025-09-10,0.0528146264,1.6280206523
2025-09-11,0.0316506061,1.6795484927
2025-09-12,0.0156255921,1.7057924323
2025-09-13,-0.0017922647,1.7027352008
2025-09-14,0.0022842026,1.7066245929
2025-09-15,-0.0175688211,1.6766412108
2025-09-16,0.0325075181,1.7311446553
2025-09-17,-0.0092249947,1.715174855
2025-09-18,0.0207625134,1.7507861959
2025-09-19,-0.0406918534,1.6795434607
2025-09-20,0.0023268032,1.6834514278
2025-09-21,-0.0063501648,1.6727612338
2025-09-22,-0.0772231277,1.5435853794
2025-09-23,-0.0142230389,1.5216309045
2025-09-24,0.0307874401,1.5684780249
2025-09-25,-0.1090249388,1.3974748042
2025-09-26,0.0075983922,1.4080933658
2025-09-27,-0.0010124432,1.4066677513
2025-09-28,0.072358741,1.5084524588
2025-09-29,0.059904047,1.5988148658
2025-09-30,-0.0029103006,1.5941618339
2025-10-07,0.7008212678,2.7113843514
2025-10-08,0.0285083148,2.78868135
2025-10-09,-0.0374571813,2.6842252071
2025-10-10,-0.1938467984,2.1638967445
2025-10-11,-0.0724711845,2.0070765843
2025-10-12,0.1339454314,2.2759153233
2025-10-13,0.0004872222,2.2770241997
2025-10-14,-0.0679732239,2.122247524
2025-10-15,-0.0715762483,1.9703450083
2025-10-16,-0.1154594343,1.7428500882
2025-10-17,-0.0257329962,1.6980013335
2025-10-18,0.0288249527,1.7469461417
2025-10-19,0.0642798822,1.8592396338
2025-10-20,0.0407870376,1.9350725107
2025-10-21,-0.0299960413,1.8770279958
2025-10-22,-0.0952197207,1.6982979142
2025-10-23,0.122882971,1.9069898076
2025-10-24,0.8654103605,3.5573185445
2025-10-25,0.0074410195,3.5837886211
2025-10-26,0.1091446814,3.9749400884
2025-10-27,0.003385386,3.9883967949
2025-10-28,-0.0466245097,3.8024397498
2025-10-29,-0.0151342868,3.7448925361
2025-10-30,-0.1380580583,3.2278799441
2025-10-31,0.0672911654,3.4450877473
2025-11-01,0.0066157696,3.467879654
2025-11-02,-0.026898036,3.3746005023
2025-11-03,-0.1188686105,2.9734664296
2025-11-04,-0.1837964933,2.4269537269
2025-11-05,0.1234960979,2.7266730419
2025-11-06,-0.1045890484,2.4414929032
2025-11-07,0.1345213104,2.7699257278
2025-11-08,-0.0781568261,2.5534371244
2025-11-09,0.1182717813,2.8554366816
2025-11-10,0.0668162411,3.0462262273
2025-11-11,0.0141871242,3.0894434171
2025-11-12,-0.0960164815,2.7928059304
2025-11-13,-0.0210777694,2.7339398111
2025-11-14,-0.1635907544,2.2866925349
2025-11-15,-0.2310589203,1.7583318267
2025-11-16,-0.0075565654,1.7450448773
2025-11-17,-0.0636123875,1.6340384063
2025-11-18,0.0180897718,1.6635977882
2025-11-19,-0.0422148183,1.5933693099
2025-11-20,-0.0935594059,1.4442946239
2025-11-22,-0.074760096,1.3363190191
2025-11-28,0.1821900569,1.5797830573
2025-11-29,-0.0088867355,1.5657439431
2025-11-30,0.0172190657,1.5927045909
2025-12-01,-0.1020706026,1.4301362735
2025-12-02,0.1177270958,1.5985020636
2025-12-03,0.0354660821,1.655194669
2025-12-04,-0.019742794,1.6225165017
2025-12-05,-0.0683171729,1.5116707613
2025-12-06,0.0075818655,1.5231320457
2025-12-07,0.012268512,1.5418186095
2025-12-08,0.0148898565,1.5647760673
2025-12-09,0.0487411468,1.6410450473
2025-12-10,-0.0299135086,1.5919556322
2025-12-11,0.0209021016,1.6252308505
2025-12-12,-0.0593896421,1.528708972
2025-12-13,-0.0017888756,1.5259743018
2025-12-14,-0.0379820067,1.4680147357
2025-12-15,-0.0609929972,1.378476117
2025-12-16,0.0280324426,1.4171181696
2025-12-17,-0.0387792241,1.3621634266
2025-12-18,-0.0099454826,1.3486160539
2025-12-19,0.0303801159,1.3895871659
2025-12-20,0.0271516674,1.4273167745
2025-12-21,-0.0028225831,1.4232880543
2025-12-22,-0.0016967475,1.4208730938
2025-12-23,-0.0113011193,1.4048156375
2025-12-24,0.0023526556,1.4081206848
2025-12-25,0.0031511815,1.4125579287
2025-12-26,-0.011051871,1.3969465207
2025-12-27,0.0041478342,1.4027408232
2025-12-28,0.0007636819,1.403812071
2025-12-29,0.0017355058,1.406248395
2025-12-30,0.0141373842,1.4261290689
2025-12-31,-0.01543615,1.4041151266
2026-01-01,0.0167307914,1.4276070839
2026-01-02,0.0453483646,1.4923467305
2026-01-03,-0.0139482452,1.4715311123
2026-01-04,0.0252571193,1.5086977492
