date,daily_return,equity_twr
2025-07-13,-0.0115151376,0.9884848624
2025-07-14,0.0077692884,0.9961646864
2025-07-15,0.0014940365,0.9976529928
2025-07-16,-0.0021899443,0.9954681883
2025-07-17,0.0084641873,1.0038940175
2025-07-18,0.0190868605,1.0230552026
2025-07-19,0.0005015392,1.0235683048
2025-07-20,-0.0160198349,1.0071709096
2025-07-21,0.0150291141,1.0223077961
2025-07-22,-0.0034154286,1.0188161768
2025-07-23,0.0098898374,1.0288921032
2025-07-24,0.0068275206,1.0359168852
2025-07-25,-0.0078411282,1.0277941281
2025-07-26,-0.0019858499,1.0257530832
2025-07-27,0.0037108609,1.0295595102
2025-07-28,0.0003903151,1.0299613628
2025-07-29,0.0078185469,1.0380141641
2025-07-30,0.0152912785,1.0538867277
2025-07-31,0.0041076935,1.0582157714
2025-08-01,0.0293308012,1.0892540878
2025-08-22,1.0,2.1785081756
2025-08-23,0.0019966266,2.182857843
2025-08-24,1.0,4.365715686
2025-08-25,0.0569173971,4.6142008593
2025-08-26,-0.2449689492,3.4838649234
2025-08-27,0.1562094721,4.028077624
2025-08-28,0.0094063178,4.0659670022
2025-08-29,0.0095875053,4.1049494824
2025-08-30,0.0018732369,4.1126390253
2025-08-31,-0.005557235,4.0897841237
2025-09-01,0.0120581971,4.1390995468
2025-09-02,-0.0097208998,4.0988637748
2025-09-03,-0.0073964301,4.0685468154
2025-09-04,0.0044916614,4.0868213501
2025-09-05,-0.0114567398,4.0399997013
2025-09-06,0.0072172588,4.0691574247
2025-09-07,-0.0044421123,4.0510817705
2025-09-08,-0.0202548044,3.9690279016
2025-09-09,-0.0127828789,3.9182922986
2025-09-10,-0.0115172291,3.8731644285
2025-09-11,-0.0034572455,3.8597739482
2025-09-12,0.001710175,3.8663748371
2025-09-13,0.0062103541,3.8903863939
2025-09-14,0.0018261837,3.8974909542
2025-09-15,1.0,7.7949819083
2025-09-16,-0.0222173004,7.6217984536
2025-09-17,-0.0780219192,7.0271311105
2025-09-18,-0.0369365971,6.7675727999
2025-09-19,0.0635719471,7.19780058
2025-09-20,0.0581844401,7.6166005767
2025-09-21,0.0939500861,8.3321808566
2025-09-22,0.1069708175,9.2234810544
2025-09-23,0.0780358405,9.9432431508
2025-09-24,-0.0219543883,9.7249453297
2025-09-25,0.0975174809,10.6732975002
2025-09-26,-0.0525596155,10.1123130875
2025-09-27,-0.0348433148,9.7599665792
2025-09-28,-0.0202786214,9.5620479121
2025-09-29,0.0027764146,9.5885961215
2025-09-30,0.0233527792,9.8125164896
2025-10-01,-0.0293987708,9.5240405663
2025-10-02,-0.0813860707,8.7489163274
2025-10-03,0.0070772809,8.8108348658
2025-10-04,0.0182635891,8.9717523335
2025-10-05,0.0123388581,9.0824535124
2025-10-06,-0.009847273,8.9930161132
2025-10-07,0.0645846643,9.5738270399
2025-10-08,-0.0185664342,9.3960752101
2025-10-09,0.0396605098,9.7687283431
2025-10-10,0.1559628082,11.292286648
2025-10-11,0.0368094572,11.70794959
2025-10-12,-0.0393621741,11.2470992399
2025-10-13,-0.0789178987,10.3595018014
2025-10-14,0.1188628214,11.5908614139
2025-10-15,0.043555067,12.0957021593
2025-10-16,0.0084735206,12.1981953407
2025-10-17,0.016331717,12.397412815
2025-10-18,-0.0046345657,12.3399561908
2025-10-19,-0.0228460502,12.0580369322
2025-10-20,0.0021757123,12.0842717514
2025-10-21,0.0198909005,12.3246387984
2025-10-22,0.0208567133,12.5816902564
2025-10-23,-0.0748021502,11.6405527721
2025-10-24,-0.0129950042,11.4892837399
