date,daily_return,equity_twr
2025-07-11,0.0162462367,1.0162462367
2025-07-12,-0.0158569675,1.0001316532
2025-07-13,0.0156648226,1.0157985381
2025-07-14,0.0294659518,1.0457300088
2025-07-15,0.028780904,1.0758270638
2025-07-16,0.0676722529,1.148630705
2025-07-17,0.0173333987,1.1685403789
2025-07-18,-0.0102855808,1.1565212625
2025-07-19,0.015019342,1.1738914508
2025-07-20,0.0087189405,1.1841265405
2025-07-21,-0.0029433154,1.1806412827
2025-07-22,-0.0016109225,1.178739361
2025-07-23,0.0005444896,1.1793811724
2025-07-24,0.0005651227,1.1800476674
2025-07-25,0.0096631448,1.1914506389
2025-07-26,0.0048372581,1.1972139932
2025-07-27,0.0048415596,1.2030103761
2025-07-28,-0.016682931,1.182940637
2025-07-29,-0.004055618,1.1781430816
2025-07-30,-0.0034852159,1.1740369986
2025-07-31,0.0073307482,1.1826435683
2025-08-01,-0.0178259107,1.1615618696
2025-08-02,-0.0049462336,1.1558165133
2025-08-03,0.0195305747,1.178390274
2025-08-04,0.0230208076,1.2055177698
2025-08-05,-0.0202298244,1.181130357
2025-08-06,0.0146807231,1.1984702047
2025-08-07,0.028516603,1.2326465038
2025-08-08,0.0101900927,1.2452072859
2025-08-09,0.0080331177,1.2552101826
2025-08-10,-0.0030716989,1.2513545549
2025-08-11,-0.0153848774,1.2321026184
2025-08-12,0.0205243567,1.2573907321
2025-08-13,0.0081545042,1.2676441301
2025-08-14,-0.0186055745,1.2440588828
2025-08-15,0.0,1.2440588828
2025-08-16,0.0,1.2440588828
2025-08-17,0.0,1.2440588828
2025-08-18,0.0,1.2440588828
2025-08-19,-0.0031897272,1.2400906743
2025-08-20,0.0051315165,1.2464542201
2025-08-21,-0.0137583344,1.2293050861
2025-08-22,0.0630241026,1.306780936
2025-08-23,0.0002347071,1.3070876467
2025-08-24,-0.0235945781,1.2762474652
2025-08-25,-0.0380657083,1.2276662014
2025-08-26,0.0072210384,1.2365312262
2025-08-27,-0.0121088801,1.2215582179
2025-08-28,0.0238240818,1.2506607208
2025-08-29,-0.0168006717,1.2296487806
2025-08-30,0.0063987366,1.2375169793
2025-08-31,0.0034719698,1.2418136008
2025-09-01,-0.0365875543,1.1963786783
2025-09-02,0.0398621673,1.2440689253
2025-09-03,0.0078690603,1.2538585787
2025-09-04,-0.0166234809,1.2330150846
2025-09-05,0.0080051376,1.24288554
2025-09-06,-0.0064738742,1.2348392554
2025-09-07,0.0049003301,1.2408903753
2025-09-08,0.0131245675,1.2571765248
2025-09-09,-0.006883293,1.2485230104
2025-09-10,0.00823352,1.2588027496
2025-09-11,0.0191340453,1.2828887385
2025-09-12,0.0084230304,1.2936945493
2025-09-13,-0.0045846258,1.2877634439
2025-09-14,-0.0126843538,1.2714289968
2025-09-15,-0.0197077766,1.2463719581
2025-09-16,0.0059770921,1.2538216381
2025-09-17,0.0196750274,1.2784906132
2025-09-18,0.0137034922,1.2960103993
2025-09-19,-0.0172786013,1.2736171524
2025-09-20,-0.0008220069,1.2725702303
2025-09-21,-0.0059614344,1.2649838863
2025-09-22,-0.0371799472,1.2179518522
2025-09-23,-0.0037672733,1.2133634947
2025-09-24,0.0054874493,1.2200217654
2025-09-25,-0.0224923559,1.1925806016
2025-09-26,0.0122676687,1.2072107854
2025-09-27,-0.0040113556,1.2023682336
2025-09-28,0.0042229842,1.2074458157
2025-09-29,0.0036011626,1.2117940244
2025-09-30,-0.0002470132,1.2114946953
2025-10-01,0.0067188746,1.2196345762
2025-10-02,0.0021934463,1.2223097792
2025-10-03,-0.0001422024,1.2221359638
2025-10-04,0.00035401,1.2225686121
2025-10-05,-0.0088161524,1.2117902609
2025-10-06,0.0041544083,1.2168245324
2025-10-07,-0.0062175391,1.2092588783
2025-10-08,0.0041261374,1.2142484466
2025-10-09,-0.0077219565,1.2048720729
2025-10-10,0.0212923569,1.2305266391
2025-10-11,-0.0230807789,1.2021251258
2025-10-12,0.0647877209,1.280008073
2025-10-13,0.0156408181,1.3000284464
2025-10-14,-0.0265902167,1.2654604083
2025-10-15,-0.0215546466,1.2381838564
2025-10-16,-0.0231306356,1.2095438768
2025-10-17,-0.0008392618,1.2085287529
2025-10-18,-0.0006753876,1.2077125275
2025-10-19,0.0217205055,1.2339446541
2025-10-20,-0.0024717812,1.2308946129
2025-10-21,-0.0109754456,1.2173849961
2025-10-22,-0.0069297213,1.2089488573
2025-10-23,-7.92013e-05,1.208853107
2025-10-24,-0.0003751786,1.2083995712
2025-10-25,-0.0028215308,1.2049900346
2025-10-26,0.0108549166,1.2180701009
2025-10-27,-0.0002098146,1.217814532
2025-10-28,-0.012752302,1.2022845933
2025-10-29,-0.0025480677,1.1992210908
2025-10-30,-0.0148877468,1.1813673908
2025-10-31,0.0,1.1813673908
2025-11-01,0.0,1.1813673908
2025-11-02,0.0,1.1813673908
2025-11-03,0.0,1.1813673908
2025-11-04,0.0,1.1813673908
2025-11-05,0.0,1.1813673908
2025-11-06,0.0,1.1813673908
2025-11-07,0.0,1.1813673908
2025-11-08,-0.0020872045,1.1789016355
2025-11-09,-0.0017181384,1.1768761193
2025-11-10,-0.0013728128,1.1752604887
2025-11-11,0.0,1.1752604887
2025-11-12,0.0,1.1752604887
2025-11-13,0.0,1.1752604887
2025-11-14,-0.0110357789,1.1622905738
2025-11-15,0.0,1.1622905738
2025-11-16,0.0,1.1622905738
2025-11-17,0.0054506212,1.1686257795
2025-11-18,-0.0031559152,1.1649376956
2025-11-19,-0.0049113832,1.1592162402
2025-11-20,0.0059559342,1.1661204558
2025-11-22,0.0020383089,1.1684973695
2025-11-28,0.0148245836,1.1858198565
2025-11-29,0.0041604668,1.1907534206
2025-11-30,-0.0030013447,1.1871795591
2025-12-01,-0.0042914977,1.1820847808
2025-12-02,0.0,1.1820847808
2025-12-03,-0.002265132,1.1794072027
2025-12-04,-0.0014422386,1.1777062161
2025-12-05,0.0,1.1777062161
2025-12-06,0.0,1.1777062161
2025-12-07,0.0,1.1777062161
2025-12-08,-0.0009990811,1.1765295921
2025-12-09,-0.0021408263,1.1740108466
2025-12-10,-0.0037947558,1.1695557622
2025-12-11,-0.0053486574,1.1633002091
2025-12-12,-0.0069021925,1.1552708871
2025-12-13,-0.0016902582,1.153318181
2025-12-14,0.0,1.153318181
2025-12-15,0.0,1.153318181
2025-12-16,0.0,1.153318181
2025-12-17,0.0,1.153318181
2025-12-18,0.0,1.153318181
2025-12-19,0.0,1.153318181
2025-12-20,0.0,1.153318181
2025-12-21,0.0,1.153318181
2025-12-22,0.0,1.153318181
2025-12-23,0.0,1.153318181
2025-12-24,0.0,1.153318181
2025-12-25,0.0,1.153318181
2025-12-26,0.0,1.153318181
2025-12-27,0.0,1.153318181
2025-12-28,0.0,1.153318181
