date,daily_return,equity_twr
2025-07-11,-0.0667578773,0.9332421227
2025-07-12,-0.0529411631,0.8838351993
2025-07-13,0.0342922329,0.9141438818
2025-07-14,0.0141801635,0.9271065915
2025-07-15,-0.0121170973,0.9158727507
2025-07-16,-0.1287211199,0.7979805845
2025-07-17,-0.0026095261,0.7958982334
2025-07-18,0.0739127871,0.8547252901
2025-07-19,-0.0168088961,0.8403583015
2025-07-20,-0.0624523765,0.7878759284
2025-07-21,-0.031181462,0.7633088051
2025-07-22,-0.0054461865,0.759151683
2025-07-23,0.1276653109,0.8560690186
2025-07-24,0.045772699,0.8952536081
2025-07-25,-0.0213379612,0.8761507214
2025-07-26,-0.0209667755,0.8577806659
2025-07-27,-0.0714940403,0.7964544604
2025-07-28,0.1072375855,0.8818643137
2025-07-29,0.0181965869,0.8979112343
2025-07-30,0.0481626791,0.941157045
2025-07-31,0.0471306814,0.9855144178
2025-08-01,0.1239360303,1.1076551625
2025-08-02,0.0004849217,1.1081922886
2025-08-03,-0.0301478683,1.0747826534
2025-08-04,-0.0083592778,1.0657982466
2025-08-05,0.0133057989,1.0799795438
2025-08-06,-0.01752159,1.061056585
2025-08-07,-0.020143037,1.0396836829
2025-08-08,-0.0124802188,1.0267082031
2025-08-09,-0.0447567041,0.9807561278
2025-08-10,0.000807456,0.9815480453
2025-08-11,0.0409445392,1.0217370777
2025-08-12,-0.1027109018,0.916793541
2025-08-13,-0.0490116366,0.8718599892
2025-08-14,0.1511678337,1.003657175
2025-08-15,0.0043421986,1.0080152538
2025-08-16,0.0128861904,1.0210047303
2025-08-17,-0.0252796994,0.9951940376
2025-08-18,0.0940982795,1.0888400843
2025-08-19,0.0723793445,1.1676496159
2025-08-20,-0.0082599525,1.1580048855
2025-08-21,0.0325147685,1.1956571463
2025-08-22,-0.0502192505,1.1356121406
2025-08-23,0.0193297747,1.1575632674
2025-08-24,0.0290013713,1.1911341895
2025-08-25,0.0666939961,1.2705756885
2025-08-26,-0.0422340142,1.2169141768
2025-08-27,0.002575425,1.220048248
2025-08-28,-0.0364008792,1.1756374191
2025-08-29,0.0616629933,1.2481307414
2025-08-30,0.0028347226,1.2516688458
