date,daily_return,equity_twr
2025-07-11,-0.0027901871,0.9972098129
2025-07-12,-0.0046005752,0.9926220742
2025-07-13,0.0171119566,1.00960778
2025-07-14,0.0109769747,1.0206902191
2025-07-15,0.0007681205,1.0214742322
2025-07-16,0.0228060813,1.0447700565
2025-07-17,0.0085915137,1.0537462128
2025-07-18,0.0027754521,1.0566708349
2025-07-19,0.0048744294,1.0618215023
2025-07-20,0.0104384925,1.0729053181
2025-07-21,0.0012667665,1.0742644386
2025-07-22,-0.0004845767,1.0737438751
2025-07-23,-0.0051467283,1.0682176071
2025-07-24,-0.0002343839,1.0679672341
2025-07-25,0.0029808774,1.0711507135
2025-07-26,0.0003204115,1.0714939225
2025-07-27,0.0114199981,1.0837303811
2025-07-28,-0.0067734705,1.0763897653
2025-07-29,-0.0039800862,1.0721056413
2025-07-30,-0.000618591,1.0714424463
2025-07-31,-0.0044193219,1.0667073973
2025-08-01,-0.0347581244,1.0296306489
2025-08-02,-0.0041096366,1.0253992411
2025-08-03,0.0241045076,1.0501159849
2025-08-04,0.0319346089,1.0836510281
2025-08-05,-0.0225617873,1.0592019241
2025-08-06,0.0119156376,1.0718229904
2025-08-07,0.0427834949,1.1176793239
2025-08-08,0.0153512153,1.1348370598
2025-08-09,0.0064453658,1.1421514998
2025-08-10,0.0,1.1421514998
2025-08-11,0.0005552422,1.1427856705
2025-08-12,0.0101728547,1.1544110631
2025-08-13,0.0,1.1544110631
2025-08-14,0.0078061019,1.1634225135
2025-08-15,-0.0016843634,1.1614628872
2025-08-16,0.0033845707,1.1653939404
2025-08-17,0.0111414195,1.1783780832
2025-08-18,0.0020789827,1.1808279108
2025-08-19,-0.0089026999,1.1703153543
2025-08-20,0.0094419891,1.1813654591
2025-08-21,-0.0058510618,1.1744532168
2025-08-22,0.0064513565,1.1820300332
2025-08-23,-0.0020958528,1.1795526723
2025-08-24,-0.0012884602,1.1780328656
2025-08-25,-0.0082605819,1.1683016286
2025-08-26,0.0094192041,1.1793061001
2025-08-27,-0.0045825912,1.1739018224
2025-08-28,0.0115141968,1.187418359
2025-08-29,-0.0067670196,1.1793830756
2025-08-30,0.0003338742,1.1797768412
2025-08-31,0.0003994192,1.1802480668
2025-09-01,-0.0046525746,1.1747568746
2025-09-02,0.0063841197,1.1822566631
2025-09-03,0.0014214093,1.1839371337
2025-09-04,-0.0089388743,1.1733540685
2025-09-05,-0.0006729469,1.1725644635
2025-09-06,-0.0013825431,1.1709433426
2025-09-07,0.0010126323,1.1721290776
2025-09-08,0.0052969197,1.1783377512
2025-09-09,1.12315e-05,1.1783509857
2025-09-10,0.0026698685,1.1814970279
