date,daily_return,equity_twr
2025-07-11,0.0987727969,1.0987727969
2025-07-12,0.0353720465,1.1376386394
2025-07-13,-0.017537208,1.1176876339
2025-07-14,-0.0081635944,1.1085632854
2025-07-15,0.0283094945,1.1399461516
2025-07-16,-0.2086642918,0.9020800952
2025-07-17,-0.0069411659,0.8958186076
2025-07-18,-0.0198695403,0.8780191037
2025-07-19,-0.0026144823,0.8757235383
2025-07-20,-0.1155111971,0.7745676641
2025-07-21,-0.2597825361,0.5733485119
2025-07-22,-0.1168333672,0.5063622747
2025-07-23,0.3426518822,0.6798682612
2025-07-24,0.0482403723,0.7126653592
2025-07-25,-0.0524655183,0.6752750018
2025-07-26,-0.0096589377,0.6687525626
2025-07-27,-0.0771138565,0.6171824734
2025-07-28,0.1766787761,0.7262255175
2025-07-29,0.0858279682,0.7885559781
2025-07-30,0.0327514607,0.8143823382
2025-07-31,0.0821871464,0.8813140987
2025-08-01,0.1316616366,0.9973493553
2025-08-02,0.0621795461,1.0593640855
2025-08-03,-0.0672361264,0.9881365479
2025-08-04,-0.0922561515,0.8969748729
2025-08-05,0.1403050269,1.0228249565
2025-08-06,-0.1576245237,0.8616026599
2025-08-07,-0.6970997334,0.2609796754
2025-08-08,-0.5744546897,0.1110586769
2025-08-09,-0.1468371025,0.0947511426
2025-08-10,0.0936796824,0.1036273996
2025-08-11,0.1362213172,0.1177436604
2025-08-12,-0.1211262922,0.1034818074
2025-08-13,-0.0263820324,0.100751747
2025-08-14,0.0813991922,0.1089528578
2025-08-15,0.0192548296,0.1110507266
2025-08-16,-0.0253568531,0.1082348296
2025-08-17,-0.0597932478,0.1017631176
2025-08-18,0.0841958623,0.110331151
2025-08-19,0.116436732,0.1231777497
2025-08-20,-0.1069637309,0.110002198
2025-08-21,0.0180346825,0.1119860527
2025-08-22,-0.170659663,0.0928745507
2025-08-23,-0.0886114835,0.084644799
2025-08-24,0.0520251629,0.0890484585
2025-08-25,0.4463703892,0.1287970535
2025-08-26,-0.1311599991,0.1119040321
2025-08-27,0.0253663981,0.1147426343
2025-08-28,0.0256439961,0.117685094
2025-08-29,0.1462999751,0.1349024203
2025-08-30,-0.0181482655,0.1324541754
2025-08-31,-0.0105968639,0.1310505765
2025-09-01,0.1433107795,0.1498315368
2025-09-02,-0.2534861076,0.1118513237
2025-09-03,-0.0745525395,0.1035125235
2025-09-04,0.1920995508,0.1233972328
2025-09-05,-0.0664600748,0.1151962434
2025-09-06,0.0493834335,0.1208850295
2025-09-07,-0.042822668,0.11570841
2025-09-08,-0.1644357562,0.0966818101
2025-09-09,-0.0148391898,0.0952471304
2025-09-10,-0.0784129701,0.08777852
2025-09-11,-0.2028467391,0.0699729334
2025-09-12,-0.1113171219,0.0621837479
