date,daily_return,equity_twr
2025-07-11,-0.0137938165,0.9862061835
2025-07-12,0.0232023365,1.0090884712
2025-07-13,-0.0712393749,0.9372016393
2025-07-14,-0.1316546423,0.8138146927
2025-07-15,0.0044054894,0.8173999447
2025-07-16,-0.4414869744,0.4565285163
2025-07-17,-0.0203488924,0.4472386666
2025-07-18,0.1139045699,0.4981811946
2025-07-19,-0.0253486762,0.4855529608
2025-07-20,-0.3180563673,0.3311197499
2025-07-21,-0.1219529988,0.2907387035
2025-07-22,0.0163913666,0.2955043081
2025-07-23,0.318512961,0.3896262603
2025-07-24,0.1956772947,0.4658672729
2025-07-25,-0.0225264552,0.4553729346
2025-07-26,-0.0124463766,0.4497051916
2025-07-27,-0.100009315,0.4047304834
2025-07-28,0.2091356015,0.4893740365
2025-07-29,0.1556153316,0.5655281395
2025-07-30,0.0283512883,0.5815615908
2025-07-31,0.0367165647,0.6029145346
2025-08-01,-0.1362969654,0.5207391131
2025-08-02,0.0188798709,0.5305706004
2025-08-03,0.0395256017,0.5515417226
2025-08-04,0.0973736962,0.6052473787
2025-08-05,0.0542583478,0.6380871015
2025-08-06,0.0348932113,0.6603520096
2025-08-07,-0.1331381704,0.5724339512
2025-08-08,-0.0657144953,0.534816743
2025-08-09,-0.1883148657,0.4341027999
2025-08-10,0.012349809,0.4394638865
2025-08-11,0.2304621889,0.5407436958
2025-08-12,-0.1284462119,0.4712872164
2025-08-13,-0.1203462794,0.4145695534
2025-08-14,0.3486992888,0.5591296618
2025-08-15,0.0525229301,0.58849679
2025-08-16,-0.0183861885,0.5776765771
2025-08-17,-0.0245830468,0.5634755267
2025-08-18,0.2216212485,0.6883536765
2025-08-19,-0.0422599576,0.6592638793
2025-08-20,-0.021284676,0.6452316612
2025-08-21,0.08400107,0.6994318112
2025-08-22,-0.2822120286,0.5020437409
2025-08-23,0.0441641522,0.5242160771
2025-08-24,0.0878846221,0.5702866089
2025-08-25,0.3897461501,0.7925536192
2025-08-26,-0.0599704512,0.745023821
2025-08-27,0.1082676801,0.8256858217
2025-08-28,-0.1142844617,0.7313227621
2025-08-29,0.137698228,0.8320246105
2025-08-30,-0.1359571601,0.7189049073
2025-08-31,-0.0470244129,0.6850988261
2025-09-01,0.1843943473,0.811427177
2025-09-02,-0.0348630988,0.7831383112
2025-09-03,0.003565942,0.785930937
2025-09-04,0.1998082722,0.9429664395
2025-09-05,-0.0864628504,0.8614348733
2025-09-06,-0.0094312729,0.853310446
2025-09-07,-0.0650541759,0.7977990381
2025-09-08,-0.1244350594,0.6985248674
2025-09-09,-0.0431762538,0.6683651805
2025-09-10,0.0449512201,0.6984090108
2025-09-11,-0.02426655,0.6814610336
2025-09-12,-0.1873180014,0.5538111148
2025-09-13,-0.039126254,0.5321425604
2025-09-14,0.0525629602,0.5601135486
2025-09-15,0.2047131179,0.6747761396
2025-09-16,-0.0912426183,0.6132077978
2025-09-17,-0.1354117217,0.5301722742
2025-09-18,-0.0716935853,0.492162323
2025-09-19,0.1678472362,0.5747704087
2025-09-20,0.0253992508,0.5893691464
2025-09-21,0.0400794974,0.6129907656
2025-09-22,0.3479612792,0.8262878166
2025-09-23,0.1077893245,0.9153528221
2025-09-24,0.0287454207,0.9416650241
