date,daily_return,equity_twr
2025-12-16,0.7233260118,1.7233260118
2025-12-17,0.6365207179,2.820258722
2025-12-18,0.0681341594,3.0124146793
2025-12-19,0.1408546833,3.4367273949
2025-12-20,-7.695e-07,3.4367247504
2025-12-21,0.000966338,3.4400457881
2025-12-22,-0.013358845,3.3940907496
2025-12-23,-0.0039255167,3.3807671897
2025-12-24,-0.0005794259,3.3788082856
2025-12-25,0.0963743166,3.7044386251
2025-12-26,0.1563779361,4.2837310917
2025-12-27,0.0353709347,4.4352506644
2025-12-28,-0.0084417455,4.3978094071
2025-12-29,0.0622793898,4.6717022934
2025-12-30,0.1335103682,5.2954229867
2025-12-31,-0.0020495419,5.2845697954
2026-01-01,0.0321278538,5.4543516812
2026-01-02,0.0075410228,5.4954830716
2026-01-03,0.0095604789,5.5480225215
2026-01-04,0.0197096774,5.6573722556
