date,daily_return,equity_twr
2025-11-19,0.2725579179,1.2725579179
2025-11-20,0.0486774843,1.334502836
2025-11-21,0.0244229808,1.3670953731
2025-11-22,0.0317501862,1.4105009058
2025-11-28,-0.0158873037,1.3880918495
2025-11-29,0.0056381496,1.395918119
2025-11-30,0.0036860057,1.4010634811
2025-12-01,0.0408438884,1.4582883616
2025-12-02,-0.0335689663,1.4093351287
2025-12-03,-0.0279870847,1.3698919471
2025-12-04,0.026887442,1.4067248374
2025-12-05,0.0372908452,1.4591827956
2025-12-06,-0.0023772387,1.4557139697
2025-12-07,0.0115750439,1.4725639228
2025-12-08,-0.0076992338,1.4612263089
2025-12-09,-0.02208184,1.4289597434
2025-12-10,0.0209130725,1.4588436821
2025-12-11,0.0016564326,1.4612601583
2025-12-12,0.0198283479,1.4902345331
2025-12-13,-0.0039485127,1.4843503231
2025-12-14,0.0208959677,1.5153672595
2025-12-15,0.021529171,1.5479918604
2025-12-16,-0.0020527008,1.5448142963
2025-12-17,0.0203454824,1.5762442883
2025-12-18,0.0157475376,1.6010662545
2025-12-19,-0.0296267711,1.5536318311
2025-12-20,-0.0080249557,1.5411640045
2025-12-21,0.0080736063,1.5536067559
2025-12-22,0.0043300589,1.5603339646
2025-12-23,-0.0026948043,1.55612917
2025-12-24,0.0070506221,1.5671008487
2025-12-25,0.0002333293,1.5674664992
2025-12-26,-0.0012210886,1.5655524838
2025-12-27,-0.0038921901,1.5594590559
2025-12-28,0.0056255566,1.5682318811
2025-12-29,0.0031887401,1.5732325649
2025-12-30,0.0017827372,1.5760372252
2025-12-31,0.014340145,1.5986378275
2026-01-01,-0.0177127156,1.5703216103
2026-01-02,-0.0275971358,1.5269852316
2026-01-03,-0.0428465384,1.4615592002
2026-01-04,-0.0251130711,1.4248549601
