date,daily_return,equity_twr
2025-07-11,0.0160393713,1.0160393713
2025-07-12,0.0216567777,1.0380435101
2025-07-13,0.0148951398,1.0535053133
2025-07-14,-0.0097666013,1.0432161469
2025-07-15,-0.0038844346,1.039163842
2025-07-16,0.0332184489,1.073683253
2025-07-17,-0.0174836691,1.0549113303
2025-07-18,-0.0291176768,1.0241947631
2025-07-19,-0.0038894859,1.0202111721
2025-07-20,0.031336743,1.0521812674
2025-07-21,0.0271546044,1.0807528334
2025-07-22,0.0135202956,1.0953649312
2025-07-23,-0.0505987027,1.0399408867
2025-07-24,-0.0215748415,1.0175043269
2025-07-25,0.0140412323,1.0317913415
2025-07-26,0.0030494599,1.0349377478
2025-07-27,8.12767e-05,1.0350218642
2025-07-28,-0.002716278,1.0322104571
2025-07-29,-0.0073873965,1.0245851091
2025-07-30,-0.0228339768,1.0011897565
2025-07-31,-0.0120511184,0.9891243002
2025-08-01,-0.078612511,0.9113667553
2025-08-02,0.0020431877,0.9132288486
2025-08-03,0.0217138431,0.9330585566
2025-08-04,0.0214200272,0.9530446962
2025-08-05,-0.0210899972,0.9329449863
2025-08-06,0.0104308863,0.9426764293
2025-08-07,0.0418127106,0.9820922861
2025-08-08,0.0150036658,0.9968272705
2025-08-09,0.0529399363,1.0495992427
2025-08-10,0.0104011586,1.0605162909
2025-08-11,-0.0419526413,1.0160248314
2025-08-12,0.058096756,1.0750525781
2025-08-13,0.0279880288,1.1051411806
2025-08-14,-0.0336731511,1.0679275946
2025-08-15,0.0333997607,1.1035961207
2025-08-16,-0.0142925517,1.0878229161
2025-08-17,0.0058182128,1.0941521013
2025-08-18,-0.0446080508,1.0453441088
2025-08-19,-0.031048989,1.0128872311
2025-08-20,0.0173564382,1.0304673457
2025-08-21,-0.0177435972,1.0121831482
2025-08-26,0.1067676792,1.1202515939
2025-08-27,-0.0021396089,1.1178546936
2025-08-28,-0.029928652,1.0843988095
2025-08-29,-0.0396596443,1.0413919384
2025-08-30,-0.0100452954,1.0309308488
2025-08-31,0.0180977034,1.0495883295
2025-09-01,-0.0421199077,1.0053797659
2025-09-02,0.0366098728,1.0421865913
2025-09-03,0.0212540056,1.0643372309
2025-09-04,-0.0170869399,1.0461509646
2025-09-05,0.0243223066,1.0715957691
2025-09-06,-0.0164359417,1.0539830835
2025-09-07,0.014923066,1.0697117427
2025-09-08,0.0577875126,1.1315277235
2025-09-09,0.0303896553,1.165914461
2025-09-10,0.0309601006,1.20201129
2025-09-11,0.0187621855,1.2245636487
2025-09-12,-0.0086424323,1.2139804403
2025-09-13,-0.0137902837,1.1972393056
2025-09-14,-0.0096882859,1.185640109
2025-09-15,-0.0172533546,1.1651838397
2025-09-16,0.0150752663,1.1827492964
2025-09-17,0.0520034749,1.2442563697
2025-09-18,0.0233646448,1.2733279779
2025-09-19,-0.0419446291,1.2199187081
2025-09-20,-0.0389699592,1.1723785258
2025-09-21,-0.051696216,1.1117709923
2025-09-22,-0.0896360374,1.0121162461
2025-09-23,-0.0282267934,0.9835474499
2025-09-24,0.0179313303,1.0011837641
2025-09-25,0.0049762849,1.0061659397
2025-09-26,0.0616135953,1.0681594408
2025-09-27,0.1513630867,1.2298393508
2025-09-28,-0.0116734814,1.215482844
2025-09-29,-0.0486644223,1.1563320736
2025-09-30,-0.0688751194,1.076689564
2025-10-01,0.0451311599,1.1252818128
2025-10-02,0.066607445,1.2002339593
2025-10-03,0.0040974983,1.2051519159
2025-10-04,-0.0343322409,1.16377635
2025-10-05,-0.0127596238,1.1489270016
2025-10-06,0.0312270957,1.184804655
2025-10-07,-0.0857774704,1.0831751088
2025-10-08,0.0322824846,1.1181426926
2025-10-09,-0.0554693443,1.0561200506
2025-10-10,-0.1990302853,0.8459201756
2025-10-11,-0.0233056046,0.8262054945
2025-10-12,0.2503428993,1.0330401734
2025-10-13,0.0688335154,1.10414796
2025-10-14,-0.1223658647,0.9690379402
2025-10-15,-0.1254880393,0.847435269
2025-10-16,-0.074095699,0.7846439604
2025-10-17,-0.0742989513,0.726345737
2025-10-18,0.043063988,0.7576250811
2025-10-19,0.0453106553,0.79195357
2025-10-20,0.0045781346,0.7955792401
2025-10-21,-0.0503329094,0.7555354222
2025-10-22,-0.0869658864,0.6898296145
2025-10-23,0.1566099655,0.7978638067
2025-10-24,0.0373609758,0.827672777
2025-10-25,0.0701490107,0.8857332035
2025-10-26,0.1308789855,1.0016570666
2025-10-27,-0.0165717854,0.9850578207
2025-10-28,-0.0386811205,0.9469546804
2025-10-29,0.0361914334,0.9812263277
2025-10-30,-0.1447655137,0.8391785943
2025-10-31,0.0316931485,0.8657748061
2025-11-01,-0.0265141722,0.8428195038
2025-11-02,-0.0379225719,0.8108576206
2025-11-03,-0.1347278191,0.7016125418
2025-11-04,-0.0767308883,0.6477771882
2025-11-05,0.1058816086,0.7163648789
2025-11-06,-0.0936088258,0.6493068037
2025-11-07,0.1817189189,0.7672981341
2025-11-08,-0.0686320663,0.7146368777
2025-11-09,0.0592352311,0.7569685583
2025-11-10,0.0496137845,0.7945246333
2025-11-11,-0.1237132907,0.6962313763
2025-11-12,-0.0415383036,0.667311106
2025-11-13,-0.0404453864,0.6403214505
2025-11-14,-0.1267442535,0.5591643863
2025-11-15,0.0528412087,0.5887113083
2025-11-16,-0.0181223257,0.5780424902
2025-11-17,-0.0338191084,0.5584936086
2025-11-18,0.0751982435,0.600491347
2025-11-19,-0.0448541699,0.5735568061
2025-11-20,-0.0441616816,0.548227573
2025-11-22,-0.1686178258,0.4557866316
