date,daily_return,equity_twr
2025-07-11,-0.1055543006,0.8944456994
2025-07-12,0.0363026095,0.9269164123
2025-07-13,-0.0679136071,0.8639661753
2025-07-14,-0.0838060191,0.7915606095
2025-07-15,0.0180581018,0.8058546916
2025-07-16,-0.3823772825,0.4977141645
2025-07-17,-0.0709010604,0.4624257025
2025-07-18,0.1380797904,0.5262773466
2025-07-19,-0.0308786163,0.5100266303
2025-07-20,-0.3162819302,0.3487144232
2025-07-21,-0.0055227494,0.3467885608
2025-07-22,-0.0319510066,0.3357083173
2025-07-23,0.2228052092,0.4105058791
2025-07-24,0.1175766964,0.4587718042
2025-07-25,-0.0255730468,0.4470396114
2025-07-26,-0.0433633451,0.4276544785
2025-07-27,-0.0660577732,0.3994045759
2025-07-28,0.1589616635,0.4628945917
2025-07-29,0.154499166,0.5344114201
2025-07-30,0.0308130564,0.5508782693
2025-07-31,0.0338656096,0.5695340977
2025-08-01,-0.0552366438,0.5380749456
2025-08-02,-0.0508481692,0.5107148197
2025-08-03,0.0585560673,0.5406202711
2025-08-04,0.1002408047,0.5948124821
2025-08-05,0.0749692606,0.6394051341
2025-08-06,0.0439802484,0.6675263307
2025-08-07,-0.1404484451,0.5737732955
2025-08-08,-0.0811113983,0.5272337412
2025-08-09,-0.1485189961,0.4489295152
2025-08-10,-0.0007346982,0.4485996875
2025-08-11,-0.0216342582,0.4388945661
2025-08-12,-0.0695151525,0.4083847434
2025-08-13,-0.0942315024,0.3699020355
2025-08-14,0.351049467,0.4997559478
2025-08-15,0.0315818998,0.5155391901
2025-08-16,-0.0223613165,0.5040110551
2025-08-17,-0.0567087118,0.4754292374
2025-08-18,0.173148214,0.5577489608
2025-08-19,0.0153351202,0.5663021081
2025-08-20,-0.0071855519,0.562232915
2025-08-21,0.1557164045,0.649781803
2025-08-22,-0.4306760089,0.3699363694
2025-08-23,0.06354274,0.3934431399
2025-08-24,0.0402786914,0.4092905148
2025-08-25,0.4163034247,0.5796795578
2025-08-26,-0.0454046568,0.5533594064
2025-08-27,0.1470583377,0.6347355208
2025-08-28,-0.0376904471,0.6108120553
2025-08-29,0.1655050027,0.7119045061
2025-08-30,-0.1257895977,0.6223543247
2025-08-31,-0.0559322937,0.5875446198
2025-09-01,0.14640112,0.6735618102
2025-09-02,0.0411389528,0.7012714377
2025-09-03,-0.0166443132,0.6895992563
2025-09-04,0.253544095,0.8644430756
2025-09-05,-0.0633432087,0.8096864775
2025-09-06,-0.0936780368,0.7338366379
2025-09-07,-0.090682094,0.6672907949
2025-09-08,-0.2682865385,0.4882656573
2025-09-09,0.0037146168,0.4900793772
2025-09-10,-0.0177507867,0.4813800827
2025-09-11,-0.0062440668,0.4783743133
2025-09-12,-0.2025803543,0.3814650754
2025-09-13,-0.0976402922,0.344218714
2025-09-14,0.0517392113,0.3620283188
2025-09-15,0.1723647695,0.4244292465
2025-09-16,-0.0464756854,0.4047036063
2025-09-17,-0.1070268219,0.3613894655
2025-09-18,-0.1165761351,0.3192600784
2025-09-19,0.1457418632,0.365789637
2025-09-20,0.0049586796,0.3676034707
