date,daily_return,equity_twr
2025-08-16,0.0075747518,1.0075747518
2025-08-17,-0.0616486452,0.9454591334
2025-08-18,0.0988835786,1.0389495159
2025-08-19,0.1406895933,1.1851189008
2025-08-20,-0.1031913192,1.062824918
2025-08-21,0.0607194471,1.1273590594
2025-08-22,-0.2951891067,0.7945749457
2025-08-23,0.0406912774,0.8269072153
2025-08-24,0.0148068738,0.839151126
2025-08-25,0.2483380964,1.0475443193
2025-08-26,-0.1140506586,0.9280711998
2025-08-27,0.0479248272,0.9725488516
2025-08-28,0.0095046273,0.981792566
2025-08-29,0.089419263,1.0695837337
2025-08-30,0.008730107,1.0789213141
2025-08-31,-0.0617823591,1.01226301
2025-09-01,0.1146127762,1.1282812839
2025-09-02,-0.0256601217,1.0993294488
2025-09-03,-0.0796294547,1.0117904443
2025-09-04,0.0855490268,1.0983481321
2025-09-05,0.0080961003,1.1072404687
2025-09-06,0.0210412418,1.1305381832
2025-09-07,-0.0168723735,1.1114633207
2025-09-08,0.0038338609,1.1157245165
2025-09-11,-0.0723129277,1.0350432102
2025-09-12,-0.1845947786,0.8439796379
2025-09-13,0.0795263987,0.9110982991
2025-09-14,0.0286386162,0.9371908936
2025-09-15,0.120581215,1.0501985103
2025-09-16,4.95196e-05,1.0502505157
2025-09-17,-0.0747951554,0.9716968652
2025-09-18,-0.0213986049,0.9509039079
2025-09-19,0.1072678305,1.0529053071
2025-09-20,-0.0504904338,0.9997436614
2025-09-21,0.1144189547,1.1141332861
2025-09-22,0.1171452454,1.2446487033
2025-09-23,-0.191952292,1.0057355319
2025-09-24,-0.1576312705,0.8472001622
2025-09-25,0.4122614057,1.196468092
2025-09-26,-0.0416928939,1.1465838748
2025-09-27,0.0127568306,1.1612106511
2025-09-28,0.0238807759,1.1889412624
2025-09-29,-0.0524062708,1.1266332847
2025-09-30,0.2009470426,1.3530269113
2025-10-01,0.016684946,1.3756020923
2025-10-02,-0.039067224,1.3218611372
2025-10-03,-0.0285851845,1.2840754927
2025-10-04,0.0224152455,1.3128583601
2025-10-05,0.0115948771,1.3280807914
2025-10-06,-0.0947748926,1.2022120771
2025-10-07,0.0511751845,1.2637355019
2025-10-08,0.0505933315,1.3276720911
2025-10-09,0.1775220566,1.5633631712
2025-10-10,0.3438711568,2.1009586734
2025-10-11,0.0381480922,2.1811062386
2025-10-12,-0.1724397665,1.8049967881
2025-10-13,-0.0461988561,1.7216080012
2025-10-14,0.057574214,1.8207282287
2025-10-15,0.1049129499,2.0117461981
2025-10-16,0.0653027447,2.1431187465
2025-10-17,0.0400593389,2.2289706667
2025-10-18,-0.0155591881,2.1942896928
2025-10-19,-0.0915883811,1.9933182522
2025-10-20,0.0289715306,2.0510677329
2025-10-21,0.0480938754,2.1497115289
2025-10-22,0.1497648858,2.4716628305
2025-10-23,-0.0777503383,2.2794902093
2025-10-24,-0.0621535167,2.1378118765
2025-10-25,-0.005415433,2.1262346995
2025-10-26,-0.1046068961,1.9038158872
2025-10-27,-0.0054987997,1.893347185
2025-10-28,0.0779428902,2.0409201367
2025-10-29,0.0163846451,2.0743598888
2025-10-30,0.0863905856,2.2535650544
2025-10-31,-0.0364445534,2.1714348824
2025-11-01,-0.0034534809,2.1639358735
2025-11-02,0.0076715695,2.180536658
2025-11-03,0.0951049121,2.3879164052
2025-11-04,0.0470421419,2.5002491075
2025-11-05,-0.0983167231,2.2544328084
2025-11-06,0.1222604518,2.5300607821
2025-11-07,-0.1376412971,2.1818199343
2025-11-08,0.0499896537,2.2908883572
2025-11-09,-0.1824737195,1.8728614377
2025-11-10,0.015380329,1.9016666628
2025-11-11,0.1587246279,2.2035079962
2025-11-12,0.0100791817,2.2257175537
2025-11-13,0.1735015509,2.6118830012
2025-11-14,0.052778031,2.7497330432
2025-11-15,-0.0042783054,2.7379688454
2025-11-16,0.0530314935,2.8831674225
2025-11-17,0.0412358242,3.0020572074
2025-11-18,-0.0635475196,2.8112839182
2025-11-19,0.1012532582,3.0959355746
2025-11-20,0.0267910388,3.1788789047
2025-11-22,0.0980444383,3.4905503014
2025-11-28,-0.3661346569,2.2125388644
2025-11-29,0.0901621697,2.412026169
2025-11-30,-0.0479203068,2.2964411349
2025-12-01,0.3121394267,3.0132509542
2025-12-02,-0.2025455695,2.4029303237
2025-12-03,-0.2171526093,1.8811277339
2025-12-04,-0.006804463,1.8683276699
2025-12-05,0.2030621771,2.247714354
2025-12-06,-0.0186296793,2.2058401565
2025-12-07,-0.0035867995,2.1979282501
2025-12-08,-0.093963872,1.9914024013
2025-12-09,-0.1274045513,1.7376886719
2025-12-10,0.0008986719,1.7392502839
2025-12-11,0.0856858501,1.888279423
