date,daily_return,equity_twr
2025-11-28,0.0863717392,1.0863717392
2025-11-29,-0.0086759917,1.076946387
2025-11-30,0.0245140579,1.1033467131
2025-12-01,-0.1890633199,0.8947443205
2025-12-02,0.179788211,1.0556088012
2025-12-03,0.0,1.0556088012
2025-12-04,-0.0275607248,1.0265154575
2025-12-05,-0.11624985,0.9071831896
2025-12-06,-0.0031932953,0.9042862858
2025-12-07,0.0426505421,0.9428545861
2025-12-08,0.0120208203,0.9541884716
2025-12-09,0.1382246079,1.086080799
2025-12-10,-0.0047041484,1.0809717137
2025-12-11,0.0352983594,1.1191282418
2025-12-12,-0.012280622,1.1053846509
2025-12-13,-0.0022437294,1.1029044668
2025-12-14,-0.0662501455,1.0298368854
2025-12-15,-0.1096654507,0.9168993592
2025-12-16,0.0927227437,1.0019167835
2025-12-17,-0.0904335933,0.9113098486
2025-12-18,-0.0202788285,0.8928295525
2025-12-19,0.073823444,0.9587413049
2025-12-20,0.06291342,1.0190589993
2025-12-21,-0.0041867994,1.0147924037
2025-12-22,0.0695499477,1.0853711623
2025-12-23,0.0103368721,1.0965905052
2025-12-24,0.0006634775,1.0973180683
2025-12-25,0.0019547544,1.0994630557
2025-12-26,-0.005868859,1.093010462
2025-12-27,0.0021445982,1.0953545303
2025-12-28,0.0002212797,1.09559691
2025-12-29,0.001004138,1.0966970405
2025-12-30,0.0073819439,1.1047927965
2025-12-31,-0.0083787914,1.0955359681
2026-01-01,0.0088234157,1.1052023374
2026-01-02,0.0224051669,1.1299645802
2026-01-03,-0.0049657825,1.1243534219
2026-01-04,0.0126495193,1.1385759522
