date,daily_return,equity_twr
2025-08-02,-0.0573890586,0.9426109414
2025-08-03,0.0771702388,1.0153524528
2025-08-04,0.0629338101,1.0792524513
2025-08-05,0.0491216672,1.132267131
2025-08-06,-0.0023644523,1.1295899394
2025-08-07,0.0085446717,1.1392419146
2025-08-08,0.0182151977,1.1599934313
2025-08-09,0.0132555426,1.1753697736
2025-08-10,0.0148878986,1.1928685597
2025-08-11,0.0364175224,1.2363098771
2025-08-12,0.0040655513,1.2413361584
2025-08-13,0.006095969,1.2489033051
2025-08-14,-0.0246018606,1.2181779601
2025-08-15,-0.0085048299,1.2078175638
2025-08-16,-0.0276718284,1.1743950434
2025-08-17,0.0628061623,1.2481542891
2025-08-18,-0.0242553561,1.2178798623
2025-08-19,-0.073344724,1.1285548
2025-08-20,0.0044847784,1.1336161182
2025-08-21,-0.0734809257,1.0503169564
2025-08-22,0.0687467878,1.1225228733
2025-08-23,0.0388929013,1.1661810447
2025-08-24,-0.0383255563,1.1214865074
2025-08-25,0.1794633778,1.3227522641
2025-08-26,0.0081740365,1.3335644894
2025-08-27,0.003414222,1.3381175747
2025-08-28,-0.0122752849,1.3216918002
2025-08-29,-0.0277083165,1.2850699455
2025-08-30,0.0086988894,1.2962486268
2025-08-31,-0.0054635091,1.2891665606
2025-09-01,-0.0056985932,1.2818201248
2025-09-02,0.042153787,1.3358536974
2025-09-03,0.0302173233,1.3762196204
2025-09-04,-0.037069884,1.3252033187
2025-09-05,0.0368085526,1.3739821348
2025-09-06,-0.0046063617,1.3676530761
2025-09-07,0.0554169347,1.4434442173
2025-09-08,0.0322069623,1.4899331708
2025-09-09,0.0960491606,1.6330400012
2025-09-10,-0.01696587,1.6053340568
2025-09-11,0.0159994772,1.6310185625
2025-09-12,0.0012552387,1.6330658801
2025-09-13,-0.007230402,1.6212581573
2025-09-14,0.0043053195,1.6282381917
2025-09-15,0.0211907865,1.6627418396
2025-09-16,0.0006629314,1.6638441233
2025-09-17,-0.0162138393,1.6368668221
2025-09-18,-0.0078456369,1.6240245594
2025-09-19,-0.0058685143,1.614493948
2025-09-20,0.0032861003,1.619799337
2025-09-21,0.0101043352,1.6361663325
2025-09-22,-0.0065330743,1.6254771363
2025-09-23,0.0007794938,1.6267441856
2025-09-24,-0.0018251459,1.6237751402
2025-09-25,-0.0103734984,1.6069309113
2025-09-26,-0.0005553568,1.6060384913
2025-09-27,-0.01259684,1.5858074814
2025-09-28,-0.0213721923,1.551915299
2025-09-29,0.0283583623,1.5959250753
2025-09-30,-0.0166503897,1.5693523009
2025-10-01,0.0202456616,1.6011248765
2025-10-02,0.04771251,1.6775185631
2025-10-03,-0.0605897533,1.5758781272
2025-10-04,0.008363772,1.5890584126
2025-10-05,0.0442644264,1.6593971718
2025-10-06,-0.0110591969,1.6410455717
2025-10-07,-0.2079942984,1.2997174494
2025-10-08,0.031766029,1.3410043116
2025-10-09,-0.0941291848,1.2147766689
2025-10-10,0.2587621611,1.529114905
2025-10-11,0.0001561065,1.5293536098
2025-10-12,0.046941252,1.601143383
2025-10-13,0.0614013295,1.6994557154
2025-10-14,-0.0359232334,1.6384057711
2025-10-15,-0.0444049445,1.5656524537
2025-10-16,-0.0570624315,1.4763125179
2025-10-17,-0.0223212309,1.4433594053
2025-10-18,0.0417431822,1.5036098199
2025-10-19,0.0695484553,1.6081835602
2025-10-20,0.0143014936,1.6311829871
2025-10-21,-0.0583461844,1.5360096838
2025-10-22,-0.1184691973,1.3540398495
2025-10-23,0.242669857,1.6826245061
2025-10-24,0.0175559141,1.7121645174
2025-10-25,0.0579305714,1.8113511863
2025-10-26,0.0026316236,1.8161179808
2025-10-27,-0.009630976,1.7986269921
2025-10-28,-0.018089613,1.7660905259
2025-10-29,0.0224177648,1.8056823279
2025-10-30,-0.0731561442,1.6735855712
2025-10-31,0.0375905797,1.736496623
2025-11-01,-0.0025994241,1.7319827318
2025-11-02,-0.0513328948,1.6430750444
2025-11-03,-0.2248817411,1.2735774677
2025-11-04,-0.0716957724,1.1822673474
2025-11-05,0.3141453763,1.5536711682
2025-11-06,0.2302695579,1.9114343412
2025-11-07,0.1152091276,2.1316490241
2025-11-08,0.0038989888,2.1399602997
2025-11-09,0.0096180467,2.1605425378
2025-11-10,-0.0090449307,2.1410005803
2025-11-11,-0.0077957838,2.1243098027
2025-11-12,0.0187656133,2.164173779
2025-11-13,0.0176296795,2.2023274691
2025-11-14,0.0050837275,2.2135235018
2025-11-15,0.0207497079,2.2594534679
2025-11-16,-0.025415073,2.2020292931
2025-11-17,-0.0132014337,2.1729593493
2025-11-18,0.0685354871,2.3218841768
2025-11-19,-0.0265149745,2.2603194771
2025-11-20,-0.0505794429,2.1459937771
2025-11-22,-0.0523480727,2.0336551389
2025-11-28,0.3234988459,2.6915402292
2025-11-29,-6.86948e-05,2.6913553344
