date,daily_return,equity_twr
2025-07-11,-0.044004121,0.955995879
2025-07-12,-0.0071424709,0.9491677063
2025-07-13,-0.0696723637,0.8830369486
2025-07-14,-0.116665256,0.7800172169
2025-07-15,0.089468611,0.8498042739
2025-07-16,-0.2624302301,0.6267899428
2025-07-17,-0.0522078933,0.5940665603
2025-07-18,0.1787140094,0.7002345772
2025-07-19,-0.0048326944,0.6968505574
2025-07-20,-0.069228568,0.6486085912
2025-07-21,-0.1031778037,0.5816865813
2025-07-22,-0.0684791611,0.5418531722
2025-07-23,0.1766417151,0.6375670459
2025-07-24,0.0315097688,0.6576566361
2025-07-25,-0.0219360395,0.6432302541
2025-07-26,-0.0585414422,0.6055746274
2025-07-27,-0.102046137,0.543778076
2025-07-28,0.1569003982,0.6290970727
2025-07-29,0.1186198957,0.7037205018
2025-07-30,0.0297435385,0.7246516397
2025-07-31,0.0599854921,0.7681202249
2025-08-01,0.0079054558,0.7741925653
2025-08-02,-0.0325760851,0.7489724025
2025-08-03,0.0391572633,0.778300112
2025-08-04,0.033947411,0.8047213858
2025-08-05,0.0785840555,0.8679596559
2025-08-06,0.019485605,0.8848723749
2025-08-07,-0.1188694419,0.7796880895
2025-08-08,-0.0369041287,0.7509143799
2025-08-09,-0.1099366154,0.6683613945
2025-08-10,-0.0511480646,0.6341760027
2025-08-11,0.0735279191,0.6808056446
2025-08-12,-0.1311133389,0.5915429434
2025-08-13,-0.1322717447,0.5132985262
2025-08-14,0.2895499303,0.6619240787
2025-08-15,-0.0309382979,0.6414452743
2025-08-16,0.012731331,0.6496117264
2025-08-17,-0.0250306482,0.6333515238
2025-08-18,0.0841787369,0.6866662551
2025-08-19,0.0434325741,0.7164899381
2025-08-20,0.0112626634,0.7245595231
2025-08-21,0.0286350441,0.745307317
2025-08-22,-0.2262357265,0.5766921747
2025-08-23,0.0732788837,0.6189515335
2025-08-24,0.1066822727,0.6849826898
2025-08-25,0.2773842504,0.8749860997
2025-08-26,-0.0729409721,0.811163763
2025-08-27,0.0501374354,0.8518334338
2025-08-28,-0.0394092975,0.8182632766
2025-08-29,0.1720457995,0.9590420362
2025-08-30,-0.0598427177,0.9016503544
2025-08-31,-0.0024596128,0.8994326436
2025-09-01,0.0586608365,0.9521941149
2025-09-02,0.0327231427,0.9833528988
2025-09-03,-0.0042768179,0.9791472775
2025-09-04,0.0857855007,1.063143917
2025-09-05,-0.0523018699,1.0075395021
2025-09-06,0.036134154,1.0439460897
2025-09-07,-0.0167885223,1.0264197775
2025-09-08,-0.1278209542,0.8952218221
2025-09-09,0.0351263326,0.9266676816
2025-09-10,-0.0766198022,0.8556665871
2025-09-11,-0.0386321776,0.8226103235
2025-09-12,-0.1508956709,0.6984819869
2025-09-13,-0.044511111,0.6673917776
2025-09-14,0.0671235271,0.7121894677
2025-09-15,0.1304596391,0.8051014486
2025-09-16,-0.0385210135,0.7740881249
2025-09-17,-0.0954950495,0.7001665411
2025-09-18,-0.0739965167,0.6483566559
2025-09-19,0.181650001,0.7661306431
2025-09-20,-0.0064147601,0.7612160988
2025-09-21,0.0403734642,0.7919490297
2025-09-22,0.2230947241,0.96862868
2025-09-23,0.0909736114,1.0567483292
2025-09-24,-0.0714654339,0.9812273513
2025-09-25,0.1697349979,1.1477759737
2025-09-26,-0.0126878477,1.133213167
2025-09-27,0.0050355024,1.1389194646
2025-09-28,-0.0444386301,1.0883074438
2025-09-29,-0.0147600594,1.0722439613
2025-09-30,0.0033757871,1.0758636286
2025-10-01,-0.1694248279,0.8935856185
2025-10-02,-0.0625398213,0.8377009336
2025-10-03,-0.0931114855,0.7597013553
2025-10-04,0.0971809487,0.8335298537
2025-10-05,0.018043832,0.8485699263
2025-10-06,-0.1715029286,0.7030376988
2025-10-07,0.290734986,0.9074353544
2025-10-08,-0.0437225226,0.8677599916
2025-10-09,0.2353012267,1.0719449821
2025-10-10,-0.0067958629,1.064660191
2025-10-11,-0.0206807998,1.0426421667
2025-10-12,-0.1877988528,0.8468351639
2025-10-13,-0.0205148957,0.8294624288
2025-10-14,-0.0335189966,0.8016596805
2025-10-15,0.1471505908,0.9196243761
2025-10-16,0.1240658684,1.0337183729
2025-10-17,0.0411600784,1.0762663022
2025-10-18,-0.0173045056,1.057642046
2025-10-19,-0.1118232866,0.9393730363
2025-10-20,-0.0187612301,0.9217492427
2025-10-21,-0.062830174,0.8638355774
2025-10-22,0.1409020592,0.985551789
2025-10-23,-0.1145607344,0.8726462523
2025-10-24,-0.1025661545,0.7831422819
2025-10-25,-0.0116913243,0.7739863115
2025-10-26,-0.1679988266,0.6439575194
2025-10-27,0.0742840392,0.691793285
2025-10-28,0.0872312507,0.7521392785
2025-10-29,0.0099298974,0.7596079444
2025-10-30,0.2704943456,0.9650775982
2025-10-31,-0.132083025,0.8376072297
2025-11-01,0.0043683189,0.8412661651
2025-11-02,0.0356716821,0.8712755444
2025-11-03,0.1692124934,1.0187062517
2025-11-04,0.0760771036,1.0962064727
2025-11-05,-0.1096394769,0.9760189685
2025-11-06,0.1084742787,1.0818919221
2025-11-07,-0.2335794073,0.8291842481
2025-11-08,0.100488218,0.9125074956
2025-11-09,-0.1582587869,0.7680951663
2025-11-10,-0.0289836742,0.7458329463
2025-11-11,0.2199605966,0.9098868061
2025-11-12,0.0411741314,0.947350605
2025-11-13,0.1001855667,1.0422614622
2025-11-14,0.1798161176,1.2296768719
2025-11-15,0.0159357723,1.2492727225
2025-11-16,0.1468680606,1.4327509845
2025-11-17,0.0878292783,1.5585884694
2025-11-18,-0.1426899938,1.3361934904
2025-11-19,0.1904193125,1.5906305362
2025-11-20,0.0906934864,1.7348903651
2025-11-21,0.3134793879,2.2787427348
2025-11-22,0.0217074536,2.328208437
2025-11-23,-0.0360772816,2.2442130056
2025-11-24,-0.0555141543,2.1196274185
2025-11-25,-0.0086684764,2.1012534783
2025-11-26,-0.1040214535,1.8826780373
2025-11-27,0.0536382806,1.9836616501
2025-11-28,0.0078308679,1.9991954425
2025-11-29,0.0606443438,2.1204353382
2025-11-30,-0.0353418693,2.0454951896
2025-12-01,0.263634096,2.5847574648
2025-12-02,-0.2491472013,1.9407723764
2025-12-03,-0.1794945708,1.5924142717
2025-12-04,0.0040753836,1.5989039707
2025-12-05,0.0974438375,1.7547073094
2025-12-06,0.0284598505,1.8046460171
2025-12-07,0.0326661961,1.8635969378
2025-12-08,-0.1631281658,1.5595917875
2025-12-09,-0.2835403197,1.1173846335
2025-12-10,0.0197379359,1.1394394998
2025-12-11,0.0534290912,1.2003187167
2025-12-12,0.1992877491,1.439527532
2025-12-13,-0.0098580225,1.4253366372
2025-12-14,0.104359221,1.5740836583
2025-12-15,0.1906828174,1.8742343651
2025-12-16,-0.0161053369,1.8440491892
2025-12-17,0.1801490574,2.1762529124
2025-12-18,-0.0105363417,2.1533231681
2025-12-19,-0.2097869441,1.701584081
2025-12-20,-0.076582532,1.5712724637
2025-12-21,0.0247167169,1.6101091603
2025-12-22,0.0618852342,1.7097511428
2025-12-23,0.0376597886,1.7741400094
2025-12-24,0.0198836032,1.8094163054
2025-12-25,-0.0176660661,1.7774510373
2025-12-26,0.000175803,1.7777635185
2025-12-27,-0.0965570938,1.6061078397
2025-12-28,-0.0174352336,1.5781049744
2025-12-29,0.0384614176,1.6388011288
2025-12-30,-0.0187338095,1.6081001406
2025-12-31,0.0326330462,1.6605773468
2026-01-01,-0.038191864,1.5971568026
2026-01-02,-0.1358827354,1.3801307674
2026-01-03,0.0047872774,1.3867378363
2026-01-04,-0.0278937682,1.3480564925
