date,daily_return,equity_twr
2025-10-30,0.0084211924,1.0084211924
2025-10-31,-0.0474528002,0.960568783
2025-11-01,0.0081099206,0.9683589196
2025-11-02,0.066007315,1.0322776918
2025-11-03,0.3412823779,1.3845758772
2025-11-04,0.0,1.3845758772
2025-11-05,0.0,1.3845758772
2025-11-06,0.0,1.3845758772
2025-11-07,0.0,1.3845758772
2025-11-08,-0.0236415739,1.3518423242
2025-11-09,-0.1075093536,1.2065066298
2025-11-10,-0.098187434,1.0880428397
2025-11-11,0.3092706409,1.4245425461
2025-11-12,0.1018431697,1.5696224743
2025-11-13,0.1768332051,1.8471838473
2025-11-14,0.0491828048,1.9380335299
2025-11-15,-0.0625000952,1.8169062497
2025-11-16,0.170165936,2.1260818024
2025-11-17,0.1474269507,2.4395235594
2025-11-18,-0.3457690691,1.5960117692
2025-11-19,0.3132122192,2.0959021573
2025-11-20,0.080030383,2.2636380097
2025-11-21,0.3206560743,2.9894872876
2025-11-22,-0.000322839,2.9885221645
2025-11-23,-0.1073391187,2.6677368291
2025-11-24,-0.1529527666,2.2596991006
2025-11-25,-0.0480229302,2.1511817284
2025-11-26,-0.0335724005,2.0789613938
2025-11-27,0.0659982638,2.2161692363
2025-11-28,0.0685120156,2.3680034576
2025-11-29,0.0600516962,2.5102060819
2025-11-30,-0.0504328972,2.3836091166
2025-12-01,-0.455174037,1.2986521324
2025-12-02,0.5005964407,1.9487527675
2025-12-03,0.1795534119,2.2986579759
2025-12-04,0.0044775607,2.3089503565
2025-12-05,0.2726046301,2.9383809144
2025-12-06,-0.0044505641,2.9253034618
2025-12-07,0.0293104423,3.0110454001
2025-12-08,-0.1484623506,2.5640185222
2025-12-09,-0.1886415552,2.0803380806
2025-12-10,0.134299852,2.359727177
2025-12-11,0.1002899873,2.5963841856
2025-12-12,0.1164007339,2.8986052103
2025-12-13,-0.0650039327,2.7101844722
2025-12-14,0.1815206114,3.2021388147
2025-12-15,0.1881907789,3.8047518123
2025-12-16,-0.1188267569,3.3526454937
2025-12-17,0.1964298174,4.0112050358
2025-12-18,0.1332177761,4.5455688501
2025-12-19,-0.3755408469,2.8385220745
2025-12-20,-0.0047122111,2.8251463593
2025-12-21,0.0691947247,3.0206315839
2025-12-22,-0.0599429331,2.8395660669
2025-12-23,0.1055505617,3.1392838603
2025-12-24,0.0317483018,3.2389507917
2025-12-25,0.0537172894,3.4129384487
2025-12-26,0.2026789339,4.104669175
2025-12-27,-0.0721386647,3.8085638216
2025-12-28,0.010279338,3.8477133365
2025-12-29,0.0362138093,3.9870536935
2025-12-30,0.0057820364,4.0101069831
2025-12-31,0.190151067,4.7726331047
2026-01-01,-0.3328399836,3.1841099804
2026-01-02,-0.5842203194,1.3238882306
2026-01-03,-0.0805304605,1.2172749018
2026-01-04,-0.2898133554,0.864492378
