date,daily_return,equity_twr
2025-07-11,-0.0235963677,0.9764036323
2025-07-12,-0.018412857,0.9584252518
2025-07-13,0.0201141771,0.9777031871
2025-07-14,0.049089451,1.0256980998
2025-07-15,0.0554490678,1.0825721033
2025-07-16,0.2344445997,1.3363752867
2025-07-17,0.0609664277,1.417849314
2025-07-18,0.0486787064,1.4868683844
2025-07-19,0.009395063,1.5008376066
2025-07-20,0.0595552063,1.5902202999
2025-07-21,0.0122160169,1.6096464579
2025-07-22,-0.0191017122,1.5788994545
2025-07-23,-0.0443109309,1.5089369499
2025-07-24,0.0436181553,1.5747539961
2025-07-25,0.007775169,1.5869979746
2025-07-26,0.0106320019,1.6038709401
2025-07-27,0.0448425369,1.6757925819
2025-07-28,-0.033677204,1.6193565732
2025-07-29,-0.0090486626,1.604703562
2025-07-30,-0.0124501753,1.5847247213
2025-07-31,-0.0239679224,1.5467421622
2025-08-01,-0.1663687833,1.2894125506
2025-08-02,-0.0608578932,1.2109416193
2025-08-03,0.0942363768,1.32505637
2025-08-04,0.2381562657,1.6406268469
2025-08-05,-0.1265536605,1.4329995139
2025-08-06,0.119486436,1.6042235186
2025-08-07,0.1596951431,1.860410223
2025-08-08,0.0567452634,1.9659796911
2025-08-09,0.0901065689,2.1431273756
2025-08-10,-0.0268374437,2.0856113154
2025-08-11,-0.009160929,2.0665051782
2025-08-12,0.1305882571,2.3363664877
2025-08-13,0.0460695866,2.4440019259
2025-08-14,-0.0670171198,2.2802119561
2025-08-15,-0.0272928973,2.2179783653
2025-08-16,-0.0010996854,2.2155392869
2025-08-17,0.0302056477,2.2824610861
2025-08-18,-0.0426107085,2.1852038021
2025-08-19,-0.0791300311,2.0122885572
2025-08-20,0.1096854845,2.2330074026
2025-08-21,-0.0410858328,2.1412624338
2025-08-22,0.260820887,2.6997484011
2025-08-23,-0.0456403389,2.5765309691
2025-08-24,-4.57802e-05,2.576413015
2025-08-25,0.0153284232,2.6159053641
2025-08-26,0.1814629739,3.0905953309
2025-08-27,-0.0070373292,3.0688457941
2025-08-28,0.0005053473,3.070396627
2025-08-29,-0.0008262504,3.0678597106
2025-08-30,0.0001449658,3.0683044453
2025-08-31,0.0106636936,3.1010239038
2025-09-01,-0.0170829991,3.0480491152
2025-09-02,0.0109238054,3.0813454106
2025-09-03,0.018844153,3.139410755
2025-09-04,-0.0194917702,3.078218082
2025-09-05,0.157155499,3.5619769807
2025-09-06,0.0342699085,3.6840456059
2025-09-07,-0.0415538701,3.5309592534
2025-09-08,-0.0310690151,3.421255827
2025-09-09,0.0716879327,3.6665185845
2025-09-10,-0.1197237106,3.2275493746
2025-09-11,-0.1552793833,2.7263774981
2025-09-12,-0.2313873766,2.0955281612
