date,daily_return,equity_twr
2025-12-14,0.0,1.0
2025-12-15,0.0,1.0
2025-12-16,0.0,1.0
2025-12-17,0.1079956133,1.1079956133
2025-12-18,0.1221086834,1.2432914989
2025-12-19,0.0053699905,1.2499679624
2025-12-20,0.0,1.2499679624
2025-12-21,0.0,1.2499679624
2025-12-22,0.0,1.2499679624
2025-12-23,0.0,1.2499679624
2025-12-24,0.0,1.2499679624
2025-12-25,0.0,1.2499679624
2025-12-26,0.0,1.2499679624
2025-12-27,0.0,1.2499679624
2025-12-28,0.0,1.2499679624
2025-12-29,0.0,1.2499679624
2025-12-30,0.0,1.2499679624
2025-12-31,0.0,1.2499679624
2026-01-01,0.0,1.2499679624
2026-01-02,0.0,1.2499679624
2026-01-03,0.0,1.2499679624
2026-01-04,0.0,1.2499679624
