date,daily_return,equity_twr
2025-08-08,-0.0749640383,0.9250359617
2025-08-09,-0.2362351671,0.7065099367
2025-08-10,0.0585995156,0.7479110768
2025-08-11,0.2544216464,0.9381958443
2025-08-12,-0.3805693074,0.5811473016
2025-08-13,-0.1409630526,0.499227004
2025-08-14,0.4448537489,0.7213100082
2025-08-15,0.0706306266,0.7722565861
2025-08-16,-0.0661024891,0.7212085035
2025-08-17,-0.1570480109,0.6079441426
2025-08-18,0.1197352733,0.6807365007
2025-08-19,0.2960682345,0.8822809546
2025-08-20,-0.1615329764,0.739763486
2025-08-21,0.1317052548,0.8371942244
2025-08-22,-0.4087745657,0.4949705189
2025-08-23,0.0855128317,0.5372968496
2025-08-24,0.125976981,0.6049838846
2025-08-25,0.3861442631,0.8385949409
2025-08-26,-0.1380704568,0.7228097543
2025-08-27,0.0867339202,0.7855018779
2025-08-28,-0.1118182869,0.6976684036
2025-08-29,0.2878538761,0.8984949577
2025-08-30,-0.0188429917,0.8815646247
2025-08-31,-0.0456150195,0.8413520372
2025-09-01,0.2684815237,1.0672395141
2025-09-02,-0.1488729212,0.90835645
2025-09-03,-0.0815645145,0.8342667972
2025-09-04,0.206810276,1.0068017437
2025-09-05,-0.0765355072,0.9297456616
2025-09-06,0.0340716995,0.9614236764
2025-09-07,-0.0873079603,0.8774837363
2025-09-08,-0.2489847582,0.6590036604
2025-09-09,-0.0637147199,0.6170154267
2025-09-10,-0.1058024263,0.5517336975
2025-09-11,-0.1126132548,0.4896011701
2025-09-12,-0.1674722411,0.4076065649
2025-09-13,-0.0880560845,0.3717143267
2025-09-14,0.1799763847,0.4386141274
2025-09-15,0.1745598041,0.5151785236
2025-09-16,-0.0803015047,0.4738089129
2025-09-17,-0.1551507547,0.4002971025
2025-09-18,-0.2239914999,0.3106339541
2025-09-19,0.2129494656,0.3767832886
2025-09-20,0.0319582117,0.3888246087
2025-09-21,0.0859797893,0.4222556667
2025-09-22,0.2966065989,0.5474994838
2025-09-23,0.0457803068,0.5725641782
2025-09-24,-0.0163138322,0.5632234622
2025-09-25,0.2607691723,0.7100947783
2025-09-26,-0.0671869001,0.6623857114
2025-09-27,-0.0123713914,0.6541910785
2025-09-28,-0.0154459696,0.644086463
2025-09-29,0.0398187768,0.6697331981
2025-09-30,0.0962022377,0.7341630304
2025-10-01,-0.130144454,0.6386157837
2025-10-02,-0.1726104985,0.5283839949
2025-10-03,-0.0517086479,0.501061973
2025-10-04,0.1277764656,0.5650859009
2025-10-05,0.0253192884,0.5793934738
2025-10-06,-0.2062706742,0.4598815913
2025-10-07,0.2579973722,0.5785298334
2025-10-08,-0.0549941261,0.5467140908
2025-10-09,0.2070162618,0.6598927982
2025-10-10,1.0,1.3197855963
2025-10-11,0.0090429712,1.3317203795
2025-10-12,-0.181079956,1.0905725117
2025-10-13,-0.1916234477,0.8815932471
2025-10-14,0.1947800908,1.0533100598
2025-10-15,0.1829565461,1.2460200303
2025-10-16,0.1205837075,1.3962697452
2025-10-17,0.0293109544,1.437195744
2025-10-18,-0.0291335567,1.3953251203
2025-10-19,-0.0631805855,1.3071676622
2025-10-20,0.030501912,1.3470387752
2025-10-21,0.0340651129,1.3929258032
2025-10-22,0.1042290843,1.5381091842
2025-10-23,-0.01502931,1.5149924644
2025-10-24,-0.0202944786,1.4842464823
2025-10-25,-0.0371112238,1.4291642789
2025-10-26,-0.1242013518,1.2516601435
2025-10-27,0.0742817993,1.3446357111
2025-10-28,0.099939295,1.4790176561
2025-10-29,-0.0921682263,1.3426992221
2025-10-30,0.2185837514,1.636191455
2025-10-31,-0.0370777317,1.5755251872
2025-11-01,-0.0284112935,1.5307624787
2025-11-02,0.0157325146,1.5548452218
2025-11-03,0.1214903951,1.7437439821
2025-11-04,0.0129443298,1.7663155793
2025-11-05,-0.0146400702,1.7404565952
2025-11-06,0.0133988309,1.7637766788
2025-11-07,-0.2893147868,1.253490005
