date,daily_return,equity_twr
2025-10-07,0.1228046336,1.1228046336
2025-10-08,-0.0901156491,1.0216223652
2025-10-09,0.1404141936,1.1650726458
2025-10-10,1.0,2.3301452916
2025-10-11,0.0271438771,2.393394469
2025-10-12,-0.0043302331,2.3830305131
2025-10-13,0.0,2.3830305131
2025-10-14,0.0,2.3830305131
2025-10-15,0.0,2.3830305131
2025-10-16,-0.0131505111,2.3516924439
2025-10-17,-0.0547683356,2.2228941629
2025-10-18,0.0024937948,2.2284376048
2025-10-19,-0.0237792177,2.1754471018
2025-10-20,-0.0216981578,2.1282439073
2025-10-21,-0.0020535038,2.1238735504
2025-10-22,0.185802195,2.518493918
2025-10-23,-0.0229243273,2.4607591391
2025-10-24,-0.0241400034,2.4013564051
2025-10-25,-0.0456413909,2.2917551587
2025-10-26,-0.1239003152,2.0078059722
2025-10-27,0.0157258268,2.0393803812
2025-10-28,0.0553964213,2.1523547559
2025-10-29,-0.0591435812,2.0250567877
2025-10-30,0.4615086262,2.9596379637
2025-10-31,-0.0290513484,2.8736564901
2025-11-01,0.0102117428,2.9030015311
2025-11-02,-0.0344939481,2.8028655469
2025-11-03,0.1075238504,3.1042404427
2025-11-04,0.0859644932,3.3710948991
2025-11-05,-0.0315985558,3.2645731688
2025-11-06,0.1434328625,3.7328202433
2025-11-07,-0.3492191909,2.4292477781
2025-11-08,0.5280819386,3.7120896542
2025-11-09,-0.1851366443,3.0248458323
2025-11-10,0.0976879053,3.3203366855
2025-11-11,0.1618748499,3.857815688
2025-11-12,0.0217325844,3.9416559931
2025-11-13,0.1316022303,4.4603867128
2025-11-14,-0.002756231,4.4480928567
2025-11-15,0.000141709,4.4487231915
2025-11-16,0.0893636409,4.8462772933
2025-11-17,-0.0994070926,4.3645229576
2025-11-18,-0.0831757394,4.0015005335
2025-11-19,0.1431887775,4.574470503
2025-11-20,0.0984164145,5.0246734882
2025-11-21,0.1486324762,5.7715031508
2025-11-22,0.0010541414,5.7775871312
2025-11-23,-0.0294367231,5.6075138987
2025-11-24,-0.0244398719,5.4704669773
2025-11-25,0.0292410363,5.6304291008
2025-11-26,-0.048418498,5.3578121806
2025-11-27,0.0139807649,5.4327184931
2025-11-28,-0.0055871123,5.4023652848
2025-11-29,0.0092206258,5.4521784735
2025-11-30,-0.0069823871,5.4141092529
2025-12-01,0.0003959236,5.4162528265
2025-12-02,-0.2694945278,3.9566023286
2025-12-03,-0.1606556562,3.3209517851
2025-12-04,0.0499590426,3.4868633569
2025-12-05,0.1926396164,4.1585713764
2025-12-06,-0.0267296297,4.0474143034
2025-12-07,-0.0102326723,4.0059984392
2025-12-08,-0.0826934446,3.6747286292
2025-12-09,-0.1989976016,2.9434664454
2025-12-10,0.0061142229,2.9614634554
2025-12-11,0.005956756,2.9791041706
2025-12-12,0.0980227351,3.2711241095
2025-12-13,0.0194552365,3.3347646027
2025-12-14,0.1104290006,3.703019325
2025-12-15,0.1237191765,4.1611538265
2025-12-16,-0.0398188943,3.9954612821
2025-12-17,0.0957559627,4.3780505236
2025-12-18,0.0594247467,4.638215067
2025-12-19,-0.0666823048,4.3289281962
2025-12-20,-0.0392489105,4.1590224808
2025-12-21,0.0603463976,4.4100045051
2025-12-22,0.0199315234,4.4979026131
2025-12-23,0.0268084027,4.6184841976
2025-12-24,0.0007172292,4.6217967093
2025-12-25,-0.0205052979,4.527025391
2025-12-26,0.0381787398,4.6998615155
2025-12-27,-0.0180728974,4.6149214005
2025-12-28,-0.0087328495,4.5746199865
2025-12-29,-0.0055917706,4.5490397609
2025-12-30,0.0162992463,4.6231856804
2025-12-31,0.0562630476,4.8833001964
2026-01-01,-0.0519865579,4.629434228
2026-01-02,-0.1283889485,4.0350660353
2026-01-03,0.0150393418,4.0957507726
2026-01-04,-0.0606929538,3.8471675602
