date,daily_return,equity_twr
2025-07-11,0.0709918516,1.0709918516
2025-07-12,-0.0915863198,0.9729036494
2025-07-13,0.007449101,0.9801509069
2025-07-14,0.0416844025,1.0210079118
2025-07-15,-0.0772575765,0.942127315
2025-07-16,0.008287965,0.9499356332
2025-07-17,0.0378349337,0.9858763849
2025-07-18,0.0578744547,1.0429334431
2025-07-19,0.0061573425,1.0493551415
2025-07-20,-0.0134354198,1.0352566146
2025-07-21,-0.0699260663,0.962865192
2025-07-22,-0.0175414443,0.9459751458
2025-07-23,0.2513437609,1.1837400967
2025-07-24,0.0274853797,1.2162756427
2025-07-25,-0.042214995,1.1649305726
2025-07-26,-0.037324109,1.1214505769
2025-07-27,-0.0968732184,1.0128120502
2025-07-28,0.2133252093,1.2288703928
2025-07-29,0.0933372926,1.3435698282
2025-07-30,0.0767657315,1.4467099489
2025-07-31,0.0720381338,1.5509282338
2025-08-01,0.0816083914,1.6774969921
2025-08-02,0.0203947037,1.7117090463
2025-08-03,-0.0403983899,1.6425587568
2025-08-04,-0.0361245805,1.5832220108
2025-08-05,0.0289581199,1.6290691436
2025-08-06,-0.0145559525,1.6053564905
2025-08-07,-0.0227532502,1.5688294126
2025-08-08,-0.0078543594,1.5565072626
2025-08-09,-0.0063123761,1.5466820033
2025-08-10,0.0124798227,1.5659843205
2025-08-11,-0.006782455,1.5553631023
2025-08-12,0.0015230231,1.5577319563
2025-08-13,-0.0045163279,1.550696728
2025-08-14,0.0234762193,1.5871012244
2025-08-15,-0.0083707034,1.5738160708
2025-08-16,0.0028909283,1.5783658602
2025-08-17,-0.0330249366,1.5262404278
2025-08-18,-0.0006989906,1.5251736
2025-08-19,0.0100315234,1.5404734147
2025-08-20,-0.0080392806,1.5280891167
2025-08-21,0.0063691118,1.5378216871
2025-08-22,-0.0128978941,1.5179870258
2025-08-23,-0.0110481252,1.5012161151
2025-08-24,0.0020928913,1.5043579973
2025-08-25,0.0032355085,1.5092253603
2025-08-26,-0.0018185588,1.5064807453
2025-08-27,-0.0088331045,1.4931738434
2025-08-28,0.0,1.4931738434
2025-08-29,-0.0005376118,1.4923710956
2025-08-30,-0.0004889648,1.4916413786
2025-08-31,-0.0038416962,1.4859109456
2025-09-01,-0.0005492064,1.4850948738
2025-09-02,0.0022413811,1.4884235374
2025-09-03,-0.0018351603,1.4856920416
2025-09-04,0.0,1.4856920416
2025-09-05,0.0,1.4856920416
2025-09-06,0.0,1.4856920416
2025-09-07,0.0,1.4856920416
2025-09-08,0.0018549516,1.4884479284
2025-09-09,-0.0025632707,1.4846326335
2025-09-10,0.0069011698,1.4948783354
2025-09-11,0.0029737607,1.4993237458
2025-09-12,-0.006078148,1.4902106342
2025-09-13,-0.0045756098,1.4833920118
2025-09-14,0.0001646468,1.4836362475
2025-09-15,-0.000180462,1.4833685076
2025-09-16,-0.0072319904,1.4726408008
2025-09-17,-0.0069697841,1.4623768123
2025-09-18,-0.0180786488,1.4359390155
2025-09-19,-0.0207701547,1.40611434
2025-09-20,0.0045521124,1.4125151306
2025-09-21,-0.0102533514,1.3980321166
2025-09-22,0.0031377231,1.4024187542
2025-09-23,0.0070891155,1.4123606628
2025-09-24,-0.0090505063,1.3995780837
2025-09-25,-0.035126133,1.3504163178
2025-09-26,-0.0141840321,1.3312619694
2025-09-27,-0.0026772356,1.3276978674
2025-09-28,0.0276757152,1.3644428555
2025-09-29,-0.079828591,1.2555213048
2025-09-30,-0.0402982185,1.204926033
2025-10-01,0.0,1.204926033
2025-10-02,-0.0026747504,1.2017031566
2025-10-03,-0.0086116118,1.1913545555
2025-10-04,0.0,1.1913545555
2025-10-05,0.0,1.1913545555
2025-10-06,0.0,1.1913545555
2025-10-07,0.0,1.1913545555
2025-10-08,0.0,1.1913545555
2025-10-09,-0.0125363051,1.1764193713
2025-10-10,-0.016342145,1.1571941554
2025-10-11,0.0,1.1571941554
2025-10-12,0.0,1.1571941554
2025-10-13,0.0,1.1571941554
2025-10-14,0.0,1.1571941554
2025-10-15,0.0,1.1571941554
2025-10-16,0.0,1.1571941554
2025-10-17,-0.0043092454,1.1522075218
2025-10-18,0.0,1.1522075218
2025-10-19,0.0,1.1522075218
2025-10-20,0.0008941933,1.153237818
2025-10-21,0.0033023875,1.1570462562
2025-10-22,0.0,1.1570462562
2025-10-23,0.0011626439,1.1583914889
2025-10-24,0.0,1.1583914889
2025-10-25,-0.0025188389,1.1554736874
2025-10-26,-7.00473e-05,1.1553927496
2025-10-27,-0.1098329609,1.0284925429
2025-10-28,-0.0629205142,0.9637792632
2025-10-29,0.0,0.9637792632
2025-10-30,-0.0160670438,0.9482941796
2025-10-31,0.0,0.9482941796
2025-11-01,0.0,0.9482941796
2025-11-02,0.0,0.9482941796
2025-11-03,0.0,0.9482941796
2025-11-04,0.2215347376,1.1583742819
2025-11-05,-0.1878100359,0.9408199664
2025-11-06,-0.0222650812,0.9198725334
2025-11-07,-0.0070785172,0.9133611999
2025-11-08,0.0,0.9133611999
2025-11-09,0.0,0.9133611999
2025-11-10,0.0,0.9133611999
2025-11-11,0.0968714068,1.0018397843
2025-11-12,0.039932357,1.0418456082
2025-11-13,-0.0006655107,1.0411522488
2025-11-14,0.0554296121,1.0988629141
2025-11-15,-0.0145394657,1.0828860344
2025-11-16,-0.0286103142,1.0519043247
2025-11-17,-0.0162218906,1.0348404478
2025-11-18,-0.0228585492,1.0111854966
2025-11-19,0.033268157,1.0448257744
2025-11-20,0.0097231026,1.0549847226
2025-11-21,0.0299103035,1.0865396359
2025-11-22,0.0137770709,1.1015089695
2025-11-23,0.000650488,1.1022254878
2025-11-24,0.0676383161,1.1767781638
2025-11-25,0.1318442022,1.3319295419
2025-11-26,0.0104285115,1.3458195845
2025-11-27,-0.0047871061,1.3393770034
2025-11-28,-0.0075168475,1.3293091107
2025-11-29,-0.0297446853,1.2897692295
2025-11-30,-0.0055287436,1.2826384261
2025-12-01,-0.1479788965,1.0928350072
2025-12-02,0.0,1.0928350072
2025-12-03,0.0,1.0928350072
2025-12-04,0.0,1.0928350072
2025-12-05,0.0046422616,1.0979082332
2025-12-06,0.0034545765,1.1017010412
2025-12-07,-0.0273720132,1.0715452658
2025-12-08,0.0,1.0715452658
2025-12-09,-0.0312566968,1.0380523003
2025-12-10,0.0,1.0380523003
2025-12-11,0.0,1.0380523003
2025-12-12,0.0,1.0380523003
2025-12-13,0.0,1.0380523003
2025-12-14,0.0,1.0380523003
2025-12-15,0.0336224921,1.0729542055
2025-12-16,-0.0153771329,1.0564552461
2025-12-17,-0.0267194835,1.0282273076
2025-12-18,0.0,1.0282273076
2025-12-19,-0.0360080837,0.9912028127
2025-12-20,0.0,0.9912028127
2025-12-21,0.0,0.9912028127
2025-12-22,0.0,0.9912028127
2025-12-23,0.0,0.9912028127
2025-12-24,0.0,0.9912028127
2025-12-25,0.0,0.9912028127
2025-12-26,0.0,0.9912028127
2025-12-27,0.0,0.9912028127
2025-12-28,0.0,0.9912028127
2025-12-29,0.0,0.9912028127
2025-12-30,0.0,0.9912028127
2025-12-31,0.0,0.9912028127
2026-01-01,0.0,0.9912028127
2026-01-02,0.0,0.9912028127
