date,daily_return,equity_twr
2025-07-11,-0.0928456443,0.9071543557
2025-07-12,0.0953598389,0.9936604489
2025-07-13,-0.1821555854,0.8126596482
2025-07-14,0.0412345296,0.8461692865
2025-07-15,-0.0801780413,0.7783250905
2025-07-16,0.0605525516,0.8254546607
2025-07-17,0.0276019548,0.8482388229
2025-07-18,0.1158676306,0.9465222455
2025-07-19,-0.0193196974,0.9282357221
2025-07-20,0.0003272772,0.9285395125
2025-07-21,-0.1843447628,0.7573681163
2025-07-22,-0.1403765422,0.651051399
2025-07-23,0.2058273358,0.7850555739
2025-07-24,0.1216668884,0.8805708428
2025-07-25,-0.099552836,0.7929075181
2025-07-26,-0.0714928912,0.7362202672
2025-07-27,-0.0964546567,0.6652083941
2025-07-28,0.2258351332,0.8154358203
2025-07-29,0.1058324939,0.9017354268
2025-07-30,0.1018821914,0.9936062082
2025-07-31,0.0258945453,1.0193351891
2025-08-01,0.0502381501,1.0705447034
2025-08-02,0.0845564269,1.1610661383
2025-08-03,-0.0905100087,1.0559780321
2025-08-04,-0.0491719872,1.0040534938
2025-08-05,0.1056573527,1.1101391279
2025-08-06,-0.0513502527,1.0531332031
2025-08-07,-0.1196538548,0.9271217558
2025-08-08,-0.0841932256,0.8490643846
2025-08-09,-0.2086266353,0.6719269389
2025-08-10,0.0114987349,0.6796532487
2025-08-11,0.2813010878,0.8708404468
2025-08-12,-0.1301160132,0.7575301598
2025-08-13,-0.0676669977,0.7062703682
2025-08-14,0.3264491602,0.9368317367
2025-08-15,-0.0663506675,0.8746723257
2025-08-16,-0.0401540329,0.8395507043
2025-08-17,-0.027749967,0.8162532
2025-08-18,0.0146762799,0.8282327604
2025-08-19,0.0483216539,0.8682543372
2025-08-20,-0.0555364437,0.8200345791
2025-08-21,0.0118083379,0.8297178245
2025-08-22,-0.0461037776,0.7914646985
2025-08-23,-0.0714667423,0.7349012948
2025-08-24,0.0607520595,0.779548062
2025-08-25,0.2256800857,0.9554765354
2025-08-26,-0.0744537083,0.8843377642
2025-08-27,0.0396711887,0.9194204945
2025-08-28,-0.0255899582,0.8958925625
2025-08-29,0.0931919955,0.9793825781
2025-08-30,-0.0368690778,0.9432736457
2025-08-31,0.0271850486,0.9689165856
2025-09-01,0.058434716,1.0255349511
2025-09-02,-0.0315993677,0.9931286951
2025-09-03,0.0204300846,1.0134183983
2025-09-04,0.0583789128,1.0725806626
2025-09-05,-0.0051327549,1.067075369
2025-09-06,-0.0544155762,1.0090098479
2025-09-07,0.0238897167,1.0331148073
2025-09-08,-0.0981264715,0.9317388966
2025-09-09,-0.0422312208,0.8923904256
2025-09-10,-0.0152560406,0.878776081
2025-09-11,-0.0325896122,0.8501371093
2025-09-12,0.0697244093,0.9094124171
2025-09-13,0.0880357177,0.9894731919
2025-09-14,0.0635075361,1.0523121964
2025-09-15,0.0541309242,1.1092748281
2025-09-16,-0.0482899021,1.0557080552
2025-09-17,0.0219804862,1.0789130316
2025-09-18,-0.0733425429,0.9997828063
2025-09-19,-0.0078614028,0.9919231109
2025-09-20,-0.0350347162,0.9571713662
2025-09-21,-0.0296657603,0.9287761499
2025-09-22,-0.0197288742,0.9104524421
2025-09-23,0.0844920794,0.9873784621
2025-09-24,-0.0539099482,0.9341489404
2025-09-25,0.1498012227,1.0740855938
2025-09-26,-0.0843598335,0.983475912
2025-09-27,-0.004075656,0.9794676025
2025-09-28,-0.0605453894,0.9201653551
2025-09-29,-0.0455759989,0.8782278999
2025-09-30,0.1267261406,0.9895223322
2025-10-01,0.0185166913,1.0078450117
2025-10-02,-0.0903851362,0.9167508031
2025-10-03,0.0131020158,0.9287620866
2025-10-04,0.0341764585,0.9605038855
2025-10-05,-0.0180788689,0.9431390617
2025-10-06,-0.1655820271,0.786972184
2025-10-07,0.2050570452,0.9483463747
2025-10-08,-0.032829422,0.9172127114
2025-10-09,0.1381642309,1.0439387002
2025-10-10,0.5462299495,1.6141692837
2025-10-11,-0.020332171,1.5813497178
2025-10-12,-0.3068612316,1.0960947958
2025-10-13,-0.0910766102,0.9962661974
2025-10-14,0.183781217,1.1793612116
2025-10-15,0.1713232266,1.3814131797
2025-10-16,0.0785448347,1.4899160495
2025-10-17,0.0706875274,1.5952345311
2025-10-18,-0.0166530972,1.5686689354
2025-10-19,-0.0802549281,1.4427755228
2025-10-20,-0.0124106625,1.4248697227
2025-10-21,0.01873403,1.4515632748
2025-10-22,0.16119633,1.6855499475
2025-10-23,-0.1003247855,1.5164475105
2025-10-24,-0.0731230707,1.405560212
2025-10-25,-0.0583049233,1.3236091317
2025-10-26,-0.1413516262,1.1365148284
2025-10-27,9.6322e-05,1.1366242998
2025-10-28,0.1257914329,1.2796018992
2025-10-29,-0.0606112284,1.2020436562
2025-10-30,0.3060953908,1.5699836789
2025-10-31,-0.0997429708,1.4133888427
2025-11-01,-0.0482223005,1.3452319812
2025-11-02,0.0336079126,1.39044242
2025-11-03,0.2619433387,1.7546595498
2025-11-04,0.1124459287,1.9519638724
2025-11-05,-0.0886861617,1.7788516888
2025-11-06,0.0783368722,1.9182013662
2025-11-07,-0.1404460883,1.6487974877
2025-11-08,0.0883233576,1.7944248179
2025-11-09,-0.071056312,1.6669196081
2025-11-10,-0.1158991803,1.4737249919
2025-11-11,0.1813208652,1.7409420825
2025-11-12,0.0193311872,1.7745965598
2025-11-13,0.0071631136,1.7873081966
2025-11-14,0.047578135,1.8723449873
2025-11-15,0.0124433382,1.8956432092
2025-11-16,0.0248045856,1.9426638534
2025-11-17,-0.0084909488,1.9261687941
2025-11-18,-0.0645578858,1.8018194091
2025-11-19,0.0873766142,1.9592562884
2025-11-20,0.0249699333,2.0081787873
2025-11-21,0.1530570338,2.3155446758
2025-11-22,0.0128568802,2.3453153563
2025-11-23,-0.0564205605,2.2129913493
2025-11-24,-0.1010888329,1.9892826366
2025-11-25,0.0272427445,2.0434761552
2025-11-26,-0.1002762635,1.8385640018
2025-11-27,-0.0181221396,1.8052452883
2025-11-28,0.0299763765,1.8593600007
2025-11-29,0.0246830474,1.9052546718
2025-11-30,-0.0131777956,1.8801476151
2025-12-01,0.1774307944,2.2137437001
2025-12-02,-0.1432559085,1.8966118351
2025-12-03,-0.0765870933,1.7513558476
2025-12-04,0.0657111408,1.8664394383
2025-12-05,0.1091836672,2.0702241407
2025-12-06,-0.0151258535,2.0389102337
2025-12-07,0.0319873106,2.1041294886
2025-12-08,-0.0453300096,2.0087492787
2025-12-09,-0.0527339479,1.9028199989
2025-12-10,0.0261320953,1.9525446724
2025-12-11,0.0268778909,2.0050249551
2025-12-12,0.0255111785,2.0561755046
2025-12-13,0.0012193552,2.0586827129
2025-12-14,0.0392565695,2.1394995339
2025-12-15,0.0731150874,2.2959292294
2025-12-16,1.39373e-05,2.2959612284
2025-12-17,0.1086215252,2.5453520388
2025-12-18,0.0737059962,2.7329597465
2025-12-19,-0.1013213114,2.456052681
2025-12-20,-0.0197225209,2.4076131307
2025-12-21,-0.007786991,2.3888650689
2025-12-22,-0.0001929958,2.388404028
2025-12-23,0.0077720692,2.4069668694
2025-12-24,-0.0227549059,2.3521965647
2025-12-25,-0.0198582031,2.3054861676
2025-12-26,-0.021326572,2.2563180509
2025-12-27,-0.0173315521,2.217212557
2025-12-28,-0.002173644,2.2123931263
2025-12-29,0.0022564555,2.2173852929
2025-12-30,-0.009790173,2.1956767073
2025-12-31,-0.0006042989,2.1943498622
2026-01-01,-0.0719024595,2.0365707102
2026-01-02,-0.1324045044,1.7669195746
2026-01-03,-0.0380248523,1.6997327187
2026-01-04,-0.1122495348,1.5089385118
