date,daily_return,equity_twr
2025-11-14,1.0,2.0
2025-11-15,0.0,2.0
2025-11-16,0.0,2.0
2025-11-17,0.0,2.0
2025-11-18,0.0,2.0
2025-11-19,0.0,2.0
2025-11-20,0.0,2.0
2025-11-21,0.0025396399,2.0050792798
2025-11-22,0.0092898372,2.0237061399
2025-11-23,0.0342583799,2.0930350336
2025-11-24,0.0067848709,2.1072360061
2025-11-25,-0.0133846133,2.079031467
2025-11-26,0.0337014868,2.1490979186
2025-11-27,0.0108436194,2.1724019185
2025-11-28,-0.0040660194,2.1635688901
2025-11-29,-0.0033082569,2.1564112484
2025-11-30,0.0011946965,2.1589875054
2025-12-01,-0.0484477513,2.0543894157
2025-12-02,0.0598517915,2.1773483026
2025-12-03,0.023989773,2.2295823942
2025-12-04,-0.0160688097,2.193755659
2025-12-05,-0.0332917929,2.1207215999
2025-12-06,7.28814e-05,2.120876161
2025-12-07,0.0073793169,2.1365267783
2025-12-08,0.0103314894,2.1586002821
2025-12-09,0.0202646633,2.20234359
2025-12-10,-0.0037278229,2.1941336432
2025-12-11,-0.0018939067,2.1899781587
2025-12-12,-0.0217055451,2.1424434891
2025-12-13,-0.0029777576,2.1360638117
2025-12-14,-0.0198854933,2.0935871291
2025-12-15,-0.0239742779,2.0433948894
2025-12-16,0.0182310503,2.0806481244
2025-12-17,-0.0166692766,2.0459652253
2025-12-18,-0.0086608111,2.028245507
2025-12-19,0.0308127205,2.0907412689
2025-12-20,0.0008774549,2.0925758001
2025-12-21,0.0014557265,2.0956220181
2025-12-22,0.001462055,2.0986859328
2025-12-23,-0.0100559205,2.0775817139
2025-12-24,0.0032898864,2.0844167217
2025-12-25,-0.0021348549,2.0799667945
2025-12-26,-0.0044067573,2.0708008856
2025-12-27,0.0009971414,2.0728657669
2025-12-28,0.0033449575,2.0797994148
2025-12-29,-0.0068081202,2.0656398904
2025-12-30,0.0059000677,2.0778273056
2025-12-31,-0.000614549,2.0765503789
2026-01-01,0.0042347471,2.0853440446
2026-01-02,0.0190218138,2.1250110707
2026-01-03,0.0044201415,2.1344039203
2026-01-04,0.0123389129,2.1607401444
