date,daily_return,equity_twr
2025-07-11,-0.0225343525,0.9774656475
2025-07-12,0.0157161776,0.9928276712
2025-07-13,-0.0039683258,0.9888878076
2025-07-14,-0.005231417,0.9837145231
2025-07-15,0.0097662309,0.9933217062
2025-07-16,0.0017976646,0.9951073655
2025-07-17,0.0228348947,1.0178305374
2025-07-18,-0.0002442687,1.0175819133
2025-07-19,0.0036946057,1.0213414772
2025-07-20,0.0016951689,1.0230728235
2025-07-21,0.0058504948,1.0290583057
2025-07-22,0.0039092247,1.0330811259
2025-07-23,0.0107239133,1.0441597983
2025-07-24,0.00983373,1.0544277839
2025-07-25,0.0137032413,1.0688768622
2025-07-26,0.0013642266,1.0703350525
2025-07-27,0.0022641572,1.0727584593
2025-07-28,0.0274327877,1.1021872143
2025-07-29,-0.0895572221,1.0034783892
2025-07-30,-9.58846e-05,1.0033821711
2025-07-31,0.0166436013,1.0200820639
2025-08-01,-0.1719741256,0.8446543429
2025-08-02,0.0216649251,0.862953716
2025-08-03,0.0576488546,0.9127020093
2025-08-04,0.0185722552,0.9296529439
2025-08-05,-0.0058812405,0.9241854314
2025-08-06,0.0298745679,0.9517950718
2025-08-07,0.003359142,0.9549922866
2025-08-08,0.022870737,0.976833664
2025-08-09,-0.001279602,0.9755837057
2025-08-10,0.0037662291,0.9792579774
2025-08-11,8.38991e-05,0.9793401363
2025-08-12,0.0019878082,0.9812868767
2025-08-13,0.0018721716,0.9831240141
2025-08-14,0.0210943692,1.003862395
2025-08-15,0.0399855981,1.0440024333
2025-08-16,0.0129238388,1.0574949524
2025-08-17,0.0013071612,1.0588772688
2025-08-18,-0.0553262819,1.0002935265
2025-08-19,-0.0558522769,0.9444248555
2025-08-20,0.0486557375,0.9903765434
2025-08-21,-0.0182796706,0.9722727864
2025-08-22,0.0301231843,1.0015607387
2025-08-23,0.021077738,1.0226713736
2025-08-24,0.0208602395,1.0440045433
2025-08-25,0.002332735,1.0464399293
2025-08-26,0.0033552667,1.0499510143
2025-08-27,0.0032171225,1.0533288354
2025-08-28,-0.0013055784,1.051953632
2025-08-29,-0.0234778727,1.0272559985
2025-08-30,-0.0046753106,1.0224532577
2025-08-31,0.0339438608,1.0571592687
2025-09-01,-0.0553767884,0.9986171836
2025-09-02,0.0426830909,1.0412412516
2025-09-03,0.0076238631,1.0491795324
2025-09-04,0.0056431242,1.0551001828
2025-09-05,0.0129194404,1.0687314867
2025-09-06,0.0055680451,1.0746822318
2025-09-07,0.0031525105,1.0780701788
2025-09-08,-0.0015499403,1.0763992344
2025-09-09,0.0155981841,1.0931891078
2025-09-10,-0.0084482168,1.0839536093
2025-09-11,0.0310958568,1.1176600755
2025-09-12,0.0029236574,1.1209277306
2025-09-13,-0.0001864837,1.1207186959
2025-09-14,-0.0011566086,1.119422463
2025-09-15,0.0148336956,1.1360276351
2025-09-16,0.0143012008,1.1522741944
2025-09-17,0.0008895706,1.1532992236
2025-09-18,-0.0093397463,1.1425277015
2025-09-19,-0.0163236327,1.1238774989
2025-09-20,0.8009933643,2.0240959178
2025-09-21,-0.0628121978,1.8969580047
2025-09-22,-0.0784605815,1.7481215766
2025-09-23,-0.0282530831,1.6987317524
2025-09-24,0.0130531456,1.7209055453
2025-09-25,-0.0705209186,1.5995457054
2025-09-26,0.0015646354,1.6020484112
2025-09-27,0.0096276893,1.6174724356
2025-09-28,-0.009025419,1.6028740691
