date,daily_return,equity_twr
2025-07-26,-0.0050990573,0.9949009427
2025-07-27,0.1266526728,1.1209078063
2025-07-28,-0.1849694447,0.9135741118
2025-07-29,-0.0578314106,0.8607408322
2025-07-30,-0.1521694989,0.7297623311
2025-07-31,-0.1096499048,0.649743961
2025-08-01,-0.5695718172,0.2796681124
2025-08-02,-0.1928734535,0.2257275577
2025-08-03,0.4849749558,0.3351997701
2025-08-04,0.7541239867,0.587981957
2025-08-05,-0.334558554,0.3912675637
2025-08-06,0.3846347719,0.5417626738
2025-08-07,0.4054136282,0.761400645
2025-08-08,0.1934784812,0.9087152854
2025-08-09,0.247659188,1.1337669751
2025-08-10,-0.0414250218,1.0868006534
2025-08-11,-0.1847105604,0.8860570957
2025-08-12,0.5945665265,1.4128769854
2025-08-13,0.1714359444,1.6550948857
2025-08-14,-0.1976653382,1.3279399953
2025-08-15,-0.0739268781,1.2297695372
2025-08-16,0.0126974458,1.2453844692
2025-08-17,0.0970544949,1.3662546298
2025-08-18,-0.1572821599,1.1513671507
2025-08-19,-0.2165573899,0.9020300857
2025-08-20,0.2876454412,1.1614949277
2025-08-21,-0.1667842625,0.9677758528
2025-08-22,0.6319167751,1.5793296487
2025-08-23,0.0193943794,1.6099597671
2025-08-24,-0.0464608718,1.5351596328
2025-08-25,-0.3180306399,1.0469318324
2025-08-26,0.3086610795,1.3700789419
2025-08-27,0.0580931135,1.4496710934
2025-08-28,0.1237627558,1.629086383
2025-08-29,-0.1809449309,1.33431146
2025-08-30,-0.0450806044,1.2741598929
2025-08-31,0.157201911,1.474460263
2025-09-01,-0.2360291976,1.1264445902
2025-09-02,0.2038977009,1.3561240523
2025-09-03,0.0810581786,1.466048998
2025-09-04,-0.1285241299,1.2776263261
2025-09-05,0.0018004149,1.2799265836
2025-09-06,-0.0521346704,1.213198033
2025-09-07,0.0925083824,1.3254290206
2025-09-08,0.1488729874,1.5227495985
2025-09-09,0.0248224985,1.5605480481
2025-09-10,0.0894079435,1.7000734398
2025-09-11,0.0748567152,1.8273353531
2025-09-12,0.2258636424,2.2400639719
2025-09-13,-0.0110444763,2.2153236384
2025-09-14,-0.044081663,2.1176684883
2025-09-15,-0.1209125104,1.8616158752
2025-09-16,0.0479810807,1.9509382168
2025-09-17,0.0808237159,2.1086202929
2025-09-18,0.0264680249,2.1644313074
2025-09-19,-0.1264863417,1.8906603094
2025-09-20,0.0135972907,1.9163681673
2025-09-21,-0.0399060275,1.8398935265
2025-09-22,-0.2841253012,1.3171332241
2025-09-23,-0.0594619756,1.2388138805
2025-09-24,-0.0535135574,1.1725205428
2025-09-25,-0.4531295128,0.6412168805
2025-09-26,0.4154613087,0.9076176848
2025-09-27,0.0045648306,0.9117608058
2025-09-28,0.1997872962,1.0939190319
2025-09-29,0.1131202415,1.217663417
2025-09-30,-0.1525621924,1.0318940165
2025-10-01,0.335322009,1.3779107912
2025-10-02,0.2859460436,1.7719189304
2025-10-03,0.0464481457,1.854221279
2025-10-04,-0.0820993857,1.7019908511
2025-10-05,0.0139655235,1.7257600443
2025-10-06,0.0926221921,1.8856037226
2025-10-10,-0.4629601141,1.0126444081
2025-10-11,-0.1441003715,0.8667219727
2025-10-12,-1.0,0.0
2025-10-13,-1.0,0.0
2025-10-14,-0.0584427895,0.0
2025-10-15,-0.0638966055,0.0
2025-10-16,-0.0895880884,0.0
2025-10-17,-0.0110211391,0.0
