date,daily_return,equity_twr
2025-07-11,0.0101189749,1.0101189749
2025-07-12,0.006880324,1.0170689207
2025-07-13,0.0138816129,1.0311874778
2025-07-14,0.0059719668,1.0373456952
2025-07-15,0.0129901313,1.0508209519
2025-07-16,0.0071543032,1.0583388436
2025-07-17,-0.005188364,1.0528477965
2025-07-18,-0.003399779,1.0492683467
2025-07-19,0.0129409828,1.0628469103
2025-07-20,0.0162974083,1.0801685603
2025-07-21,0.0068908274,1.0876118155
2025-07-22,0.0161294421,1.1051543873
2025-07-23,-0.0472675518,1.052916445
2025-07-24,0.0171926556,1.0710188748
2025-07-25,0.0256262211,1.0984650413
2025-07-26,0.0140833942,1.1139351575
2025-07-27,0.0056565753,1.1202362156
2025-07-28,-0.009108096,1.1100329966
2025-07-29,0.0030319245,1.1133985328
2025-07-30,0.0325386446,1.149627012
2025-07-31,-0.027544828,1.1179607337
2025-08-01,0.0243153538,1.1451443445
2025-08-02,0.3363808705,1.5303489959
2025-08-03,0.0285440966,1.5740314255
2025-08-04,0.0097438616,1.5893685698
2025-08-05,-0.012873795,1.5689073647
2025-08-06,0.0171008446,1.5957370057
2025-08-07,0.014532648,1.6189272899
2025-08-08,0.0034928469,1.6245819551
2025-08-09,0.010603658,1.6418084665
2025-08-10,-0.0009631532,1.6402271535
2025-08-11,-0.0157789929,1.6143460209
2025-08-12,0.0187420651,1.6446021991
2025-08-13,0.0106141114,1.66205819
2025-08-14,0.0104793272,1.6794754416
2025-08-15,0.0282777919,1.7269672987
2025-08-16,0.0066803791,1.7385040949
2025-08-17,-0.000800756,1.7371119773
2025-08-18,-0.0044277151,1.7294205404
2025-08-19,-0.0056232792,1.7196955258
2025-08-20,0.0143529672,1.7443782593
2025-08-21,-0.0047484366,1.7360951897
2025-08-22,0.0387512038,1.8033709683
2025-08-23,0.0046944163,1.8118367423
2025-08-24,0.3703121166,2.4827818413
2025-08-25,0.0152412012,2.5206224189
2025-08-26,0.0598207539,2.6714079523
2025-08-27,0.0103944715,2.6991758261
2025-08-28,-0.0159700574,2.6560698332
2025-08-29,-0.0474103103,2.5301447383
2025-08-30,-0.0021385716,2.5247338426
2025-08-31,0.0158366434,2.5647171521
2025-09-01,-0.0299847305,2.4878147995
2025-09-02,0.0389296289,2.5846645064
2025-09-03,0.0052876593,2.5983313318
2025-09-04,-0.0058046569,2.5832489099
2025-09-05,0.0029370742,2.5908361036
2025-09-06,0.0011151183,2.5937251923
2025-09-07,0.0010616445,2.5964788064
2025-09-08,0.010249661,2.623091834
2025-09-09,0.001943321,2.6281893434
2025-09-10,0.0034601621,2.6372833046
2025-09-11,-0.000253353,2.6366151409
2025-09-12,0.0012751043,2.6399771002
2025-09-13,0.0197877178,2.6922162221
2025-09-14,0.0059914745,2.708346567
2025-09-15,-0.0404238434,2.5988647895
2025-09-16,-0.0005844794,2.5973458065
2025-09-17,0.0044253116,2.608839871
2025-09-18,-0.004514738,2.5970616425
2025-09-19,-0.0211568295,2.5421160522
2025-09-20,-0.006793231,2.5248468706
2025-09-21,-0.0112677961,2.4963974109
2025-09-22,-0.0071544825,2.4785369793
2025-09-23,0.0146665573,2.5148885839
2025-09-24,0.0102131591,2.5405735411
2025-09-25,0.0243770113,2.6025051311
2025-09-26,0.0254268531,2.6686786467
2025-09-27,0.005048237,2.682150769
2025-09-28,0.0102560948,2.7096591616
2025-09-29,0.000574423,2.7112156521
2025-09-30,-0.0369301637,2.6110900143
2025-10-01,0.056662375,2.7590405758
2025-10-02,0.0157591618,2.8025207426
2025-10-03,0.0353921446,2.901707962
2025-10-04,-0.0039136373,2.8903517295
2025-10-05,0.0082326384,2.9141469501
2025-10-06,0.0139494591,2.9547977238
2025-10-07,-0.0277613106,2.8727686665
2025-10-08,-0.0005182183,2.8712799452
2025-10-09,-0.0714658459,2.6660814951
2025-10-10,1.0,5.3321629901
2025-10-11,-0.0190718238,5.2304689171
2025-10-12,0.0301956049,5.38840609
2025-10-13,0.0015343841,5.3966739746
2025-10-14,0.0048290895,5.4227349962
2025-10-15,0.0163200286,5.5112341865
2025-10-16,-0.004494885,5.4864618226
2025-10-17,-0.0056454943,5.4554880336
2025-10-18,0.0007893218,5.4597941693
2025-10-19,0.0018652297,5.4699779395
2025-10-20,-0.001315528,5.4627820304
2025-10-21,0.0051413286,5.4908679879
2025-10-22,-0.0018757123,5.4805686992
2025-10-23,0.0108474759,5.5400190361
2025-10-24,-0.0207758409,5.424920482
2025-10-25,0.000394081,5.4270583401
2025-10-26,0.0001564264,5.4279072753
2025-10-27,-0.4101309313,3.2017546095
2025-10-28,0.0047703575,3.2170281236
2025-10-29,0.0089371239,3.2457791025
2025-10-30,-0.0040941754,3.2324903136
2025-10-31,0.0139800918,3.2776808249
2025-11-01,-0.0032536883,3.2670162732
2025-11-02,-0.010444491,3.2328939511
2025-11-03,-0.0107617775,3.1981022657
2025-11-04,0.0101328971,3.2305083069
2025-11-05,0.0232631493,3.3056601039
2025-11-06,0.0026460401,3.3144070131
2025-11-07,0.0198928131,3.3803398924
2025-11-08,-0.0002777076,3.3794011463
2025-11-09,-0.0027789225,3.3700100524
2025-11-10,0.0095794588,3.4022929249
2025-11-11,-0.0025265891,3.3936967287
2025-11-12,0.00175801,3.3996628814
2025-11-13,-9.17266e-05,3.3993510419
2025-11-14,0.0054041821,3.417721754
2025-11-15,-0.0002193151,3.416972196
2025-11-16,0.0002561068,3.4178473058
2025-11-17,0.0053028512,3.4359716415
2025-11-18,0.0170393019,3.4945181996
2025-11-19,0.0179522114,3.5572525291
2025-11-20,0.0051201817,3.5754663084
2025-11-21,0.2518046767,4.4757854462
2025-11-28,-0.0102753958,4.4297949792
2025-11-29,-0.0032265978,4.4155018125
2025-11-30,-0.0533427863,4.1799666429
2025-12-01,-0.0098320535,4.1388689872
2025-12-02,0.026813095,4.2498448746
2025-12-03,0.0108180232,4.295819795
2025-12-04,-0.0012266198,4.2905504574
2025-12-05,-0.0229601525,4.1920387646
2025-12-06,-0.0044370858,4.1734383289
2025-12-07,0.0040188947,4.1902109381
2025-12-08,0.0218498092,4.2817662476
2025-12-09,-0.0063818422,4.2544406911
2025-12-10,0.0068683655,4.2836617448
2025-12-11,0.000933728,4.2876615197
2025-12-12,-0.0007083247,4.2846244631
2025-12-13,0.0011969207,4.2897528188
2025-12-14,-0.0034754583,4.2748439618
2025-12-15,-0.0118693868,4.2241041853
2025-12-16,-0.006790974,4.1954184036
2025-12-17,-0.0287770385,4.0746866867
2025-12-18,-0.0262581893,3.9676927923
2025-12-19,0.0339860236,4.1025388932
2025-12-20,0.0021557933,4.1113831191
2025-12-21,-0.0026245937,4.1005924088
2025-12-22,-0.002430653,4.0906252916
2025-12-23,-0.0028866163,4.0788172259
2025-12-24,0.0103168289,4.1208976854
2025-12-25,0.0003111863,4.1221800523
2025-12-26,0.0040712291,4.1389623917
2025-12-27,0.0101754489,4.181078192
2025-12-28,0.0097473702,4.2218327089
2025-12-29,-0.0043875143,4.2033093576
2025-12-30,0.0416549154,4.3783978533
2025-12-31,-0.0057784054,4.3530976955
2026-01-01,-0.013175787,4.2957422074
2026-01-02,-0.1972143361,3.4485602599
2026-01-03,0.0304887042,3.5537023936
2026-01-04,0.0392335898,3.6931268956
