date,daily_return,equity_twr
2025-07-12,-0.0005639475,0.9994360525
2025-07-13,0.0095883911,1.0090190363
2025-07-14,0.0206292906,1.0298343832
2025-07-15,0.0215287648,1.0520054454
2025-07-16,0.1132063182,1.1710991086
2025-07-17,0.0376656671,1.2152093378
2025-07-18,0.0336944031,1.256155091
2025-07-19,0.0049962102,1.2624311059
2025-07-20,0.0495481669,1.324982253
2025-07-21,0.0058926174,1.3327898665
2025-07-22,-0.0089602727,1.3208477059
2025-07-23,-0.0199372046,1.2945136949
2025-07-24,0.0184674984,1.3184201245
2025-07-25,0.001373715,1.320231258
2025-07-26,0.0047291489,1.3264748282
2025-07-27,0.016250091,1.3480301649
2025-07-28,-0.0117331758,1.33221349
2025-07-29,-0.0016017382,1.3300796327
2025-07-30,-0.0031483217,1.3258921142
2025-07-31,-0.0094333574,1.3133845
2025-08-01,-0.0402311258,1.2605455629
2025-08-02,-0.0166158422,1.2396005368
2025-08-03,0.0115103814,1.2538688117
2025-08-10,0.1413701018,1.4311283733
2025-08-11,-0.0131083563,1.4123686327
2025-08-12,0.0724229816,1.5146565802
2025-08-13,0.0263730082,1.5546026306
2025-08-14,-0.0494687501,1.4776983815
2025-08-15,-0.0181279474,1.450910743
2025-08-16,0.0153745694,1.4732178709
2025-08-17,0.0561754348,1.5559765254
2025-08-18,0.0009043032,1.5573835999
2025-08-19,-0.0677139831,1.4519269531
2025-08-20,0.0630818452,1.5435171844
2025-08-21,-0.0348387258,1.4897430125
2025-08-22,0.0849998043,1.616370877
2025-08-23,-0.0173918092,1.5882592631
2025-08-24,-0.0104053716,1.5717328353
2025-08-25,-0.0273517524,1.5287431879
2025-10-11,-0.2139187781,1.2017163131
2025-10-12,0.078785295,1.2963938874
2025-10-13,0.0321755923,1.3381061286
2025-10-14,-0.0348968856,1.2914103921
2025-10-15,-0.0367227711,1.2439862238
2025-10-16,-0.0221495672,1.2164324674
2025-10-17,-0.0119699122,1.2018718776
2025-10-18,0.0066430298,1.2098559483
2025-10-19,0.0239791998,1.2388673258
2025-10-20,0.016600939,1.2594336867
2025-10-21,-0.0209498374,1.2330487557
2025-10-22,-0.0382684727,1.1858618631
2025-10-23,0.0181898451,1.2074325067
2025-10-24,0.023174297,1.2354139062
2025-10-25,0.0015470675,1.2373251749
2025-11-05,-0.113717365,1.0966198164
2025-11-06,-0.0214840504,1.073059981
2025-11-07,0.0385173985,1.1143914599
2025-11-08,-0.0151763351,1.0974790816
2025-11-09,0.0268412326,1.1269367729
2025-11-10,0.0090816975,1.1371712718
2025-11-11,-0.0331396257,1.0994858415
2025-11-12,-0.0053382608,1.0936164993
2025-11-13,-0.0311854548,1.0595115714
2025-11-14,-0.0137258493,1.0449688753
2025-11-15,-0.0030685354,1.0417623513
2025-11-16,-0.0280977233,1.012491201
2025-11-17,-0.0121286904,1.0002110087
2025-11-18,0.0308705899,1.0310881125
2025-11-19,-0.0422373744,0.9875376579
2025-11-20,-0.022705892,0.9651147345
2025-11-21,-0.0275769454,0.9384998181
2025-11-22,-0.0208759256,0.9189077658
2025-11-28,0.0970384498,1.0080771509
2025-11-29,-0.017730729,0.9902032081
2025-11-30,0.0133179238,1.003390659
2025-12-01,-0.0690392212,0.9341173493
2025-12-02,0.0741039156,1.0033391025
2025-12-03,0.0581073377,1.0616404666
2025-12-04,-0.0014370272,1.0601148604
2025-12-05,-0.0418412123,1.0157583694
2025-12-06,0.0075853723,1.0234632748
2025-12-07,-0.00467687,1.0186766701
2025-12-08,0.026873041,1.0460516101
2025-12-09,0.070750065,1.1200598295
2025-12-10,-0.0050339074,1.114421552
2025-12-11,-0.0258481493,1.0856158173
2025-12-12,-0.0507468076,1.0305242803
2025-12-13,0.0094881328,1.0403020316
2025-12-14,-0.0210949321,1.0183569308
2025-12-15,-0.0443357088,0.9732073545
2025-12-16,0.0099217064,0.9828632321
2025-12-17,-0.04991257,0.9338060023
2025-12-18,-0.0062567863,0.9279633777
2025-12-19,0.0525923211,0.9767671256
2025-12-20,0.0009099048,0.9776558907
2025-12-21,0.0029789254,0.9805682546
2025-12-22,-0.0061475461,0.9745401661
2025-12-23,-0.0017424042,0.9728421232
2025-12-24,-0.011354202,0.9617962772
2025-12-25,-0.0002631936,0.9615431386
2025-12-26,-0.0059769668,0.9557960272
2025-12-27,0.0034482744,0.9590918742
2025-12-28,0.0006117076,0.959678558
2025-12-29,-0.0018020383,0.9579491804
2025-12-30,0.0117491787,0.9692042965
2025-12-31,-0.0010398549,0.9681964647
2026-01-01,0.0097416244,0.977628271
2026-01-02,0.0487271168,1.025265278
2026-01-03,-0.009607882,1.0154146501
2026-01-04,0.0120140427,1.0276138851
