date,daily_return,equity_twr
2025-11-20,0.1909896479,1.1909896479
2025-11-21,0.0064869988,1.1987155963
2025-11-22,-0.0009681942,1.1975550068
2025-11-23,-0.0023302885,1.1947643582
2025-11-24,-0.0063532766,1.1871736897
2025-11-25,-0.0010503449,1.1859267479
2025-11-26,-0.0081507434,1.1762605633
2025-11-27,-0.0001306814,1.1761068479
2025-11-28,0.0002439927,1.1763938094
2025-11-29,0.0025339457,1.1793747274
2025-11-30,3.63291e-05,1.1794175731
2025-12-01,0.0064700131,1.1870484202
2025-12-02,-0.0054319103,1.1806004797
2025-12-03,-0.0037700817,1.1761495194
2025-12-04,0.0040808016,1.1809491522
2025-12-05,0.0069710764,1.189181639
2025-12-06,0.0007272862,1.1900465144
2025-12-07,0.0017211394,1.1920947503
2025-12-08,-0.0013605848,1.1904728043
2025-12-09,0.0008055721,1.191431816
2025-12-10,-0.0014174432,1.1897430291
2025-12-11,0.003730603,1.194181488
2025-12-12,0.0024359097,1.1970904063
2025-12-13,0.0009560738,1.1982349131
2025-12-14,0.0026687874,1.2014327473
2025-12-15,0.003332883,1.2054369821
2025-12-16,-0.000850204,1.2044121147
2025-12-17,0.0066682762,1.2124434674
2025-12-18,0.0016079401,1.2143930038
2025-12-19,-0.0012730176,1.2128470602
2025-12-20,-0.0032909737,1.2088556124
2025-12-21,0.0008273584,1.2098557692
2025-12-22,0.0019377936,1.21220022
2025-12-23,0.0044621415,1.2176092289
2025-12-24,-0.00179234,1.2154268592
2025-12-25,-0.0005697913,1.2147343195
2025-12-26,-0.0015536808,1.2128470101
2025-12-27,-0.0017616463,1.2107104027
2025-12-28,0.0003422308,1.2111247451
2025-12-29,0.0001132623,1.2112619199
2025-12-30,0.0004169555,1.2117669622
2025-12-31,-0.0009681996,1.2105937299
2026-01-01,-0.0033901945,1.2064895817
2026-01-02,-0.0061718754,1.1990432783
2026-01-03,-0.0012847979,1.19750275
2026-01-04,0.0008743437,1.198549779
