date,daily_return,equity_twr
2025-11-15,-0.0399096146,0.9600903854
2025-11-16,0.1564170862,1.110264926
2025-11-17,0.0599094481,1.1767802849
2025-11-18,-0.1124041362,1.0445053135
2025-11-19,0.2439711115,1.2993344358
2025-11-20,0.1016745356,1.4314436612
2025-11-21,0.221609959,1.7486658322
2025-11-22,0.0298109201,1.8007951696
2025-11-23,0.0262672591,1.8480971229
2025-11-24,-0.1745302412,1.5255482863
2025-11-25,-0.1529936835,1.2921490346
2025-11-26,-0.1249080631,1.1307492015
2025-11-27,0.0455834626,1.1822926654
2025-11-28,0.0859359876,1.2838941532
2025-11-29,0.0780028421,1.3840415462
2025-11-30,0.0267453549,1.4210582285
2025-12-01,0.2229801397,1.7379259908
2025-12-02,-0.1091675037,1.5482009488
2025-12-03,-3.59733e-05,1.5481452549
2025-12-04,-0.0354132287,1.4933204329
2025-12-05,-0.0171368165,1.4677296747
2025-12-06,0.0105626663,1.4832328135
2025-12-07,0.110905,1.6477307486
2025-12-08,-0.076748712,1.5212695359
2025-12-09,-0.1928329149,1.227918697
2025-12-10,0.0324339215,1.2677449156
2025-12-11,0.1250030966,1.4262169558
2025-12-12,0.1982716103,1.7089952882
2025-12-13,-0.0211753438,1.6728067254
2025-12-14,0.1060490802,1.85020634
2025-12-15,0.2420154893,2.2979849327
2025-12-16,-0.0451793836,2.1941633899
2025-12-17,0.2325902155,2.7045043256
2025-12-18,-0.0149579963,2.6640503599
2025-12-19,-0.0631848473,2.4957227447
2025-12-20,-0.0109841528,2.4683093448
2025-12-21,0.0023242626,2.4740463439
2025-12-22,-0.020256909,2.4239298122
2025-12-23,0.0200952501,2.472639288
2025-12-24,-0.0253014989,2.4100778078
2025-12-25,-0.0122044124,2.3806642243
2025-12-26,-0.0254085337,2.3201750371
2025-12-27,-0.0232666487,2.2661923396
2025-12-28,-0.0025098898,2.2605044466
2025-12-29,0.0009504526,2.2626529489
2025-12-30,-0.0138165904,2.2313907999
2025-12-31,-0.0183736139,2.1903920869
2026-01-01,-0.0172070335,2.1527019369
2026-01-02,-0.1907348532,1.742106649
2026-01-03,0.0337643163,1.8009276889
2026-01-04,-0.0208636732,1.7633537221
