date,daily_return,equity_twr
2025-10-03,1.0,2.0
2025-10-04,0.0178406343,2.0356812686
2025-10-05,0.0320158328,2.1008552997
2025-10-06,0.0020187439,2.1050963886
2025-10-07,0.0613668202,2.2342794601
2025-10-08,0.0039887094,2.2431913516
2025-10-09,0.0408010061,2.3347158156
2025-10-10,0.485636941,3.4685400624
2025-10-11,0.0164719793,3.5256737826
2025-10-12,-0.0124786163,3.4816782522
2025-10-13,0.0031266837,3.4925643589
2025-10-14,0.0104655322,3.5291159036
2025-10-15,0.0032766565,3.5406796042
2025-10-16,0.0083243394,3.5701534229
2025-10-17,0.0228426222,3.6517050888
2025-10-18,0.0166056115,3.7123438848
2025-10-19,-0.0597166627,3.4906550972
2025-10-20,0.0873505729,3.7955658197
2025-10-21,0.0277747319,3.9009866428
2025-10-22,0.0,3.9009866428
2025-10-23,0.0084391499,3.9339076538
2025-10-24,0.0137858553,3.9881399355
2025-10-25,-0.0074134116,3.9585742126
2025-10-26,-0.0805528941,3.6396996033
2025-10-27,-0.1896032523,2.9496007211
2025-10-28,0.0015198715,2.9540837352
2025-10-29,-0.0168387701,2.9043405983
2025-10-30,0.0513300015,3.0534204056
2025-10-31,0.0019447256,3.0593584704
2025-11-01,0.0070929811,3.0810584422
2025-11-02,0.0049377537,3.0962719499
2025-11-03,0.004482033,3.110149543
2025-11-04,0.0068893293,3.1315763874
2025-11-05,0.0082084412,3.157281748
2025-11-06,0.0074521262,3.18081021
2025-11-07,-0.007622683,3.1565639021
2025-11-08,0.0272735721,3.2426546753
2025-11-09,0.0010254493,3.2459798533
2025-11-10,0.0150765006,3.2949178705
2025-11-11,0.0619774482,3.4991284721
2025-11-12,-0.0167056628,3.4406732118
2025-11-13,0.0496663734,3.6115589722
2025-11-14,-0.0081139488,3.5822549677
2025-11-15,0.0034399367,3.594577698
2025-11-16,0.0171925731,3.6563777378
2025-11-17,0.0197778127,3.7286928919
2025-11-18,4.15772e-05,3.7288479205
2025-11-19,0.0049510189,3.747309517
2025-11-20,0.0214466716,3.8276768336
2025-11-21,-0.0253696781,3.7305699045
2025-11-22,0.0284186938,3.8365878283
2025-11-23,0.0015689264,3.8426071522
2025-11-24,-0.0010529699,3.8385610026
2025-11-25,0.0078251737,3.8685984092
2025-11-26,0.0016784112,3.8750915081
2025-11-27,0.0021826581,3.8835495079
2025-11-28,0.0017735178,3.8904370521
2025-11-29,1.98178e-05,3.890514152
2025-11-30,-1.55277e-05,3.8904537413
2025-12-01,9.68257e-05,3.8908304372
2025-12-02,-0.0252794624,3.7924723354
2025-12-03,-0.0733423609,3.5143234607
2025-12-04,-0.0568996294,3.3143597582
2025-12-05,0.0014992344,3.3193287604
2025-12-06,-0.000137052,3.3188738397
2025-12-07,8.75875e-05,3.3191645316
2025-12-08,-0.0007344253,3.3167268532
2025-12-09,-0.0009340915,3.3136287268
2025-12-10,0.000291117,3.3145933805
2025-12-11,-0.0001173412,3.3142044421
2025-12-12,0.0010209142,3.3175879605
2025-12-13,0.000119198,3.3179834103
2025-12-14,0.0009192872,3.32103359
2025-12-15,0.0012532464,3.3251956634
2025-12-16,-0.001073192,3.32162709
2025-12-17,0.0007859416,3.3242376949
2025-12-18,0.0004628468,3.3257763077
2025-12-19,-0.0013641766,3.3212393615
2025-12-20,-8.59323e-05,3.3209539597
2025-12-21,3.09215e-05,3.3210566486
2025-12-22,-0.0001206745,3.3206558818
2025-12-23,0.0003613162,3.3218556885
2025-12-24,1.08526e-05,3.3218917393
2025-12-25,-8.9943e-05,3.3215929584
2025-12-26,0.0002803625,3.3225242085
2025-12-27,-9.32436e-05,3.3222144044
2025-12-28,-0.0007668467,3.3196667752
2025-12-29,-0.0004931104,3.318029813
2025-12-30,9.72979e-05,3.3183526504
2025-12-31,0.001992928,3.3249658883
2026-01-01,-0.0014853211,3.3200272463
2026-01-02,-0.0086966848,3.2911540158
2026-01-03,-0.0034453722,3.2798147652
2026-01-04,-0.0680670934,3.0565673073
