date,daily_return,equity_twr
2025-07-11,0.0195711788,1.0195711788
2025-07-12,0.0095938275,1.0293527688
2025-07-13,-0.0123278396,1.016663073
2025-07-14,-0.0621362699,0.9534914219
2025-07-15,0.0511432639,1.0022560853
2025-07-16,-0.0732655705,0.9288252214
2025-07-17,-0.0079373771,0.9214527854
2025-07-18,-0.0474518237,0.8777281703
2025-07-19,-0.0212960122,0.8590360604
2025-07-20,-0.0223011295,0.839878586
2025-07-21,-0.0473909898,0.8000759085
2025-07-22,-0.0146412174,0.7883618232
2025-07-23,0.0772808402,0.8492870873
2025-07-24,0.0458500404,0.8882269345
2025-07-25,-0.0069620998,0.88204301
2025-07-26,-0.003853794,0.8786437979
2025-07-27,-0.0305894598,0.8517665588
2025-07-28,0.1048305676,0.9410577306
2025-07-29,0.0249372842,0.9645251547
2025-07-30,0.0353181883,0.9985904357
2025-07-31,0.0346990955,1.0332406206
2025-08-01,0.0490102958,1.0838800491
2025-08-02,0.0059545212,1.0903340358
2025-08-03,-0.0222143018,1.0661130264
2025-08-04,-0.0655634567,0.9962149712
2025-08-05,0.0250494978,1.0211696559
2025-09-05,0.084798541,1.1077633529
2025-09-06,0.0099303487,1.1187638292
2025-09-07,-0.0070360541,1.1108921464
2025-09-08,-0.0271594685,1.0807209062
2025-09-09,-0.0008184721,1.0798363662
2025-09-10,-0.0180483039,1.0603471513
2025-09-11,-0.0152045258,1.0442250757
2025-09-12,-0.0160295362,1.0274866321
2025-09-13,-0.0017628773,1.0256752992
2025-09-14,0.0458085445,1.0726599918
2025-09-15,0.0312309022,1.1061601311
2025-09-16,-0.0140914991,1.0905726766
2025-09-17,-0.0188730486,1.0699902455
2025-09-18,-0.0185356295,1.0501573027
2025-09-19,0.0219558545,1.0732144037
2025-10-17,0.3892266037,1.490938001
2025-10-18,0.0005215656,1.491715623
2025-10-19,-0.0029557232,1.4873065245
2025-10-20,-0.0025593816,1.4834999396
2025-10-21,0.0078139185,1.4950918872
2025-10-22,0.0098767944,1.5098586024
2025-10-23,-0.0055503701,1.5014783283
2025-10-24,-0.0041328934,1.4952728785
2025-10-25,-0.0005661373,1.4944263487
2025-10-26,-0.004172226,1.4881912643
2025-10-27,0.0108019913,1.5042666933
2025-10-28,0.0327206857,1.553487331
2025-10-29,-0.0431951076,1.4863842786
2025-10-30,0.0554642665,1.5688254924
2025-10-31,-0.0472848049,1.494643885
2025-11-01,-0.018781298,1.4665725328
2025-11-02,0.0072784861,1.4772469606
2025-11-03,0.0297444031,1.5211867897
2025-11-04,-0.0002316862,1.5208343517
2025-11-05,-0.0616020351,1.4271478606
2025-11-06,-0.0057670963,1.4189173614
2025-11-07,-0.0791093079,1.306667791
2025-11-08,0.0362147861,1.3539884856
2025-11-09,-0.0176668781,1.330067736
2025-11-10,0.0910353621,1.451150934
2025-11-11,0.0651086866,1.5456334654
2025-11-12,-0.0254158647,1.5063498543
2025-11-13,-0.0099883066,1.4913039702
2025-11-14,-0.0598469365,1.4020539962
2025-11-15,-0.0034604909,1.3972022011
2025-11-16,0.0179094541,1.4222253297
2025-11-17,0.000170906,1.4224683966
2025-11-18,-0.0885302118,1.2965369682
2025-11-19,-0.0299732451,1.2576755478
2025-11-20,-0.0257822748,1.2252498112
2025-11-22,0.1658723857,1.4284849205
2025-11-28,0.1840026698,1.6913299597
2025-11-29,0.0139936234,1.7149977942
2025-11-30,0.0324811126,1.7707028306
2025-12-01,0.1501314334,2.0365409847
2025-12-02,-0.001017839,2.0344681139
2025-12-03,0.0004998033,2.0354849477
2025-12-04,-0.0025569327,2.0302803497
2025-12-05,0.0003405411,2.0309717436
2025-12-06,-0.0001586126,2.0306496059
2025-12-07,0.0009581233,2.0325952186
2025-12-08,-0.0042131106,2.0240316702
2025-12-09,0.0042352026,2.0326038544
2025-12-10,0.0014341741,2.0355189622
2025-12-11,-0.0008534161,2.0337818175
2025-12-12,-0.001007539,2.031732703
2025-12-13,0.0017880473,2.0353655372
2025-12-14,0.0011994263,2.0378068081
2025-12-15,0.0023182892,2.0425310336
2025-12-16,-0.0025752659,2.0372709731
2025-12-17,0.0060050718,2.0495049316
2025-12-18,0.0082604948,2.0664348564
2025-12-19,-0.005177114,2.0557366876
2025-12-20,-0.001008479,2.0536635203
2025-12-21,-3.51329e-05,2.0535913692
2025-12-22,0.0001226457,2.0538432333
2025-12-23,0.001624164,2.0571790116
2025-12-24,-0.0010958634,2.0549246244
2025-12-25,-0.0012054137,2.0524475901
2025-12-26,-0.0001736143,2.0520912558
2025-12-27,-0.0018616333,2.0482710144
2025-12-28,0.0006267144,2.0495546953
2025-12-29,0.0025552977,2.0547919177
2025-12-30,0.0001444656,2.0550887645
2025-12-31,-0.0020559128,2.0508636812
2026-01-01,-0.0075903903,2.0352968254
2026-01-02,0.0181309332,2.0721986562
2026-01-03,-0.013623768,2.0439675024
2026-01-04,-0.0041267432,2.0355325735
