date,daily_return,equity_twr
2025-11-10,-0.001108206,0.998891794
2025-11-11,0.0111327078,1.0100121645
2025-11-12,0.0322222284,1.0425570071
2025-11-13,-0.0040770728,1.0383064263
2025-11-14,-0.0206783177,1.0168359961
2025-11-15,0.0156414727,1.0327408086
2025-11-16,0.0119278129,1.0450591478
2025-11-17,0.0305916999,1.0770292836
2025-11-18,0.0560789824,1.1374279898
2025-11-19,-0.0376799436,1.0945697673
2025-11-20,0.025070885,1.1220116001
2025-11-21,0.0197097283,1.1441261439
2025-11-22,0.0291980314,1.1775323749
2025-11-23,-0.0838875239,1.0787520997
2025-11-24,0.0196595937,1.0999599277
2025-11-25,0.0324304842,1.1356321607
2025-11-26,-0.0227565001,1.1097891474
2025-11-27,0.0036206708,1.1138073285
2025-11-28,0.0282873968,1.1453140384
2025-11-29,0.0104789035,1.1573156737
2025-11-30,0.0300386724,1.1920799
2025-12-01,-0.0133133575,1.1762093142
2025-12-02,-0.0066736065,1.168359756
2025-12-03,0.0582526548,1.2364198136
2025-12-04,-0.0208959638,1.2105836299
2025-12-05,0.0221959652,1.237453702
2025-12-06,-0.0390867413,1.1890856693
2025-12-07,0.0207604222,1.2137715899
2025-12-08,0.0074957933,1.2228697708
2025-12-09,-0.0100861374,1.2105357383
2025-12-10,0.0039975619,1.2153749298
2025-12-11,0.0060507168,1.2227288193
2025-12-12,-0.0052273308,1.2163372113
2025-12-13,-0.0003997103,1.2158510288
2025-12-14,0.0041727307,1.2209244477
2025-12-15,0.0126453507,1.2363634655
2025-12-16,-0.005863297,1.2291142993
2025-12-17,0.036711914,1.2742374378
2025-12-18,0.0603004267,1.351074499
2025-12-19,0.0228908246,1.3820017084
2025-12-20,-0.0176810964,1.3575664029
2025-12-21,-0.0152235334,1.3368994455
2025-12-22,-0.0077446391,1.3265456418
2025-12-23,0.1138576092,1.477582957
2025-12-24,-0.0055416999,1.4693946357
2025-12-25,-0.0065237783,1.4598086309
2025-12-26,-0.0002668671,1.459419056
2025-12-27,-0.0033713436,1.4544988529
2025-12-28,0.0011962508,1.4562387983
2025-12-29,0.0066895611,1.4659803967
2025-12-30,0.0010244222,1.4674821796
2025-12-31,0.0033888725,1.4724552896
2026-01-01,0.0070646665,1.4828576951
2026-01-02,-0.0090154969,1.4694889962
2026-01-03,-0.0061858413,1.4603989704
2026-01-04,0.0172558438,1.485599387
