date,daily_return,equity_twr
2025-07-11,0.0,1.0
2025-07-12,0.0,1.0
2025-07-13,0.0,1.0
2025-07-15,0.0046283551,1.0046283551
2025-07-16,0.017393922,1.0221027823
2025-07-17,0.0105279564,1.0328634359
2025-07-18,-0.0400691693,0.991477456
2025-07-19,-0.0097782922,0.9817824997
2025-07-20,-0.0384790015,0.9440044894
2025-07-21,-0.0269556229,0.9185582604
2025-07-22,0.0620357548,0.9755417154
2025-07-23,0.0520741351,1.0263422065
2025-07-24,0.0396074666,1.0669930212
2025-07-25,0.0561912787,1.1269487234
2025-07-26,-0.0099753683,1.1157069948
2025-07-27,-0.032319272,1.079648157
2025-07-28,-0.0459659028,1.0300211547
2025-07-29,0.0932855364,1.1261072307
2025-07-30,-0.0183546967,1.105437874
2025-07-31,0.0172403898,1.1244960538
2025-08-01,0.0608849488,1.1929609385
2025-08-02,0.0205800906,1.2175121827
2025-08-03,0.0452248732,1.2725740168
2025-08-04,0.0173823642,1.2946943618
2025-08-05,0.0196713769,1.3201627826
2025-08-06,0.0149952071,1.3399588969
2025-08-07,-0.0069382205,1.3306619666
2025-08-08,-0.028818568,1.2923141943
2025-08-09,-0.0416897161,1.2384379824
2025-08-10,-0.0086295486,1.2277508216
2025-08-11,-0.0094469114,1.2161523684
2025-08-12,-0.0899580138,1.1067497169
2025-08-13,-0.0398972021,1.0625934997
2025-08-14,0.1189178815,1.1889548676
2025-08-15,0.0310519385,1.225874221
2025-08-16,0.0055079554,1.2326262816
2025-08-17,-0.0356852851,1.1886396613
2025-08-18,0.0499180036,1.2479741802
2025-08-19,0.0752543193,1.3418896276
2025-08-20,-0.0612759888,1.2596640138
2025-08-21,0.0277390798,1.2946059344
2025-08-22,-0.1693585018,1.075353413
2025-08-23,0.0341950297,1.1121251548
2025-08-24,-0.0029398245,1.1088557021
2025-08-25,0.1141033263,1.2353798261
2025-08-26,-0.0485719621,1.175375004
2025-08-27,0.0584292231,1.2440512523
2025-08-28,0.004918966,1.2501706981
2025-08-29,0.0390139977,1.2989448549
2025-08-30,0.0056662912,1.3063050547
2025-08-31,-0.0468734006,1.2450740945
2025-09-01,0.0658202236,1.3270251498
2025-09-02,-0.005574132,1.3196281365
2025-09-03,-0.0512689256,1.2519722197
2025-09-04,0.051982996,1.3170534866
2025-09-05,-0.0158455714,1.2961840216
2025-09-06,-0.0047585812,1.2900160246
2025-09-07,-0.0035998563,1.2853721523
2025-09-08,0.036687311,1.3325290002
2025-09-09,-0.164731052,1.1130200962
2025-09-10,0.0475305816,1.1659225887
2025-09-11,0.0564837968,1.2317783233
2025-09-12,-0.0915942533,1.1189545075
2025-09-13,-0.007335111,1.110746852
2025-09-14,0.0380694958,1.1530324246
2025-09-15,0.0653545931,1.2283883896
2025-09-16,0.0368174978,1.2736145764
2025-09-17,-0.0206676002,1.2472920195
2025-09-18,-0.0204890376,1.2217362065
2025-09-19,0.0129183682,1.2375190446
2025-09-20,-0.0473426036,1.178931671
2025-09-21,-0.1749063554,0.9727290292
2025-09-22,0.1183371769,1.0878390364
2025-09-23,0.2472308722,1.3567864302
2025-09-24,0.0123906463,1.3735978909
2025-09-25,0.1068903416,1.5204222387
2025-09-26,-0.0227169139,1.4858829376
2025-09-27,-0.0055971371,1.4775662471
2025-09-28,-0.0120428768,1.4597720988
2025-09-29,-0.0269499534,1.4204313088
2025-09-30,0.0031165178,1.4248581083
2025-10-01,-0.0113110235,1.4087415047
2025-10-02,-0.042415385,1.3489891914
2025-10-03,0.0045135588,1.3550779335
2025-10-04,-0.0085308162,1.3435180127
2025-10-05,-0.0076248589,1.3332738774
2025-10-06,-0.0422975013,1.2768797238
2025-10-07,0.0194570417,1.3017240259
2025-10-08,0.022314657,1.330771551
2025-10-09,0.0165482466,1.3527934868
2025-10-10,0.4092771303,1.906460923
2025-10-11,0.0006594872,1.9077182095
2025-10-12,0.2369223619,2.3596993136
2025-10-13,0.1070760588,2.612366616
2025-10-14,-0.0323435498,2.5278734063
2025-10-15,-0.0045268394,2.5164301294
2025-10-16,-0.0154673671,2.4775075808
2025-10-17,0.00445803,2.4885523839
2025-10-18,-0.0010318592,2.4859845482
2025-10-19,0.0343681334,2.5714231968
2025-10-20,0.0092630369,2.5952423848
2025-10-21,3.56338e-05,2.5953348631
2025-10-22,-0.0243104255,2.5322411683
2025-10-23,0.057734798,2.6784396006
2025-10-24,0.0083744472,2.7008700516
2025-10-25,-0.0011440787,2.6977800437
2025-10-26,0.0139522718,2.7354202042
2025-10-27,-0.0042373479,2.7238292771
2025-10-28,0.0003882217,2.7248867267
2025-10-29,0.0202816413,2.7801519019
2025-10-30,-0.0262978732,2.7070398197
2025-10-31,0.0200476253,2.7613095397
2025-11-01,0.0020337998,2.7669254905
2025-11-02,-0.0077238679,2.7455541235
2025-11-03,-0.0255094888,2.6755164413
2025-11-04,-0.0434054956,2.5593843242
2025-11-05,0.0737391875,2.7481112448
2025-11-06,-0.0380318289,2.6435955481
2025-11-07,0.0577292909,2.7962084445
2025-11-08,-0.0224047395,2.7335601228
2025-11-09,0.0180157113,2.7828071527
2025-11-10,0.0155308188,2.8260264264
2025-11-11,-0.0377843697,2.7192467991
2025-11-12,-0.0127957827,2.684451908
2025-11-13,-0.0179399306,2.636293027
2025-11-14,-0.0278352494,2.5629111531
2025-11-15,0.0031293189,2.5709313194
2025-11-16,-0.0189418486,2.5222331276
2025-11-17,-0.0200885376,2.4715651526
2025-11-18,0.027700178,2.5400279473
2025-11-19,-0.0360630336,2.4484268341
2025-11-20,-0.0419170079,2.3457961071
2025-11-21,-0.0552453654,2.216201744
2025-11-28,0.1084740343,2.456602088
2025-11-29,-0.011280186,2.4288911596
2025-11-30,-0.0053072965,2.416000314
2025-12-01,-0.0862417505,2.2076402177
2025-12-02,0.0752342783,2.3737304362
2025-12-03,0.0415499891,2.47235891
2025-12-04,-0.0062271729,2.4569631036
2025-12-05,-0.0605374726,2.308224767
2025-12-06,0.012305406,2.3366284099
2025-12-07,-0.0041109548,2.3270226361
2025-12-08,0.0141483545,2.3599461773
2025-12-09,0.0266801504,2.4229098963
2025-12-10,-0.0113271748,2.3954651724
2025-12-11,0.0014191238,2.398864634
2025-12-12,-0.0480367919,2.2836308728
2025-12-13,0.0025754057,2.2895121487
2025-12-14,-0.0403375806,2.1971587679
2025-12-15,-0.0407678152,2.1075854053
2025-12-16,0.0280039968,2.1666062202
2025-12-17,-0.0416598184,2.0763457986
2025-12-18,-0.0281396145,2.0179182282
2025-12-19,0.1003609937,2.2204385068
2025-12-20,0.0100403084,2.2427323942
2025-12-21,0.0145650367,2.2753978738
2025-12-22,-0.0270746286,2.2137923215
2025-12-23,-0.0255224682,2.1572908774
2025-12-24,-0.0024091133,2.1520937192
2025-12-25,0.0343652967,2.2260510584
2025-12-26,-0.003012048,2.2193460858
2025-12-27,0.0133680037,2.2490143124
2025-12-28,-0.018282744,2.2078961595
2025-12-29,-0.0154928949,2.1736894564
2025-12-30,0.0152701116,2.2068819369
2025-12-31,-0.0176123983,2.1680134533
2026-01-01,0.0492721561,2.2748361506
2026-01-02,0.0445644213,2.3762129072
2026-01-03,-0.0007254706,2.3744890346
2026-01-04,0.0161613468,2.4128639753
