date,daily_return,equity_twr
2025-11-26,0.0,1.0
2025-11-27,0.0,1.0
2025-11-28,0.0,1.0
2025-11-29,0.0,1.0
2025-11-30,0.0,1.0
2025-12-01,0.0,1.0
2025-12-02,0.0,1.0
2025-12-03,0.0,1.0
2025-12-04,0.1427817557,1.1427817557
2025-12-05,-0.0006372539,1.1420535136
2025-12-06,0.0002547762,1.1423444816
2025-12-07,0.0008161863,1.1432768475
2025-12-08,0.0015102114,1.1450034373
2025-12-09,0.0035232657,1.1490375886
2025-12-10,-0.0001558102,1.1488585568
2025-12-11,-0.0001608427,1.1486737713
2025-12-12,-0.0049193393,1.1430230553
2025-12-13,-0.000445421,1.1425139288
2025-12-14,-0.0048673131,1.1369529558
2025-12-15,-0.0063438734,1.1297402702
2025-12-16,0.0065052272,1.1370894873
2025-12-17,-0.0052031045,1.1311730919
2025-12-18,-0.0017562354,1.1291864857
2025-12-19,0.0093055424,1.1396941784
2025-12-20,-0.0003095095,1.1393414322
2025-12-21,0.00037839,1.1397725476
2025-12-22,0.0004313327,1.1402641688
2025-12-23,-0.0009307952,1.1392028164
2025-12-24,-0.0003288586,1.1388281797
2025-12-25,-0.0004388567,1.1383283974
2025-12-26,-0.0009806133,1.1372121374
2025-12-27,0.0002308381,1.1374746493
2025-12-28,0.000612682,1.1381715595
2025-12-29,-0.0002683785,1.1378660987
2025-12-30,0.0012807095,1.1393233747
2025-12-31,-0.0004928726,1.1387618334
2026-01-01,0.0008962111,1.1397824044
2026-01-02,0.0034011978,1.1436590298
2026-01-03,0.0008252781,1.1446028665
2026-01-04,0.0015639392,1.1463929558
