date,daily_return,equity_twr
2025-07-12,0.009528673,1.009528673
2025-07-13,-0.0041657234,1.0053232558
2025-07-14,0.0127653569,1.0181565659
2025-07-15,0.0205831678,1.0391134534
2025-07-16,0.0947301205,1.137548796
2025-07-17,0.0303154431,1.1720340918
2025-07-18,0.026066295,1.2025846782
2025-07-19,0.0026516987,1.2057735705
2025-07-20,0.0388323294,1.2525965669
2025-07-21,0.0093618052,1.264323132
2025-07-22,-0.0138689958,1.2467882398
2025-07-23,-0.0303585899,1.2089375069
2025-07-24,0.0295957227,1.2447168861
2025-07-25,0.001869515,1.247043903
2025-07-26,0.0073995175,1.2562714262
2025-07-27,0.0245614607,1.2871272875
2025-08-01,-0.0601969633,1.2096461334
2025-08-03,-0.0671782446,1.1283842295
2025-08-04,0.0,1.1283842295
2025-08-05,-0.036999069,1.0866350636
2025-08-06,0.0067508042,1.0939707241
2025-08-07,0.0,1.0939707241
2025-08-08,0.0,1.0939707241
2025-08-09,0.0746842922,1.1756731534
2025-08-10,-0.0202675339,1.1518451579
2025-08-11,-0.0064276586,1.1444414904
2025-08-12,0.08912524,1.2464401129
2025-08-13,0.0345147297,1.2894606565
2025-08-14,-0.0482123018,1.2272927902
2025-08-15,-0.022076254,1.2001987628
2025-08-16,-0.000233531,1.1999184792
2025-08-17,0.0197368364,1.2236010739
2025-08-18,-0.028588213,1.1886205058
2025-08-19,-0.055568162,1.122571049
2025-08-20,-0.0797692343,1.0330244159
2025-08-21,0.0054367794,1.0386407418
2025-08-22,0.0,1.0386407418
2025-08-23,-0.0152266001,1.0228257746
2025-08-24,0.0041797902,1.0271009717
2025-08-25,0.0,1.0271009717
2025-08-26,0.0,1.0271009717
2025-08-27,0.0,1.0271009717
2025-08-28,0.0,1.0271009717
2025-08-29,0.0,1.0271009717
2025-08-30,0.0003201967,1.0274298461
2025-08-31,-0.0047267799,1.0225734113
2025-09-01,0.0276817227,1.0508800049
2025-09-02,-0.0100065969,1.0403642723
2025-09-03,0.0314261919,1.0730589596
2025-09-04,-0.0032517436,1.069569647
2025-09-05,0.0,1.069569647
2025-09-06,0.0,1.069569647
2025-09-07,-0.0076116235,1.0614284855
2025-09-08,-0.0003999563,1.0610039605
2025-09-09,0.0,1.0610039605
2025-09-10,0.0,1.0610039605
2025-09-11,0.0,1.0610039605
2025-09-12,0.0554479811,1.1198344881
2025-09-13,-0.0006875396,1.1190645575
2025-09-14,-0.0108249259,1.1069507666
2025-09-15,-0.0033461054,1.1032467927
2025-09-16,0.0,1.1032467927
