date,daily_return,equity_twr
2025-12-18,1.0,2.0
2025-12-19,-0.2160743866,1.5678512268
2025-12-20,-0.0218512554,1.5335917092
2025-12-21,-0.0640121589,1.435423193
2025-12-22,0.1860374956,1.702465729
2025-12-23,0.0769551241,1.8334791904
2025-12-24,-0.0021551687,1.8295277335
2025-12-25,-0.0132071468,1.8053648921
2025-12-26,0.0829725956,1.9551607032
2025-12-27,-0.0444217019,1.8683091373
2025-12-28,-0.0587447003,1.758555877
2025-12-29,1.0,3.5171117539
2025-12-30,0.0031279469,3.5281130928
2025-12-31,-0.004021886,3.5139234241
2026-01-01,-0.0422996768,3.365285599
2026-01-02,0.019582938,3.4311877782
2026-01-03,0.0625609255,3.6458460612
2026-01-04,0.0521710137,3.836053546
