date,daily_return,equity_twr
2025-08-02,0.0028735436,1.0028735436
2025-08-03,0.0224506789,1.0253887355
2025-08-04,0.0149401808,1.0407082286
2025-08-05,-0.0211964715,1.0186488863
2025-08-06,0.0187351154,1.0377333907
2025-08-07,0.0365765003,1.0756900464
2025-08-08,-0.0082347089,1.066832052
2025-08-09,-0.0052621179,1.061218256
2025-08-10,0.0364227055,1.099870696
2025-08-11,-0.00382676,1.0956617548
2025-08-12,0.0105128976,1.1071803346
2025-08-13,0.0303717085,1.140807293
2025-08-14,-0.0643017459,1.0674513923
2025-08-15,0.0009858253,1.0685037129
2025-08-16,-0.0002451004,1.0682418222
2025-08-17,0.0132807348,1.0824288586
2025-08-18,-0.0182822732,1.0626395985
2025-08-19,-0.0540816489,1.0051702968
2025-08-20,0.051821724,1.0572599545
2025-08-21,-0.0204638496,1.0356243458
2025-08-22,0.1306391788,1.1709174599
2025-08-23,-0.0151142668,1.153219901
2025-08-24,0.0001314974,1.1533715464
2025-08-25,-0.0709036805,1.0715932588
2025-08-26,0.0341391189,1.1081765085
2025-08-27,0.0,1.1081765085
2025-08-28,0.0059131724,1.1147293472
2025-08-29,0.0012220371,1.1160915878
2025-08-30,0.0154830475,1.1333720869
2025-08-31,0.0211223133,1.1573115272
2025-09-01,-0.0319989823,1.1202787361
2025-09-02,0.0073649057,1.1285294834
2025-09-03,0.0288681372,1.1611080273
2025-09-04,0.0037093451,1.1654149777
2025-09-05,-0.0037387085,1.1610578308
2025-09-06,-0.0049454411,1.1553158877
2025-09-07,0.0051772879,1.1612972907
2025-09-08,0.0040750688,1.166029657
2025-09-09,-0.0012480534,1.1645743897
2025-09-10,0.0038976331,1.1691134734
2025-09-11,0.0,1.1691134734
2025-09-12,0.0006777595,1.1699058512
2025-09-13,0.0,1.1699058512
2025-09-14,0.0,1.1699058512
2025-09-15,0.0,1.1699058512
2025-09-16,-0.0002374401,1.1696280686
2025-09-17,0.0012250767,1.1710609527
2025-09-18,0.0,1.1710609527
2025-09-19,0.0,1.1710609527
2025-09-20,0.0,1.1710609527
2025-09-21,-0.0026999674,1.1678991263
2025-09-22,-0.0182127346,1.1466284895
2025-09-23,-0.0025952678,1.1436526815
2025-09-24,-0.0025739966,1.1407089234
2025-09-25,-0.0317075055,1.1045398889
2025-09-26,0.0152858463,1.1214237159
2025-09-27,-0.0004172856,1.1209557619
2025-09-28,0.010362025,1.1325711336
2025-09-29,0.0151984041,1.1497844073
2025-09-30,-0.002768344,1.1466014086
2025-10-01,0.0,1.1466014086
2025-10-02,0.0,1.1466014086
2025-10-03,0.0,1.1466014086
2025-10-04,0.0,1.1466014086
2025-10-05,0.0,1.1466014086
2025-10-06,0.0,1.1466014086
2025-10-07,0.0,1.1466014086
2025-10-08,0.0,1.1466014086
2025-10-09,0.0,1.1466014086
2025-10-10,-0.0429019373,1.0974099868
2025-10-11,-0.0247232485,1.070278447
2025-10-12,0.0795292488,1.1553968879
2025-10-13,0.0,1.1553968879
2025-10-14,0.0005646014,1.1560492266
2025-10-15,0.0,1.1560492266
2025-10-16,0.0,1.1560492266
2025-10-17,0.0,1.1560492266
2025-10-18,0.0,1.1560492266
2025-10-19,0.0,1.1560492266
2025-10-20,0.0,1.1560492266
2025-10-21,0.0,1.1560492266
2025-10-22,0.0,1.1560492266
2025-10-23,0.0,1.1560492266
2025-10-24,0.0,1.1560492266
2025-10-25,0.0,1.1560492266
2025-10-26,0.0,1.1560492266
2025-10-27,0.0,1.1560492266
2025-10-28,0.0,1.1560492266
2025-10-30,0.0,1.1560492266
2025-10-31,0.0,1.1560492266
2025-11-01,0.0,1.1560492266
2025-11-02,0.0,1.1560492266
2025-11-03,-0.0049834718,1.1502880879
2025-11-04,-0.0259716238,1.1204132384
2025-11-05,0.0283632961,1.1521918508
2025-11-06,-0.0203823648,1.1287074562
2025-11-07,0.0278896493,1.1601867113
2025-11-08,-0.0100849211,1.1484863199
2025-11-09,0.0305052747,1.1835212106
2025-11-10,0.0027953337,1.1868295473
2025-11-11,-0.0019562514,1.1845078103
2025-11-12,-0.0022905731,1.1817946086
2025-11-13,0.0097250651,1.1932876381
2025-11-14,-0.0023539909,1.1904786499
2025-11-15,-0.0005126386,1.1898683646
2025-11-16,-0.012334328,1.1751921379
2025-11-17,-0.0072110187,1.1667178054
2025-11-18,0.0139844041,1.1830336586
2025-11-19,-0.0193341476,1.1601607113
2025-11-20,-0.0140890063,1.1438151997
2025-11-21,-0.0097674179,1.1326430787
2025-11-22,0.0003117491,1.1329961791
2025-11-23,0.0072937513,1.1412599715
2025-11-24,0.0347816124,1.1809548334
2025-11-25,0.0010981083,1.1822516497
2025-11-26,0.0149801509,1.1999619579
2025-11-27,-0.0030236233,1.1963337249
2025-11-28,0.0027413694,1.1996133176
2025-11-29,0.0,1.1996133176
2025-11-30,0.0,1.1996133176
