date,daily_return,equity_twr
2025-11-22,-0.0142524761,0.9857475239
2025-11-23,0.0181093544,1.0035987752
2025-11-24,0.0037893409,1.007401753
2025-11-25,0.0441072141,1.0518354379
2025-11-26,-0.0199805697,1.0308191666
2025-11-27,-0.0094017245,1.0211276888
2025-11-28,0.0163575084,1.0378307935
2025-11-29,-0.0021290697,1.0356211794
2025-11-30,-0.0266874909,1.0079830486
2025-12-01,0.132615928,1.141657656
2025-12-02,0.0396233178,1.1868939201
2025-12-03,-0.0346470107,1.1457715938
2025-12-04,0.021499707,1.1704053473
2025-12-05,0.0493834355,1.2282039843
2025-12-06,0.0095466817,1.2399292568
2025-12-07,-0.0035660511,1.2355076057
2025-12-08,-0.0085561249,1.2249364483
2025-12-09,-0.0039761422,1.2200659268
2025-12-10,0.0479797768,1.2786044177
2025-12-11,0.004575593,1.2844547911
2025-12-12,0.0316911229,1.3251606057
2025-12-13,0.0098006153,1.3381479951
2025-12-14,0.0,1.3381479951
2025-12-15,-0.0776066201,1.234298852
2025-12-16,0.0810581131,1.3343487879
2025-12-17,-0.0263408175,1.29920095
2025-12-18,0.0076128339,1.309091551
2025-12-19,0.156149488,1.5135055265
2025-12-20,0.0036669301,1.5190554455
2025-12-21,-0.0129817292,1.499335479
2025-12-22,-0.0072862411,1.4884109592
2025-12-23,0.0,1.4884109592
2025-12-24,0.0,1.4884109592
2025-12-25,0.0,1.4884109592
2025-12-26,0.0,1.4884109592
2025-12-27,0.0,1.4884109592
2025-12-28,0.0,1.4884109592
2025-12-29,0.0225146835,1.5219220609
2025-12-30,-0.0127415779,1.5025303724
2025-12-31,0.0070836447,1.5131737637
2026-01-01,-0.000932711,1.5117624099
2026-01-02,-0.0452584923,1.4433423225
2026-01-03,0.0041277397,1.4493000639
2026-01-04,-0.0053247239,1.4415829412
