date,daily_return,equity_twr
2025-07-11,-0.050083506,0.949916494
2025-07-12,0.0365543777,0.9846401003
2025-07-13,-0.0635699651,0.9220465635
2025-07-14,-0.0747203427,0.8531509283
2025-07-15,0.0790160415,0.9205635374
2025-07-16,-0.2960048499,0.6480722657
2025-07-17,-0.0492746663,0.6161387211
2025-07-18,0.1785239973,0.7261342685
2025-07-19,-0.0422879278,0.6954275549
2025-07-20,-0.1944683973,0.5601888729
2025-07-21,-0.1045469552,0.5016228319
2025-07-22,-0.0502745399,0.4764039748
2025-07-23,0.1821295516,0.5631712171
2025-07-24,0.1819567346,0.6656440128
2025-07-25,-0.0554647077,0.6287242622
2025-07-26,-0.0513839683,0.5964179147
2025-07-27,-0.0889142748,0.5433878483
2025-07-28,0.2278484093,0.6671979052
2025-07-29,0.1233146413,0.7494731755
2025-07-30,-0.0135372018,0.7393274059
2025-07-31,0.0831891678,0.8008314375
2025-08-01,-0.0657033736,0.7482141104
2025-08-02,0.0221866835,0.7648145001
2025-08-03,-0.0212714056,0.7485458206
2025-08-04,0.0540399698,0.7889972142
2025-08-05,0.104707413,0.8716110713
2025-08-06,0.0629863926,0.9265107085
2025-08-07,-0.2261198234,0.7170082707
2025-08-08,-0.0667731111,0.6691313978
2025-08-09,-0.1447854758,0.57225089
2025-08-10,-0.020036387,0.5607850497
2025-08-11,-0.0315129782,0.5431130426
2025-08-12,-0.1064395399,0.4853043403
2025-08-13,-0.1027887166,0.43542053
2025-08-14,0.3686554673,0.5959406889
2025-08-15,0.0463973864,0.6235907793
2025-08-16,-0.0291846345,0.6053915103
2025-08-17,-0.0603917888,0.5688308341
2025-08-18,0.1405083696,0.6487563272
2025-08-19,-0.0238685703,0.6332714412
2025-08-20,0.0213756428,0.6468080253
2025-08-21,0.0517286759,0.680266548
2025-08-22,-0.2732175982,0.4944057556
2025-08-23,0.0415340484,0.5149404282
2025-08-24,0.0850203488,0.558720843
2025-08-25,0.389215495,0.7761836525
2025-08-26,-0.0794619054,0.7145066206
2025-08-27,0.1207282482,0.8007677532
2025-08-28,-0.0813880069,0.7355948618
2025-08-29,0.1324772775,0.8330444664
2025-08-30,-0.1091729637,0.7420985331
2025-08-31,-0.0614550167,0.6964928554
2025-09-01,0.2007487463,0.8363129229
2025-09-02,0.0005906974,0.8368069307
2025-09-03,-0.0563685989,0.7896372965
2025-09-04,0.1239743415,0.8875320604
2025-09-05,-0.0834741593,0.8134460678
2025-09-06,-0.0612339289,0.7636355691
2025-09-07,-0.0486795271,0.7264621507
2025-09-08,-0.1904422767,0.5881130448
2025-09-09,0.0596425121,0.6231895842
2025-09-10,-0.0411746091,0.5975299967
2025-09-11,-0.020457875,0.5853058027
2025-09-12,-0.2345956106,0.4479956305
2025-09-13,-0.0711733907,0.4161102625
2025-09-14,0.1231837812,0.467368298
2025-09-15,0.1867213426,0.5546359341
2025-09-16,-0.0911985362,0.5040539488
2025-09-17,-0.1380667194,0.4344608737
2025-09-18,-0.0656684014,0.4059305226
2025-09-19,0.1951096317,0.4851314774
2025-09-20,0.0106692196,0.4903074517
2025-09-21,0.1176066285,0.547970858
2025-09-22,0.3412624528,0.734972737
2025-09-23,0.0070137409,0.7401276454
2025-09-24,0.0518077186,0.7784719702
2025-09-25,0.0051369734,0.78247096
2025-09-26,0.0452887093,0.8179080598
2025-09-27,-0.0336318384,0.7904003081
2025-09-28,-0.0318206647,0.7652492449
2025-09-29,0.0890920682,0.8334268828
2025-09-30,0.0652159319,0.8877795937
2025-10-01,-0.2670978334,0.6506555877
2025-10-02,-0.0835766209,0.5962759923
2025-10-03,-0.0746675022,0.5517535533
2025-10-04,0.0774719323,0.5944989672
2025-10-05,-0.0114683227,0.5876810612
2025-10-06,-0.1983473911,0.471116056
2025-10-07,0.2887274472,0.6071401921
2025-10-08,-0.1680501239,0.5051102076
2025-10-09,0.1149743138,0.5631849071
2025-10-10,0.6302002341,0.9181041674
2025-10-11,-0.0961922878,0.8297896271
2025-10-12,-0.0363875741,0.7995955956
2025-10-13,0.0091246831,0.806891652
2025-10-14,-0.0396837586,0.7748711585
2025-10-15,0.1559775721,0.8957336805
2025-10-16,0.1216508767,1.004700468
2025-10-17,0.0339940196,1.0388542754
2025-10-18,-0.0091373878,1.029361861
2025-10-19,-0.07654037,0.9505741233
2025-10-20,0.0015052935,0.9520050163
2025-10-21,-0.0218215905,0.9312307527
2025-10-22,0.1867444597,1.1051329365
2025-10-23,-0.0808697365,1.0157611271
2025-10-24,-0.0821964527,0.9322691657
2025-10-25,-0.0284522235,0.905744035
2025-10-26,-0.2280904069,0.6991525095
2025-10-27,0.1135999474,0.7785761978
2025-10-28,0.1583339448,0.9018512386
2025-10-29,-0.0809214853,0.8288720968
2025-10-30,0.3192239486,1.0934679204
2025-10-31,-0.1007472969,0.9833039832
2025-11-01,-0.0426902137,0.941326526
2025-11-02,0.0619422233,0.9996343839
2025-11-03,-0.0245484247,0.9750949345
2025-11-04,-0.2589925111,0.7225526489
2025-11-05,-0.1370356961,0.6235371437
2025-11-06,0.1096015114,0.691877757
2025-11-07,-0.2572467166,0.5138944757
2025-11-08,0.1470687636,0.5894723009
2025-11-09,-0.1652448258,0.4920650532
2025-11-10,0.0375758838,0.5105548325
2025-11-11,0.166287602,0.5954537713
2025-11-12,-0.0122091185,0.5881838056
2025-11-13,-0.0263332017,0.5726950428
2025-11-14,0.0688691137,0.6121360428
2025-11-15,-0.0684713922,0.5702222358
2025-11-16,0.1620295949,0.6626151136
2025-11-17,0.0727553251,0.7108238916
2025-11-18,-0.1165341808,0.6279886117
2025-11-19,0.2176067327,0.7646431617
2025-11-20,0.0067548309,0.769808197
2025-11-21,0.3590257724,1.0461891795
2025-11-22,0.0049307285,1.0513476543
2025-11-23,-0.0152985405,1.0352635696
2025-11-24,-0.1730624093,0.856098362
2025-11-25,-0.012768696,0.8451671023
2025-11-26,-0.1168291842,0.7464269192
2025-11-27,0.053379638,0.7862709179
2025-11-28,0.01906109,0.8012580987
2025-11-29,0.0400278715,0.8333307549
2025-11-30,0.0134708202,0.8445564037
2025-12-01,0.1818119309,0.9981068342
2025-12-02,-0.0780100122,0.9202445078
2025-12-03,-0.0393617171,0.8840221039
2025-12-04,0.0042882925,0.8878130492
2025-12-05,-0.0153961946,0.8741441067
2025-12-06,0.004865106,0.8783969105
2025-12-07,0.101854529,0.9678656141
2025-12-08,-0.1208424343,0.8509063772
2025-12-09,-0.2781345806,0.6142398888
2025-12-10,0.000262267,0.6144009837
2025-12-11,0.140989013,0.701024772
2025-12-12,0.1913910511,0.8351946399
2025-12-13,-0.0185524597,0.819699725
2025-12-14,0.0700912084,0.8771534693
2025-12-15,0.1606119582,1.0180348056
2025-12-16,-0.0249441871,0.992640755
2025-12-17,0.1616445197,1.153095693
2025-12-18,-0.0366794148,1.1108008178
2025-12-19,-0.0338220675,1.0732312376
2025-12-20,0.0052328354,1.07884728
2025-12-21,-0.0027389853,1.0758923331
2025-12-22,-0.0022033301,1.0735217872
2025-12-23,-0.0028416855,1.0704711759
2025-12-24,-0.015631344,1.0537382727
2025-12-25,-0.006716594,1.0466607405
2025-12-26,0.0057422324,1.0526709097
2025-12-27,-0.0106839833,1.0414241913
2025-12-28,0.007371299,1.0491008404
2025-12-29,0.0110058252,1.0606470609
2025-12-30,-0.0044104583,1.0559691213
2025-12-31,-0.0045022324,1.0512149029
2026-01-01,-0.0357695357,1.0136134339
2026-01-02,-0.1555187181,0.855977572
2026-01-03,-0.0108932589,0.8466531867
2026-01-04,-0.0224179425,0.8276729642
