date,daily_return,equity_twr
2025-07-11,-0.007226762,0.992773238
2025-07-12,-0.0148543295,0.9780262572
2025-07-13,-0.010461337,0.9677947949
2025-07-14,0.0048034945,0.9724435919
2025-07-15,-0.031726084,0.9415917648
2025-07-16,0.000551798,0.9421113333
2025-07-17,-0.0080275655,0.9345484728
2025-07-18,0.0221325556,0.9552324189
2025-07-19,-0.0133103558,0.9425179355
2025-07-20,-0.0003069893,0.9422285926
2025-07-21,-0.0624669478,0.8833704483
2025-07-22,-0.0632310497,0.8275140076
2025-07-23,0.1622531465,0.9617807591
2025-07-24,0.0644760891,1.023792621
2025-07-25,-0.009586426,1.0139781088
2025-07-26,0.0102577633,1.0243792562
2025-07-27,0.0160792852,1.0408505424
2025-07-28,0.0115160987,1.05283708
2025-07-29,0.043024984,1.0981353785
2025-07-30,0.0082338851,1.1071772991
2025-07-31,0.0001335602,1.1073251739
2025-08-01,-0.0419779204,1.0608419659
2025-08-02,-0.021916987,1.0375915063
2025-08-03,0.0650534756,1.10509044
2025-08-04,0.018649476,1.1256997977
2025-08-05,0.0095100793,1.136405292
2025-08-06,0.0012077863,1.1377778268
2025-08-07,-0.0023195007,1.1351387503
2025-08-08,-0.0049889197,1.1294756342
2025-08-09,-0.0827736263,1.0359848402
2025-08-10,-0.0025930409,1.0332984891
2025-08-11,0.0238270054,1.0579188978
2025-08-12,-0.0305525996,1.0255967253
2025-08-13,-0.0610564238,0.962977457
2025-08-14,-0.0274890641,0.9365061079
2025-08-15,-0.0059401226,0.9309431468
2025-08-16,-0.0008225436,0.9301774055
2025-08-17,0.0061932479,0.9359382248
2025-08-18,-0.003715946,0.9324603289
2025-08-19,-0.1885506819,0.756644298
2025-08-20,0.0645265423,0.8054679383
2025-08-21,-0.104868204,0.7209999622
2025-08-22,0.2331870452,0.889127813
2025-08-23,-0.054129384,0.8409998722
2025-08-24,0.0039686907,0.8443375406
2025-08-25,0.0467077187,0.8837746209
2025-08-26,0.0379574672,0.9173204671
2025-08-27,-0.0136252242,0.9048217701
2025-08-28,0.0139055869,0.9174038478
2025-08-29,-0.019975609,0.8990781473
2025-08-30,0.0083308614,0.9065682427
2025-08-31,0.0173700945,0.9223154188
2025-09-01,0.0390877443,0.958366648
2025-09-02,0.0309433154,0.9880216895
2025-09-03,0.0014778418,0.9894818292
2025-09-04,0.0039388873,0.9933792866
2025-09-05,0.0,0.9933792866
2025-09-06,0.0,0.9933792866
2025-09-07,0.0,0.9933792866
2025-09-08,-0.0171193847,0.9763732445
2025-09-09,0.0054073072,0.9816527945
2025-09-10,-0.0483435957,0.9341961687
2025-09-11,-0.0725777219,0.866394339
2025-09-12,-0.2974671,0.6086705275
2025-09-13,-0.0723521153,0.5646319273
2025-09-14,0.0,0.5646319273
2025-09-15,0.0,0.5646319273
2025-09-16,0.0,0.5646319273
2025-09-17,0.0,0.5646319273
2025-09-18,0.0210570525,0.5765214115
2025-09-19,0.032300239,0.5951431908
2025-09-20,0.0,0.5951431908
2025-09-21,0.0017174768,0.5961653355
2025-09-22,0.0007536818,0.5966146544
2025-09-23,-0.0071474773,0.5923503647
2025-09-24,0.0148268535,0.6011330568
2025-09-25,0.0,0.6011330568
2025-09-26,0.0,0.6011330568
2025-09-27,0.0,0.6011330568
2025-09-28,0.0328542572,0.6208828369
2025-09-29,0.0079167078,0.6257981849
2025-09-30,0.0,0.6257981849
2025-10-01,0.0,0.6257981849
2025-10-02,0.0,0.6257981849
2025-10-03,0.0,0.6257981849
2025-10-04,-0.0033034481,0.623730893
2025-10-05,-0.0237839396,0.6088961152
2025-10-06,0.0,0.6088961152
2025-10-07,0.0,0.6088961152
2025-10-08,0.0,0.6088961152
2025-10-09,0.0,0.6088961152
2025-10-10,-0.0414125256,0.5836801892
2025-10-11,0.0201400133,0.595435516
2025-10-12,0.0262349767,0.6110567529
2025-10-13,0.0168465179,0.6213509314
2025-10-14,0.0158676586,0.6312103158
2025-10-15,-0.0080876221,0.6261053253
2025-10-16,-0.0170076074,0.6154567718
2025-10-17,-0.1707502046,0.5103674021
2025-10-18,-0.0672068856,0.4760671985
2025-10-19,0.0153510736,0.4833753411
2025-10-20,-0.0011004601,0.4828434058
2025-10-21,0.0437581309,0.5039717307
2025-10-22,0.0112379393,0.5096353345
2025-10-23,0.0,0.5096353345
2025-10-24,0.0,0.5096353345
2025-10-25,-5.328e-07,0.5096350629
2025-10-26,2.68191e-05,0.5096487309
2025-10-27,-0.0040310677,0.5075943023
2025-10-28,-0.0098659634,0.5025863955
2025-10-29,-0.0228054868,0.4911246681
2025-10-30,-0.1704386173,0.4074180588
2025-10-31,0.1228920823,0.4574865124
2025-11-01,0.0194074505,0.4663651592
2025-11-02,-0.0025756698,0.4651639566
2025-11-03,-0.1823985724,0.380318715
2025-11-04,-0.3135078192,0.261085824
2025-11-05,0.0102349781,0.2637580317
2025-11-06,0.0130229413,0.2671929371
2025-11-07,0.0663508538,0.2849214166
2025-11-08,0.0374677732,0.2955967876
2025-11-09,-0.0320591582,0.2861202034
2025-11-10,-0.2025311604,0.2281719466
2025-11-11,-0.0628721571,0.2138262841
2025-11-12,-0.0071017467,0.212307744
2025-11-13,0.0246551727,0.2175422281
2025-11-14,-0.2556542008,0.1619266437
2025-11-15,0.1114715277,0.179976854
2025-11-16,-0.1699968782,0.1493813507
2025-11-17,0.1685857721,0.174564921
2025-11-18,-0.1216131835,0.1533355252
2025-11-19,0.0029566057,0.1537888779
2025-11-20,-0.0176021833,0.1510818579
2025-11-21,0.0341950672,0.1562481122
2025-11-22,0.0,0.1562481122
2025-11-23,0.0072415223,0.1573795864
