date,daily_return,equity_twr
2025-07-11,2.68037e-05,1.0000268037
2025-07-12,0.0,1.0000268037
2025-07-13,0.0,1.0000268037
2025-07-14,3.22e-08,1.0000268359
2025-07-15,0.0,1.0000268359
2025-07-16,0.0,1.0000268359
2025-07-17,0.0,1.0000268359
2025-07-18,0.0,1.0000268359
2025-07-19,0.0,1.0000268359
2025-07-20,0.0,1.0000268359
2025-07-21,0.0,1.0000268359
2025-07-22,0.0,1.0000268359
2025-07-23,0.0,1.0000268359
2025-07-24,0.0,1.0000268359
2025-07-25,0.0,1.0000268359
2025-07-26,0.0,1.0000268359
2025-07-27,0.0,1.0000268359
2025-07-28,0.0,1.0000268359
2025-08-01,0.0,1.0000268359
2025-08-09,7.3185e-06,1.0000341546
2025-08-10,1.3e-09,1.0000341559
2025-08-11,0.0,1.0000341559
2025-08-12,0.0,1.0000341559
2025-08-13,0.0,1.0000341559
2025-08-14,0.0268235942,1.0268586663
2025-08-15,-9e-10,1.0268586654
2025-08-16,0.0,1.0268586654
2025-08-17,0.0,1.0268586654
2025-08-18,0.0,1.0268586654
2025-08-19,0.0,1.0268586654
2025-08-20,0.0,1.0268586654
2025-08-21,0.0,1.0268586654
2025-08-22,0.0,1.0268586654
2025-08-23,0.0,1.0268586654
2025-08-24,0.0358183541,1.0636390526
2025-08-25,-8e-10,1.0636390518
2025-08-26,0.0,1.0636390518
2025-08-27,0.0,1.0636390518
2025-08-28,0.0,1.0636390518
2025-08-29,0.0,1.0636390518
2025-08-30,0.0,1.0636390518
2025-08-31,0.0,1.0636390518
2025-09-01,0.0,1.0636390518
2025-09-02,0.0,1.0636390518
2025-09-03,0.0,1.0636390518
2025-09-04,0.0,1.0636390518
2025-09-05,0.0,1.0636390518
2025-09-06,0.0,1.0636390518
2025-09-07,0.0,1.0636390518
2025-09-22,0.2131806301,1.2903862951
2025-09-23,-6e-10,1.2903862943
2025-09-24,0.0,1.2903862943
2025-09-25,0.0,1.2903862943
2025-09-26,0.0,1.2903862943
2025-09-27,0.0,1.2903862943
2025-09-28,0.0,1.2903862943
2025-09-29,0.0,1.2903862943
2025-09-30,0.0,1.2903862943
2025-10-01,0.0,1.2903862943
2025-10-02,0.0,1.2903862943
2025-10-03,0.0,1.2903862943
2025-10-04,0.0,1.2903862943
2025-10-05,0.0,1.2903862943
2025-10-06,0.0,1.2903862943
2025-10-10,1.0,2.5807725886
2025-10-11,0.0010847613,2.5835721108
2025-10-12,0.0,2.5835721108
2025-10-13,0.0,2.5835721108
2025-10-14,0.0,2.5835721108
2025-10-15,0.0,2.5835721108
2025-10-16,0.0,2.5835721108
2025-10-17,0.0,2.5835721108
2025-10-18,0.0,2.5835721108
2025-10-19,0.0,2.5835721108
2025-10-20,0.0,2.5835721108
2025-10-21,0.0,2.5835721108
2025-10-22,0.0,2.5835721108
2025-10-23,0.0,2.5835721108
2025-10-24,0.0,2.5835721108
2025-11-03,0.000948118,2.586021642
2025-11-04,-0.0,2.586021642
2025-11-05,0.0,2.586021642
2025-11-06,0.0,2.586021642
2025-11-07,0.0,2.586021642
2025-11-08,0.0,2.586021642
2025-11-09,0.0,2.586021642
2025-11-10,0.0,2.586021642
2025-11-11,0.0,2.586021642
2025-11-12,3.39e-08,2.5860217297
2025-11-13,0.0,2.5860217297
2025-11-14,0.0,2.5860217297
2025-11-15,0.0,2.5860217297
2025-11-16,0.0,2.5860217297
2025-11-17,0.0,2.5860217297
2025-11-18,0.0,2.5860217297
2025-11-19,0.0,2.5860217297
2025-11-20,0.0,2.5860217297
2025-11-22,0.0105153411,2.6132146303
2025-11-28,0.0,2.6132146303
2025-11-29,0.0,2.6132146303
2025-11-30,0.0,2.6132146303
2025-12-01,0.0,2.6132146303
2025-12-02,0.0,2.6132146303
2025-12-03,0.0,2.6132146303
2025-12-04,0.0,2.6132146303
2025-12-05,0.0,2.6132146303
