date,daily_return,equity_twr
2025-11-15,0.0539869609,1.0539869609
2025-11-16,0.1341326642,1.19536104
2025-11-17,0.1042188098,1.3199401449
2025-11-18,-0.0884298193,1.2032180764
2025-11-19,0.0155381638,1.2219138759
2025-11-20,0.1265541399,1.3765521355
2025-11-21,0.1077770499,1.5249128637
2025-11-22,0.1889602295,1.8130607484
2025-11-28,-0.0260069333,1.7659085985
2025-11-29,0.0491167392,1.8526442706
2025-11-30,-0.0358186085,1.7862851307
2025-12-01,0.2068095254,2.1557059109
2025-12-02,-0.1902160015,1.7456561521
2025-12-03,-0.0697991817,1.6238107811
2025-12-04,0.0226490198,1.6605885037
2025-12-05,0.0688244519,1.7748775973
2025-12-06,0.0312582764,1.8303572118
2025-12-07,0.0109259616,1.8503556244
2025-12-08,-0.1725827362,1.5310161878
2025-12-09,-0.2428150446,1.1592624239
2025-12-10,0.0697073128,1.2400714923
2025-12-11,0.0051054315,1.2464025923
2025-12-12,0.1809853982,1.4719832618
2025-12-13,-0.0103742261,1.4567125746
2025-12-14,0.1307716766,1.6472093204
2025-12-15,0.1677287825,1.9234937342
2025-12-16,-0.0158540288,1.8929986091
2025-12-17,0.1037434232,2.0893847649
2025-12-18,0.0103882567,2.1110898302
2025-12-19,-0.1303042769,1.8360057964
2025-12-20,-0.0255988629,1.7890061358
2025-12-21,0.0066172406,1.8008444198
2025-12-22,0.021630942,1.839798381
2025-12-23,0.0128419162,1.8634249176
2025-12-24,-0.0220398325,1.8223553446
2025-12-25,-0.0288451398,1.7697892499
2025-12-26,-0.0218112412,1.7311879497
2025-12-27,-0.1193028845,1.5246522337
2025-12-28,-0.0102967125,1.508953328
2025-12-29,-0.0225817454,1.4748785281
2025-12-30,-0.0390139012,1.4173377629
2025-12-31,0.0148566269,1.4383946212
2026-01-01,-0.0849548599,1.3161960077
2026-01-02,-0.0938697349,1.1926450374
2026-01-03,0.0025042124,1.1956316739
2026-01-04,-0.100475302,1.0755002204
