date,daily_return,equity_twr
2025-11-20,0.0,1.0
2025-11-21,0.0,1.0
2025-11-22,0.0,1.0
2025-11-23,0.0,1.0
2025-11-24,0.0,1.0
2025-11-25,0.0,1.0
2025-11-26,0.0,1.0
2025-11-27,0.0,1.0
2025-11-28,0.0,1.0
2025-11-29,0.0,1.0
2025-11-30,0.0,1.0
2025-12-01,0.0,1.0
2025-12-02,0.0,1.0
2025-12-03,0.0,1.0
2025-12-04,0.0,1.0
2025-12-05,0.0,1.0
2025-12-06,0.0,1.0
2025-12-07,0.0,1.0
2025-12-08,0.0,1.0
2025-12-09,0.0,1.0
2025-12-10,0.0,1.0
2025-12-11,0.0,1.0
2025-12-12,0.0,1.0
2025-12-13,0.0,1.0
2025-12-14,0.0,1.0
2025-12-15,0.0,1.0
2025-12-16,0.0,1.0
2025-12-17,0.0,1.0
2025-12-18,0.0,1.0
2025-12-19,0.0,1.0
2025-12-20,0.0,1.0
2025-12-21,0.0,1.0
2025-12-22,0.0,1.0
2025-12-23,0.0,1.0
2025-12-24,0.0,1.0
2025-12-25,1.0,2.0
2025-12-26,0.0124920447,2.0249840894
2025-12-27,-0.0120124933,2.0006589816
2025-12-28,0.0220795639,2.0448326594
2025-12-29,-0.0228781448,1.9980506817
2025-12-30,-0.0075976348,1.9828702224
2025-12-31,-0.0382583554,1.9070088687
2026-01-01,-0.0187339328,1.8712830927
2026-01-02,-0.0889221516,1.7048845738
2026-01-03,-0.0279594803,1.6572168872
2026-01-04,0.0078039461,1.6701497184
