date,daily_return,equity_twr
2025-07-11,0.0224409463,1.0224409463
2025-07-12,0.0134142562,1.0361562311
2025-07-13,-0.0683626825,0.9653218117
2025-07-14,-0.0902471883,0.8782042323
2025-07-15,-0.0141603659,0.8657685391
2025-07-16,-0.4142433993,0.5071296364
2025-07-17,-0.1244997514,0.4439921228
2025-07-18,0.0347441408,0.4594182476
2025-07-19,-0.0205570749,0.4499739523
2025-07-20,-0.1275465718,0.3925813173
2025-07-21,-0.0454753609,0.3747285402
2025-07-22,-0.0082641873,0.3716317133
2025-07-23,0.1561613834,0.4296662358
2025-07-24,-0.0313294673,0.4162050215
2025-07-25,0.0001235708,0.4162564523
2025-07-26,-0.0234567787,0.4064924168
2025-07-27,-0.1556590975,0.3432181741
2025-07-28,0.197776895,0.4110987989
2025-07-29,0.0529521329,0.4328673571
2025-07-30,0.051128415,0.454999179
2025-07-31,0.0729173559,0.488176516
2025-08-01,0.1406476945,0.5568374175
2025-08-02,-0.0089821077,0.5518358439
2025-08-03,-0.0294967379,0.5355584866
2025-08-04,-0.0594821588,0.5037023117
2025-08-05,0.0743638044,0.5411595319
2025-08-06,0.0127867762,0.5480792177
2025-08-07,-0.0417971661,0.5251710596
2025-08-08,-0.0769664001,0.4847505337
2025-08-09,-0.2421974267,0.3673452018
2025-08-10,0.0498575153,0.3856601209
2025-08-11,0.2145121945,0.4683889197
2025-08-12,-0.3945086614,0.283605434
2025-08-13,-0.2944552531,0.2000963241
2025-08-14,0.3878741773,0.2777085212
2025-08-15,0.0342825541,0.2872290786
2025-08-16,0.0354458497,0.2974101574
2025-08-17,-0.0808429053,0.2733666562
2025-08-18,0.1697145404,0.3197609526
2025-08-19,0.1879568374,0.37986221
2025-08-20,-0.0362757382,0.3660824279
2025-08-21,0.0847430911,0.3971053845
2025-08-22,-0.1435018621,0.3401200223
2025-08-23,0.0343880975,0.3518161028
2025-08-24,-0.0014049246,0.3513218277
2025-08-25,0.1780349729,0.4138693998
2025-08-26,-0.1321538525,0.3591749642
2025-08-27,-0.0281109531,0.3490782136
2025-08-28,0.032196469,0.3603172995
2025-08-29,0.0696836313,0.3854255174
2025-08-30,0.0099705623,0.3892684265
2025-08-31,-0.0254646879,0.3793558275
2025-09-01,0.0977538513,0.4164393207
2025-09-02,-0.0843758166,0.3813019129
2025-09-03,-0.0151923408,0.3755090443
2025-09-04,0.0281198274,0.3860682938
2025-09-05,-0.0388798347,0.3710580224
2025-09-06,0.029965245,0.3821768669
2025-09-07,-0.0285821563,0.371253428
2025-09-08,-0.1199597067,0.3267179756
2025-09-09,-0.0744409002,0.3023967954
2025-09-10,-0.0824117319,0.2774757518
2025-09-11,-0.0478293423,0.2642042691
2025-09-12,0.0318103303,0.2726086941
2025-09-13,-0.0063427125,0.2708796156
2025-09-14,0.0380401533,0.2811839177
2025-09-15,0.0725556017,0.301585386
2025-09-16,-0.038950146,0.2898385912
2025-09-17,-0.088979179,0.2640489913
2025-09-18,-0.0373104903,0.254197194
2025-09-19,0.1043077434,0.2807119297
2025-09-20,0.0662743191,0.2993159217
2025-09-21,0.0867992416,0.3252963167
2025-09-22,0.1142272877,0.3624540326
2025-09-23,-0.0121025395,0.3580674184
2025-09-24,-0.0576372928,0.3374293817
2025-09-25,0.201197016,0.4053191664
2025-09-26,0.3198037852,0.5349417701
2025-09-27,-0.0960982008,0.4835348285
2025-09-28,0.029934289,0.4980090998
2025-09-29,0.0948246154,0.5452326211
2025-09-30,0.1492094832,0.6265864987
2025-10-01,-0.0148582161,0.6172765411
2025-10-02,-0.059100644,0.5807951
2025-10-03,-0.0148763016,0.5721550169
2025-10-04,0.0332518807,0.5911802473
2025-10-05,5.34902e-05,0.5912118696
2025-10-06,-0.0783880155,0.5448679444
2025-10-07,0.1116924802,0.6057255965
2025-10-08,-0.0201129985,0.5935426385
2025-10-09,0.1037524114,0.6551241185
2025-10-10,0.263238533,0.8275780304
2025-10-11,0.1688663233,0.9673280897
2025-10-12,-0.0941632569,0.8762413263
2025-10-13,-0.0415051511,0.8398727976
2025-10-14,-0.3687963315,0.5301307909
2025-10-15,0.0395431909,0.551093854
2025-10-16,0.0214731475,0.5629275736
2025-10-17,0.0267279229,0.5779734584
2025-10-18,-0.0115656188,0.5712888377
2025-10-19,-0.0111986734,0.5648911606
2025-10-20,0.0040629646,0.5671862934
2025-10-21,0.0212575761,0.5792432992
2025-10-22,0.3732426328,0.7954415932
2025-10-23,-0.0607526976,0.7471163706
2025-10-24,0.0100500145,0.754624901
2025-10-25,-0.1067070952,0.6741010698
2025-10-26,-0.1266106472,0.5887526971
2025-10-27,-0.018880731,0.5776366158
2025-10-28,0.0331749688,0.5967996925
2025-10-29,-0.0373221896,0.5745258212
2025-10-30,0.1422786567,0.6562685833
2025-10-31,0.0317617805,0.677112842
2025-11-01,0.0193322569,0.6902029614
2025-11-02,0.0433486993,0.7201223621
2025-11-03,0.0854532756,0.7816591767
2025-11-04,0.0336542916,0.8079653626
2025-11-05,0.0036058858,0.8108787934
2025-11-06,0.1864713267,0.9620844378
2025-11-07,-0.1358151376,0.8314188075
2025-11-08,0.1038943147,0.9177984947
2025-11-09,0.0035612628,0.9210670164
2025-11-10,0.0152476896,0.9351111604
2025-11-11,0.2118773176,1.1332400047
2025-11-12,-0.0140734588,1.1172913982
2025-11-13,0.1828234274,1.321558441
2025-11-14,0.0195193068,1.3473543456
2025-11-15,-0.0110175145,1.3325098496
2025-11-16,0.3598778713,1.8120506577
2025-11-17,0.0035807024,1.8185390719
2025-11-18,0.2420718274,2.2587561482
2025-11-19,0.0183356171,2.3001718361
2025-11-20,0.0082880745,2.3192358316
2025-11-22,0.1246416625,2.6083092414
2025-11-28,0.06943203,2.7894094469
2025-11-29,-0.0003630034,2.7883968818
2025-11-30,0.0376073821,2.8932611888
2025-12-01,0.0556529929,3.0542798331
2025-12-02,-0.0372955603,2.9403687555
2025-12-03,-0.0459454326,2.805272241
2025-12-04,0.0271888313,2.8815443147
2025-12-05,0.0753001399,3.0985250047
2025-12-06,0.0004175221,3.0998187074
2025-12-07,0.0379462962,3.2174453462
2025-12-08,-0.0019224638,3.211259924
2025-12-09,0.0375950866,3.331987519
2025-12-10,-0.0238551914,3.252502319
2025-12-11,-0.0040716516,3.2392592627
2025-12-12,0.018735451,3.2999482459
2025-12-13,-0.0088238367,3.2708300414
2025-12-14,0.0099284466,3.3033043028
2025-12-15,0.0220838534,3.3762539908
2025-12-16,-0.0004811043,3.3746296605
2025-12-17,0.060250779,3.5779537264
2025-12-18,0.0669157865,3.817375314
2025-12-19,0.0099825443,3.8554824322
2025-12-20,-0.0027007299,3.8450698155
2025-12-21,0.0051730554,3.8649605747
2025-12-22,0.0142731783,3.9201258461
2025-12-23,-0.0035132085,3.9063536267
2025-12-24,-0.0029198364,3.8949477131
2025-12-25,-0.005926977,3.8718624476
2025-12-26,0.0009466082,3.8755275844
2025-12-27,-0.019735482,3.7990421795
2025-12-28,0.0112662547,3.8418431563
2025-12-29,-0.0241361379,3.7491159001
2025-12-30,-0.0131763066,3.6997163995
2025-12-31,0.0352191526,3.830017276
2026-01-01,0.0280551823,3.9374691089
2026-01-02,-0.0211244365,3.8542922927
2026-01-03,0.0068069678,3.8805283362
2026-01-04,-0.015026696,3.8222168166
