date,daily_return,equity_twr
2025-07-11,-0.0120693851,0.9879306149
2025-07-12,0.0029420413,0.9908371476
2025-07-13,-0.0173710974,0.973625219
2025-07-14,-0.0971630407,0.8790248322
2025-07-15,0.0116839924,0.8892953517
2025-07-16,-0.0893534598,0.8098337352
2025-07-17,-0.0139910431,0.7985033165
2025-07-18,-0.0074287891,0.7925714038
2025-07-19,0.0003195423,0.7928246639
2025-07-20,0.0026552184,0.7949297865
2025-07-21,-0.0370949538,0.7654419028
2025-07-22,0.0016609277,0.7667132465
2025-07-23,0.0628548025,0.8149048561
2025-07-24,0.0349909001,0.8434191105
2025-07-25,-0.0250314829,0.8223070795
2025-07-26,-0.0208558263,0.8051571859
2025-07-27,-0.0467987651,0.7674768239
2025-07-28,0.0635809902,0.8162737603
2025-07-29,0.0196694099,0.8323293835
2025-07-30,0.0012617419,0.8333795683
2025-07-31,-0.0030296427,0.830854726
2025-08-01,0.0026499345,0.8330564366
2025-08-02,-0.0197204762,0.816628167
2025-08-03,0.016164687,0.8298287057
2025-08-04,0.0199344064,0.8463708484
2025-08-05,-0.0071050463,0.8403573443
2025-08-06,0.0123606278,0.8507446886
2025-08-07,0.0024575755,0.8528354579
2025-08-08,-0.0100591636,0.8442566465
2025-08-09,-0.0306134475,0.81841104
2025-08-10,-0.0021052144,0.8166881093
2025-08-11,0.0359895348,0.8460803344
2025-08-12,-0.079094631,0.7791599226
2025-08-13,-0.0240577333,0.760415101
2025-08-14,0.0986739576,0.8354482684
2025-08-15,-0.0082210243,0.8285800279
2025-08-16,-0.0005224794,0.8281471119
2025-08-17,-0.0020695875,0.826433189
2025-08-18,0.0374440574,0.8573782008
2025-08-19,-0.0065713909,0.8517440335
2025-08-20,0.0270763143,0.8748061226
2025-08-21,0.0193068757,0.8916958957
2025-08-22,-0.090861486,0.8106750815
2025-08-23,0.0021186668,0.8123926319
2025-08-24,0.0025145533,0.8144354365
2025-08-25,0.0385949419,0.8458685248
2025-08-26,-0.0071213889,0.8398447661
2025-08-27,0.0174399921,0.8544916522
2025-08-28,0.0113432937,0.864184402
2025-08-29,0.0505602297,0.9078777638
2025-08-30,0.0041064719,0.9116059384
2025-08-31,0.0049669508,0.9161338402
2025-09-01,-0.0055072989,0.9110884173
2025-09-02,0.0172183452,0.9267758522
2025-09-03,0.010266263,0.9362903768
2025-09-04,0.0085099686,0.9442581786
2025-09-05,0.0121458852,0.95572703
2025-09-06,0.0099377566,0.9652248126
2025-09-07,-0.0091825883,0.9563615505
2025-09-08,-0.0200872501,0.9371508769
2025-09-09,-0.003441315,0.9339258455
2025-09-10,-0.031902894,0.9041309082
2025-09-11,-0.0181163291,0.8877513752
2025-09-12,-0.0510718811,0.8424122425
2025-09-13,-0.0104720972,0.8335904196
2025-09-14,0.016267665,0.8471509893
2025-09-15,0.0284311177,0.8712364388
2025-09-16,-0.0190666891,0.8546248445
2025-09-17,-0.0209463796,0.8367235481
2025-09-18,-0.0254995973,0.8153874345
2025-09-19,0.0551692077,0.8603717133
2025-09-20,-0.0048854273,0.8561684298
2025-09-21,0.0231530543,0.875991344
2025-09-22,0.0786347848,0.9448747348
2025-09-23,0.0105277935,0.9548221809
2025-09-24,0.0065838025,0.9611085415
2025-09-25,-0.0002734032,0.9608457714
2025-09-26,0.0187464328,0.9788582021
2025-09-27,0.0010240307,0.9798605829
2025-09-28,0.0074062359,0.9871176615
2025-09-29,0.0030864258,0.9901643269
2025-09-30,0.0085022506,0.9985829522
2025-10-01,-0.0043082746,0.9942807826
2025-10-02,-0.004799288,0.9895089428
2025-10-03,-0.0089443569,0.9806584217
2025-10-04,0.0074163031,0.9879312817
2025-10-05,0.0035907846,0.9914787302
2025-10-06,-0.0461475466,0.9457244193
2025-10-07,0.077057696,1.0185997641
2025-10-08,-0.0284992728,0.9895704115
2025-10-09,0.063640932,1.0525475948
2025-10-10,0.1944914245,1.2572590759
2025-10-11,-0.0791502223,1.1577467405
2025-10-12,0.0114271669,1.1709765057
2025-10-13,0.0049316616,1.1767513656
2025-10-14,-0.054674467,1.1124131119
2025-10-15,0.010716912,1.1243347453
2025-10-16,0.0115759261,1.1373499613
2025-10-17,-0.0072841754,1.1290653047
2025-10-18,0.0006340647,1.1297812051
2025-10-19,0.012084861,1.1434344539
