date,daily_return,equity_twr
2025-07-11,0.403809033,1.403809033
2025-07-12,0.009707401,1.4174363702
2025-07-13,0.0,1.4174363702
2025-07-14,0.0042538613,1.4234659479
2025-07-15,0.0130633956,1.4420612467
2025-07-16,0.0005642606,1.4428749451
2025-07-17,0.0036675438,1.4481667521
2025-07-18,0.0114022465,1.4646791064
2025-07-19,0.0074725501,1.4756239944
2025-07-20,0.0,1.4756239944
2025-07-21,0.0073677273,1.4864959896
2025-07-22,-0.0100608544,1.4715405699
2025-07-23,0.0174674665,1.4972446555
2025-07-24,0.0034798304,1.502454813
2025-07-25,0.0173734347,1.5285576135
2025-07-26,0.0,1.5285576135
2025-07-27,0.0,1.5285576135
2025-07-28,0.0205757537,1.5600088385
2025-07-29,0.0160406947,1.585032464
2025-07-30,0.0,1.585032464
2025-07-31,0.0142909561,1.6076840934
2025-08-01,0.0325008909,1.6599352587
2025-08-02,-0.0029919706,1.6549687812
2025-08-03,0.0009524689,1.6565450875
2025-08-04,0.0,1.6565450875
2025-08-05,0.0025384606,1.660750162
2025-08-06,0.0,1.660750162
2025-08-07,0.0074064727,1.6730504627
2025-08-08,0.0,1.6730504627
2025-08-09,0.0,1.6730504627
2025-08-10,-0.0065118999,1.6621557255
2025-08-11,-0.004190606,1.6551902858
2025-08-12,0.0030830337,1.6602932932
2025-08-13,0.0,1.6602932932
2025-08-14,0.0361441674,1.7203032119
2025-08-15,-0.0045322131,1.7125064312
2025-08-16,0.0,1.7125064312
2025-08-17,0.0,1.7125064312
2025-08-18,0.0134158901,1.7354812293
2025-08-19,-0.0019079165,1.732170076
2025-08-20,0.0051098152,1.741021145
2025-08-21,0.0,1.741021145
2025-08-22,0.0069859886,1.7531838988
2025-08-23,0.0117711741,1.7738209318
2025-08-24,0.0,1.7738209318
2025-08-25,-0.014405722,1.7482677605
2025-08-26,0.0031978825,1.7538585154
2025-08-27,0.0096022869,1.7706995681
2025-08-28,0.0196541682,1.8055011952
2025-08-29,-0.0139994878,1.7802251032
2025-08-30,1.18412e-05,1.7802461832
2025-08-31,0.0,1.7802461832
2025-09-01,0.005361858,1.7897916105
2025-09-02,0.0027677218,1.7947452557
2025-09-03,0.0,1.7947452557
2025-09-04,0.003332223,1.8007257472
2025-09-05,0.0019158505,1.8041756685
2025-09-06,0.0,1.8041756685
2025-09-07,0.0,1.8041756685
2025-09-08,0.0,1.8041756685
2025-09-09,0.0042777962,1.8118935643
2025-09-10,0.0,1.8118935643
2025-09-11,0.0,1.8118935643
2025-09-12,0.0,1.8118935643
2025-09-13,0.0010796005,1.8138496855
2025-09-14,0.0033891128,1.8199970267
2025-09-15,-0.00496793,1.8109554089
2025-09-16,0.0,1.8109554089
2025-09-17,0.0,1.8109554089
2025-09-18,0.0,1.8109554089
2025-09-19,0.005491902,1.8209009985
2025-09-20,0.0,1.8209009985
2025-09-21,0.0,1.8209009985
2025-09-22,-0.0111500406,1.8005978784
2025-09-23,0.0075108885,1.8141219683
2025-09-24,0.0059308967,1.8248813383
2025-09-25,-0.0107547272,1.8052552374
2025-09-26,0.0047270035,1.8137886852
2025-09-27,0.0,1.8137886852
2025-09-28,0.0,1.8137886852
